#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-3:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=0 --skew=0.0 --distribution=e>> comp_e_l:-3:3:300:1_1.0_0.0333333333333_40.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-03 1.000196e+00 1.014844e+00 1.271514e+07 1.011864e+03 2.784079e-01 1.058768e+00
1.047128e-03 9.914572e-01 1.013376e+00 1.196894e+07 9.524286e+02 2.398267e-01 1.027474e+00
1.096478e-03 9.978402e-01 9.901519e-01 1.139629e+07 9.068839e+02 2.307400e-01 9.637004e-01
1.148153e-03 9.984118e-01 1.010513e+00 1.105631e+07 8.798184e+02 1.969967e-01 9.391192e-01
1.202264e-03 1.001752e+00 1.018085e+00 1.058606e+07 8.424682e+02 2.043055e-01 8.844094e-01
1.258925e-03 9.904826e-01 1.000231e+00 9.911843e+06 7.888250e+02 1.793225e-01 8.442824e-01
1.318256e-03 9.971693e-01 1.013440e+00 9.677026e+06 7.700492e+02 1.635345e-01 7.977352e-01
1.380384e-03 9.924879e-01 1.015817e+00 9.205091e+06 7.325220e+02 1.931009e-01 7.783738e-01
1.445439e-03 9.942219e-01 1.005071e+00 8.716351e+06 6.936227e+02 1.787058e-01 7.403235e-01
1.513561e-03 9.984720e-01 1.002825e+00 8.380087e+06 6.668875e+02 1.432884e-01 7.049390e-01
1.584893e-03 9.973562e-01 1.005906e+00 8.092586e+06 6.439963e+02 1.724138e-01 6.758519e-01
1.659586e-03 9.965026e-01 1.013297e+00 7.676272e+06 6.108962e+02 1.592076e-01 6.446954e-01
1.737800e-03 1.004869e+00 1.017520e+00 7.457924e+06 5.935234e+02 1.873351e-01 6.101835e-01
1.819700e-03 9.996064e-01 1.016266e+00 7.147196e+06 5.687806e+02 1.640552e-01 5.823035e-01
1.905460e-03 9.998420e-01 1.006278e+00 6.787264e+06 5.401667e+02 1.367699e-01 5.528086e-01
1.995261e-03 9.971893e-01 1.016011e+00 6.480398e+06 5.156887e+02 1.720654e-01 5.318550e-01
2.089295e-03 9.944239e-01 1.010401e+00 6.225078e+06 4.953879e+02 1.984670e-01 5.102714e-01
2.187760e-03 9.962360e-01 9.992902e-01 5.825342e+06 4.635932e+02 1.150061e-01 4.828308e-01
2.290866e-03 1.000857e+00 1.013813e+00 5.664254e+06 4.508538e+02 1.349617e-01 4.595340e-01
2.398831e-03 9.978452e-01 1.001781e+00 5.369036e+06 4.272766e+02 9.799027e-02 4.395798e-01
2.511884e-03 1.001709e+00 1.005128e+00 5.086430e+06 4.048036e+02 7.999647e-02 4.223250e-01
2.630266e-03 1.000943e+00 1.000207e+00 4.828690e+06 3.842551e+02 7.371318e-02 4.004122e-01
2.754226e-03 1.000168e+00 1.011413e+00 4.661318e+06 3.709660e+02 8.144200e-02 3.805108e-01
2.884028e-03 9.991759e-01 1.002419e+00 4.396358e+06 3.498773e+02 7.064891e-02 3.619597e-01
3.019948e-03 9.961768e-01 1.010127e+00 4.249563e+06 3.382211e+02 8.629429e-02 3.558007e-01
3.162274e-03 9.986197e-01 1.002572e+00 4.020888e+06 3.199937e+02 8.577311e-02 3.339026e-01
3.311307e-03 1.001001e+00 1.017444e+00 3.895009e+06 3.099492e+02 7.470739e-02 3.255259e-01
3.467364e-03 9.979538e-01 1.009388e+00 3.651868e+06 2.906774e+02 5.848086e-02 3.061647e-01
3.630776e-03 9.992326e-01 1.006589e+00 3.534708e+06 2.813064e+02 4.513037e-02 2.956961e-01
3.801889e-03 1.001942e+00 1.007857e+00 3.355313e+06 2.670413e+02 5.682051e-02 2.819526e-01
3.981066e-03 9.985772e-01 9.994184e-01 3.197484e+06 2.544391e+02 3.276443e-02 2.691084e-01
4.168688e-03 9.992529e-01 9.939734e-01 2.999547e+06 2.387413e+02 1.575840e-02 2.528843e-01
4.365152e-03 9.988874e-01 9.972093e-01 2.835630e+06 2.257005e+02 4.591143e-02 2.414595e-01
4.570875e-03 9.983405e-01 1.004009e+00 2.735708e+06 2.177440e+02 4.492497e-02 2.330768e-01
4.786294e-03 9.993765e-01 9.967496e-01 2.616122e+06 2.082412e+02 3.468359e-02 2.216971e-01
5.011864e-03 1.000465e+00 9.880008e-01 2.422348e+06 1.927923e+02 2.868104e-02 2.049663e-01
5.248067e-03 1.002535e+00 9.901164e-01 2.312310e+06 1.840716e+02 1.044440e-02 1.953468e-01
5.495400e-03 9.976349e-01 9.899814e-01 2.219758e+06 1.766925e+02 1.316297e-02 1.890292e-01
5.754390e-03 9.995698e-01 9.987721e-01 2.135968e+06 1.700115e+02 1.161683e-02 1.809337e-01
6.025585e-03 9.990661e-01 1.002746e+00 2.074464e+06 1.651115e+02 1.344013e-02 1.761256e-01
6.309562e-03 1.000720e+00 1.001237e+00 1.974627e+06 1.571696e+02 5.669951e-03 1.671005e-01
6.606922e-03 1.000055e+00 1.008632e+00 1.930068e+06 1.536122e+02 -1.928151e-03 1.620696e-01
6.918297e-03 1.000245e+00 1.009444e+00 1.855970e+06 1.477041e+02 -1.544338e-02 1.558285e-01
7.244346e-03 9.972246e-01 1.007045e+00 1.755093e+06 1.396817e+02 -7.553518e-03 1.479954e-01
7.585761e-03 9.980397e-01 1.003913e+00 1.666892e+06 1.327820e+02 -7.595420e-04 1.413722e-01
7.943267e-03 9.992783e-01 9.932086e-01 1.580630e+06 1.257973e+02 -1.604676e-03 1.329576e-01
8.317620e-03 1.000205e+00 1.005853e+00 1.531026e+06 1.218497e+02 1.261723e-02 1.289937e-01
8.709618e-03 9.994388e-01 1.008564e+00 1.462633e+06 1.164362e+02 5.246162e-03 1.232450e-01
9.120089e-03 9.995638e-01 1.013423e+00 1.409374e+06 1.121517e+02 4.979289e-02 1.193712e-01
9.549906e-03 9.997956e-01 9.982629e-01 1.329141e+06 1.057893e+02 3.694057e-02 1.128412e-01
9.999978e-03 9.986559e-01 1.012043e+00 1.268379e+06 1.009536e+02 3.012180e-02 1.075826e-01
1.047126e-02 9.995583e-01 9.954392e-01 1.199012e+06 9.542262e+01 5.460978e-03 1.004136e-01
1.096476e-02 9.996769e-01 1.007491e+00 1.165741e+06 9.280356e+01 4.394770e-03 9.686828e-02
1.148151e-02 9.996474e-01 1.016213e+00 1.135786e+06 9.040350e+01 2.807081e-02 9.539354e-02
1.202262e-02 1.000558e+00 1.020960e+00 1.085022e+06 8.637720e+01 1.277006e-02 8.949423e-02
1.258922e-02 1.000084e+00 1.019329e+00 1.027488e+06 8.183365e+01 8.088350e-03 8.500445e-02
1.318253e-02 1.000135e+00 1.021417e+00 9.894403e+05 7.876482e+01 7.290959e-03 8.216715e-02
