#./overdamped_3d --dev=0 --amp=100.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:1:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=10 --skew=0.99 --distribution=r>> comp_r_l:-2:1:300:1_1.0_10_0.0333333333333_100.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 9.967420e-01 1.005718e+00 6.844478e+05 5.445900e+01 -2.132404e-02 2.500677e-02
1.023293e-02 9.988114e-01 1.016880e+00 6.748949e+05 5.372561e+01 -3.055668e-02 2.476084e-02
1.047129e-02 9.965997e-01 1.005156e+00 6.542509e+05 5.207613e+01 -1.068974e-02 2.421856e-02
1.071519e-02 9.977184e-01 1.005421e+00 6.411642e+05 5.108460e+01 -1.728535e-03 2.358389e-02
1.096478e-02 9.990118e-01 1.005935e+00 6.213732e+05 4.949273e+01 2.475381e-03 2.274132e-02
1.122018e-02 9.989444e-01 1.008912e+00 6.186839e+05 4.925113e+01 -1.981521e-02 2.256501e-02
1.148153e-02 9.997880e-01 1.012738e+00 6.038514e+05 4.810967e+01 -1.455522e-02 2.192259e-02
1.174897e-02 9.985235e-01 1.011064e+00 5.942901e+05 4.734127e+01 -3.145337e-03 2.163577e-02
1.202264e-02 9.989393e-01 1.025016e+00 5.843831e+05 4.653945e+01 1.354551e-02 2.142572e-02
1.230269e-02 1.000766e+00 1.020082e+00 5.704841e+05 4.543651e+01 -8.168340e-03 2.081335e-02
1.258925e-02 9.986004e-01 1.023607e+00 5.642953e+05 4.492689e+01 -5.498171e-03 2.076590e-02
1.288249e-02 9.984827e-01 1.004932e+00 5.364974e+05 4.270700e+01 -1.510978e-04 1.976275e-02
1.318256e-02 9.985677e-01 1.016648e+00 5.357774e+05 4.264525e+01 -5.352795e-03 1.964986e-02
1.348963e-02 9.976484e-01 1.008823e+00 5.174825e+05 4.119503e+01 4.070997e-04 1.911330e-02
1.380384e-02 9.980990e-01 1.013058e+00 5.096866e+05 4.059438e+01 9.587884e-03 1.871634e-02
1.412537e-02 9.984308e-01 9.955834e-01 4.807542e+05 3.829522e+01 1.226187e-03 1.783347e-02
1.445439e-02 9.986347e-01 1.016352e+00 4.914004e+05 3.914670e+01 -2.352786e-02 1.809144e-02
1.479108e-02 9.984736e-01 1.008504e+00 4.688717e+05 3.732183e+01 3.293037e-03 1.743674e-02
1.513561e-02 9.994848e-01 1.003136e+00 4.597128e+05 3.661359e+01 -8.972228e-03 1.697063e-02
1.548816e-02 9.981794e-01 1.020277e+00 4.548660e+05 3.624213e+01 -9.255588e-03 1.687646e-02
1.584893e-02 9.995837e-01 1.020502e+00 4.485928e+05 3.565453e+01 -5.563378e-03 1.661503e-02
1.621809e-02 9.994152e-01 1.009988e+00 4.312823e+05 3.436251e+01 -2.319217e-03 1.597977e-02
1.659586e-02 9.980136e-01 1.006643e+00 4.217447e+05 3.354317e+01 -2.282971e-02 1.551247e-02
1.698243e-02 9.997769e-01 1.009240e+00 4.105887e+05 3.269106e+01 -1.015860e-02 1.515448e-02
1.737800e-02 9.994124e-01 1.005447e+00 3.990587e+05 3.177433e+01 -2.004242e-02 1.477242e-02
1.778278e-02 1.000823e+00 1.006912e+00 3.922874e+05 3.126408e+01 4.088283e-03 1.438296e-02
1.819700e-02 1.000261e+00 1.011724e+00 3.887461e+05 3.098333e+01 1.679659e-03 1.432240e-02
1.862086e-02 9.999872e-01 1.002044e+00 3.731354e+05 2.973842e+01 -2.073461e-02 1.378512e-02
1.905460e-02 9.988747e-01 1.001556e+00 3.608964e+05 2.872333e+01 -1.368523e-02 1.353705e-02
1.949843e-02 9.997241e-01 1.005210e+00 3.563774e+05 2.836778e+01 -1.418084e-02 1.330435e-02
1.995261e-02 1.000220e+00 1.006968e+00 3.493876e+05 2.776840e+01 4.496098e-03 1.304138e-02
2.041737e-02 9.991703e-01 1.010353e+00 3.425698e+05 2.729252e+01 1.077688e-02 1.290500e-02
2.089295e-02 9.983518e-01 1.012300e+00 3.362818e+05 2.679564e+01 2.359486e-02 1.270843e-02
2.137960e-02 9.981638e-01 1.017146e+00 3.278514e+05 2.607053e+01 9.709120e-03 1.237917e-02
2.187760e-02 9.988627e-01 1.029909e+00 3.264401e+05 2.602406e+01 3.050196e-02 1.217198e-02
2.238719e-02 9.993532e-01 1.019059e+00 3.147215e+05 2.502457e+01 5.719423e-03 1.169419e-02
2.290866e-02 9.997244e-01 1.017459e+00 3.076556e+05 2.449235e+01 -3.855228e-04 1.145470e-02
2.344227e-02 9.994130e-01 1.015946e+00 2.997014e+05 2.386242e+01 5.842328e-03 1.125741e-02
2.398831e-02 9.998506e-01 1.011442e+00 2.898738e+05 2.309943e+01 -1.399636e-02 1.082826e-02
2.454707e-02 9.987163e-01 1.008727e+00 2.820471e+05 2.244976e+01 -1.265287e-02 1.056623e-02
2.511884e-02 9.991855e-01 1.013423e+00 2.795632e+05 2.223745e+01 -1.593649e-02 1.050484e-02
2.570393e-02 9.983808e-01 1.007437e+00 2.697612e+05 2.150088e+01 -6.126404e-03 1.020145e-02
2.630266e-02 9.995847e-01 1.002086e+00 2.621638e+05 2.083274e+01 -3.929079e-03 9.873986e-03
2.691532e-02 1.000205e+00 9.992712e-01 2.553004e+05 2.033682e+01 5.018711e-04 9.684920e-03
2.754226e-02 9.999603e-01 9.983219e-01 2.500786e+05 1.990583e+01 -8.205354e-03 9.397984e-03
2.818380e-02 1.000679e+00 1.006056e+00 2.472409e+05 1.967569e+01 -2.831507e-02 9.353518e-03
2.884029e-02 1.000337e+00 1.007796e+00 2.421376e+05 1.927685e+01 -1.101786e-02 9.074330e-03
2.951206e-02 1.001110e+00 1.014900e+00 2.392598e+05 1.905626e+01 -8.172333e-03 9.040117e-03
3.019948e-02 1.000350e+00 1.007337e+00 2.310850e+05 1.843555e+01 -3.790677e-03 8.759499e-03
3.090292e-02 1.000742e+00 1.009014e+00 2.243816e+05 1.784604e+01 -2.685785e-04 8.515477e-03
3.162274e-02 9.996338e-01 9.943164e-01 2.166713e+05 1.729473e+01 -3.825426e-03 8.293867e-03
3.235933e-02 9.994812e-01 1.004404e+00 2.144940e+05 1.714481e+01 -1.411211e-02 8.156180e-03
3.311307e-02 9.992538e-01 1.001232e+00 2.079713e+05 1.655912e+01 -2.411568e-02 7.978320e-03
3.388438e-02 9.997903e-01 1.005286e+00 2.051694e+05 1.635253e+01 -2.239102e-02 7.924438e-03
3.467364e-02 9.999061e-01 1.002609e+00 2.032813e+05 1.619433e+01 -2.985090e-02 7.837772e-03
3.548130e-02 1.000915e+00 1.002462e+00 1.976185e+05 1.574520e+01 -2.383631e-02 7.600665e-03
3.630776e-02 1.000550e+00 1.003093e+00 1.940233e+05 1.541957e+01 -2.416593e-02 7.454872e-03
3.715347e-02 1.000671e+00 1.001255e+00 1.896518e+05 1.508821e+01 -4.282475e-02 7.291079e-03
3.801889e-02 9.999774e-01 1.015822e+00 1.877546e+05 1.493828e+01 -2.317160e-02 7.205725e-03
3.890447e-02 1.000496e+00 1.008809e+00 1.802615e+05 1.432808e+01 -3.603542e-02 6.947875e-03
3.981066e-02 1.000564e+00 1.013599e+00 1.771538e+05 1.405370e+01 -3.004569e-02 6.826162e-03
4.073797e-02 1.000906e+00 1.004395e+00 1.724858e+05 1.370801e+01 -1.919472e-02 6.667852e-03
4.168688e-02 1.000144e+00 1.010059e+00 1.687403e+05 1.342249e+01 -4.591197e-02 6.568313e-03
4.265789e-02 1.000791e+00 1.005249e+00 1.642010e+05 1.306025e+01 -3.445435e-02 6.319761e-03
4.365152e-02 1.000720e+00 9.985979e-01 1.594218e+05 1.268051e+01 -3.669256e-02 6.227970e-03
4.466829e-02 9.996534e-01 9.936363e-01 1.542664e+05 1.226352e+01 -4.840857e-02 5.933285e-03
4.570875e-02 9.995937e-01 9.958016e-01 1.509045e+05 1.194935e+01 -6.306708e-02 5.796552e-03
4.677344e-02 9.994190e-01 1.004246e+00 1.488106e+05 1.183158e+01 -3.735733e-02 5.750060e-03
4.786294e-02 1.000291e+00 9.970922e-01 1.441217e+05 1.149290e+01 -4.830807e-02 5.517006e-03
4.897781e-02 9.997154e-01 9.983552e-01 1.407205e+05 1.117650e+01 -4.336935e-02 5.406380e-03
5.011865e-02 9.998060e-01 9.994446e-01 1.384018e+05 1.102848e+01 -5.733204e-02 5.353928e-03
5.128606e-02 1.000038e+00 1.010062e+00 1.366592e+05 1.085978e+01 -3.404331e-02 5.307436e-03
5.248066e-02 9.999981e-01 1.007668e+00 1.331178e+05 1.062041e+01 -2.468193e-02 5.182624e-03
5.370309e-02 9.996799e-01 1.002745e+00 1.300185e+05 1.032597e+01 -4.579461e-02 5.044818e-03
5.495400e-02 1.000173e+00 1.016365e+00 1.295389e+05 1.027791e+01 -6.279898e-02 5.045414e-03
5.623404e-02 9.998503e-01 1.004099e+00 1.262768e+05 1.001689e+01 -3.904921e-02 5.006909e-03
5.754390e-02 1.000229e+00 1.007317e+00 1.216566e+05 9.682986e+00 -3.546679e-02 4.805446e-03
5.888427e-02 9.998926e-01 9.991653e-01 1.171699e+05 9.344941e+00 -4.965448e-02 4.658222e-03
6.025586e-02 1.000221e+00 1.010613e+00 1.158948e+05 9.152364e+00 -3.004444e-02 4.587293e-03
6.165939e-02 1.000409e+00 1.012074e+00 1.135573e+05 8.988434e+00 -1.610214e-02 4.547238e-03
6.309562e-02 9.996897e-01 9.964538e-01 1.116223e+05 8.835646e+00 -2.953357e-02 4.424691e-03
6.456531e-02 1.000111e+00 9.945712e-01 1.088563e+05 8.657710e+00 -2.324873e-02 4.296780e-03
6.606922e-02 1.000405e+00 9.915251e-01 1.054684e+05 8.312344e+00 -1.509893e-02 4.194379e-03
6.760818e-02 1.000701e+00 9.993238e-01 1.035295e+05 8.180882e+00 -6.682932e-03 4.117846e-03
6.918297e-02 1.000161e+00 9.877429e-01 9.973984e+04 7.916048e+00 2.360332e-02 4.007220e-03
7.079445e-02 1.000470e+00 9.901271e-01 9.696754e+04 7.670631e+00 1.363206e-02 3.880024e-03
7.244346e-02 9.998071e-01 9.843153e-01 9.400327e+04 7.475189e+00 2.878153e-02 3.777385e-03
7.413089e-02 9.998048e-01 9.909739e-01 9.297735e+04 7.371420e+00 2.707899e-02 3.762245e-03
7.585761e-02 1.000342e+00 9.987687e-01 9.186341e+04 7.273062e+00 1.957786e-02 3.742099e-03
7.762456e-02 9.995957e-01 1.003729e+00 9.082100e+04 7.217040e+00 -1.317918e-03 3.748894e-03
7.943267e-02 9.983521e-01 1.002168e+00 8.910591e+04 7.039423e+00 4.490614e-03 3.700495e-03
8.128289e-02 9.984180e-01 1.002111e+00 8.632527e+04 6.880268e+00 2.350938e-02 3.591061e-03
8.317621e-02 9.978091e-01 9.893275e-01 8.354214e+04 6.648538e+00 2.318263e-02 3.471732e-03
8.511363e-02 9.975643e-01 1.000846e+00 8.270858e+04 6.532673e+00 1.898456e-02 3.492713e-03
