#./overdamped_3d --dev=0 --amp=100.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-3:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0 --zeta=0.0333333333333 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> comp_s_3.14_l:-3:3:300:1_1.0_0.99_0.0333333333333_100.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-03 1.000608e+00 1.000781e+00 6.277310e+06 4.991764e+02 3.783703e-02 1.767668e-01
1.047128e-03 9.932733e-01 9.984182e-01 6.000690e+06 4.779104e+02 8.818865e-03 1.721222e-01
1.096478e-03 1.000282e+00 9.945441e-01 5.775946e+06 4.595726e+02 1.147354e-02 1.632791e-01
1.148153e-03 9.908297e-01 9.951105e-01 5.393299e+06 4.291724e+02 2.422643e-02 1.557323e-01
1.202264e-03 9.982467e-01 1.002836e+00 5.260858e+06 4.179504e+02 5.094624e-02 1.493500e-01
1.258925e-03 9.938715e-01 1.005457e+00 5.052974e+06 4.022374e+02 4.676950e-02 1.448196e-01
1.318256e-03 9.979500e-01 9.981250e-01 4.770662e+06 3.795746e+02 4.939520e-02 1.357797e-01
1.380384e-03 9.946973e-01 1.000958e+00 4.638092e+06 3.690189e+02 5.109167e-02 1.327170e-01
1.445439e-03 1.000497e+00 1.004018e+00 4.503038e+06 3.593715e+02 1.028888e-01 1.271950e-01
1.513561e-03 1.004046e+00 1.010182e+00 4.360682e+06 3.471516e+02 8.695817e-02 1.218008e-01
1.584893e-03 1.001279e+00 1.012374e+00 4.149698e+06 3.302306e+02 5.257392e-02 1.171477e-01
1.659586e-03 1.001455e+00 1.014164e+00 3.989772e+06 3.174644e+02 4.911971e-02 1.128167e-01
1.737800e-03 1.003997e+00 1.017341e+00 3.781352e+06 3.004610e+02 4.525602e-02 1.061066e-01
1.819700e-03 9.981714e-01 1.022006e+00 3.669300e+06 2.919809e+02 8.082938e-02 1.040105e-01
1.905460e-03 9.993117e-01 1.028704e+00 3.494738e+06 2.783254e+02 6.763899e-02 9.903657e-02
1.995261e-03 9.984194e-01 1.025594e+00 3.350826e+06 2.665871e+02 5.209327e-02 9.537232e-02
2.089295e-03 9.982526e-01 1.014426e+00 3.158749e+06 2.518060e+02 7.201493e-02 9.008884e-02
2.187760e-03 1.003219e+00 1.011646e+00 3.029570e+06 2.409112e+02 3.317702e-02 8.525419e-02
2.290866e-03 1.001112e+00 1.003203e+00 2.887890e+06 2.298404e+02 3.495610e-02 8.180058e-02
2.398831e-03 1.002074e+00 9.990547e-01 2.725733e+06 2.170756e+02 -5.223155e-04 7.695794e-02
2.511884e-03 1.005124e+00 9.992457e-01 2.586838e+06 2.058491e+02 -3.248483e-02 7.274473e-02
2.630266e-03 1.005823e+00 1.003065e+00 2.501650e+06 1.989580e+02 -3.099293e-02 7.005882e-02
2.754226e-03 1.007916e+00 1.006528e+00 2.403501e+06 1.915392e+02 -9.651423e-03 6.755960e-02
2.884028e-03 1.002412e+00 1.008773e+00 2.290324e+06 1.827748e+02 -2.429074e-02 6.509042e-02
3.019948e-03 1.002986e+00 1.004566e+00 2.169216e+06 1.726229e+02 -1.952606e-02 6.159830e-02
3.162274e-03 1.002475e+00 1.004084e+00 2.059803e+06 1.638930e+02 -3.321260e-02 5.838072e-02
3.311307e-03 1.002512e+00 1.003129e+00 1.977041e+06 1.573584e+02 -2.959853e-02 5.619085e-02
