#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=1048576 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:2.5:200:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.000333333333333 --comp=0 --mean=0.01 --second=3.14 --skew=0.99 --distribution=s>> remake_rys1_s_3.14_a:-1:2.5:200:1_0.01_0.99_30.0.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 1.039639e-02 1.001456e+00 5.893286e+05 4.689768e+01 -1.417154e-02 5.531430e-03
1.041118e-01 1.048073e-02 9.995657e-01 5.874464e+05 4.674693e+01 -1.741397e-02 5.540609e-03
1.083927e-01 1.052646e-02 1.000669e+00 5.891815e+05 4.688453e+01 -1.584649e-02 5.637646e-03
1.128496e-01 1.026187e-02 9.985389e-01 5.892352e+05 4.688959e+01 -1.587653e-02 5.523562e-03
1.174897e-01 1.049027e-02 1.000792e+00 5.903252e+05 4.697625e+01 -1.504946e-02 5.548835e-03
1.223207e-01 1.068909e-02 9.996497e-01 5.888802e+05 4.686105e+01 -1.614827e-02 5.533814e-03
1.273503e-01 1.047060e-02 9.983783e-01 5.872464e+05 4.673056e+01 -1.689833e-02 5.614400e-03
1.325867e-01 1.064161e-02 9.972515e-01 5.872989e+05 4.673372e+01 -1.433206e-02 5.600572e-03
1.380384e-01 1.066414e-02 9.976212e-01 5.876997e+05 4.676791e+01 -1.491052e-02 5.545020e-03
1.437142e-01 1.047666e-02 9.991524e-01 5.886376e+05 4.684155e+01 -1.517379e-02 5.553961e-03
1.496235e-01 1.077526e-02 9.990050e-01 5.889427e+05 4.686488e+01 -1.432759e-02 5.556583e-03
1.557757e-01 1.050484e-02 9.991085e-01 5.877086e+05 4.676769e+01 -1.437068e-02 5.556226e-03
1.621809e-01 1.082788e-02 9.982138e-01 5.872309e+05 4.672996e+01 -1.299846e-02 5.567670e-03
1.688495e-01 1.069091e-02 9.997259e-01 5.885824e+05 4.683639e+01 -1.563281e-02 5.601883e-03
1.757923e-01 1.040887e-02 9.994864e-01 5.885489e+05 4.683344e+01 -1.428187e-02 5.551457e-03
1.830205e-01 1.055767e-02 9.993837e-01 5.875863e+05 4.675523e+01 -1.505935e-02 5.574584e-03
