#./overdamped_3d --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0.666666666667 --comp=0 --mean=20.0 --second=3.14 --skew=0.99 --distribution=s>> remake_rys1_s_3.14_a:-1:3:300:1_20.0_0.99_30.0.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 1.999793e+01 9.953130e-01 6.689486e+05 6.812341e+01 -1.350647e-02 1.472235e-04
1.031177e-01 1.999782e+01 1.003973e+00 6.751436e+05 4.677373e+01 -1.698202e-02 1.450777e-04
1.063327e-01 1.999751e+01 9.999910e-01 6.730164e+05 6.005616e+01 -2.007836e-02 1.279116e-04
1.096478e-01 1.999773e+01 9.975860e-01 6.697973e+05 6.999761e+01 -1.008320e-02 1.444817e-04
1.130663e-01 1.999729e+01 1.005980e+00 6.759590e+05 5.158148e+01 -1.845676e-02 1.455545e-04
1.165914e-01 1.999817e+01 9.976439e-01 6.720704e+05 5.207040e+01 -2.172631e-02 1.283884e-04
1.202264e-01 1.999809e+01 1.002368e+00 6.710504e+05 5.704113e+01 -2.636421e-02 1.459122e-04
1.239747e-01 1.999770e+01 1.003946e+00 6.746195e+05 5.370015e+01 -1.244879e-02 1.531839e-04
1.278399e-01 1.999890e+01 9.975353e-01 6.718178e+05 6.168591e+01 -1.409626e-02 1.435280e-04
1.318256e-01 1.999787e+01 1.002460e+00 6.699002e+05 6.013765e+01 -2.643281e-02 1.353025e-04
1.359356e-01 1.999760e+01 1.001165e+00 6.747991e+05 6.787894e+01 -2.613974e-02 1.474619e-04
1.401737e-01 1.999717e+01 1.001849e+00 6.730468e+05 6.046360e+01 -9.687424e-03 1.504421e-04
1.445439e-01 1.999757e+01 1.005163e+00 6.786082e+05 4.082515e+01 -1.875615e-02 1.294613e-04
1.490504e-01 1.999753e+01 1.000851e+00 6.711714e+05 5.459651e+01 -1.144314e-02 1.486540e-04
1.536974e-01 1.999770e+01 1.000730e+00 6.722669e+05 6.323417e+01 -1.897478e-02 1.407862e-04
1.584892e-01 1.999817e+01 1.007411e+00 6.772538e+05 5.255933e+01 -1.324540e-02 1.477003e-04
1.634305e-01 1.999880e+01 1.005256e+00 6.757421e+05 3.650632e+01 -2.794218e-02 1.474619e-04
1.685258e-01 1.999826e+01 9.965885e-01 6.738364e+05 6.193037e+01 -1.372236e-02 1.317263e-04
1.737800e-01 1.999809e+01 9.989060e-01 6.676912e+05 6.404904e+01 -2.358311e-02 1.240969e-04
1.791980e-01 1.999753e+01 1.006699e+00 6.775132e+05 4.799604e+01 -1.822358e-02 1.478195e-04
1.847849e-01 1.999829e+01 1.010255e+00 6.749529e+05 7.227926e+01 -2.119648e-02 1.339912e-04
1.905460e-01 1.999798e+01 1.003730e+00 6.668919e+05 3.781012e+01 -9.883463e-03 1.488924e-04
1.964867e-01 1.999752e+01 1.008281e+00 6.752574e+05 6.193037e+01 -1.714981e-02 1.434088e-04
2.026126e-01 1.999844e+01 1.014983e+00 6.820689e+05 5.133702e+01 -1.776445e-02 1.401901e-04
2.089295e-01 1.999833e+01 9.991414e-01 6.730963e+05 4.758860e+01 -2.340984e-02 1.375675e-04
2.154433e-01 1.999708e+01 1.002242e+00 6.744212e+05 5.899683e+01 -2.428317e-02 1.431704e-04
2.221602e-01 1.999797e+01 1.004502e+00 6.709775e+05 4.318828e+01 -2.453566e-02 1.364946e-04
2.290866e-01 1.999719e+01 9.998367e-01 6.704376e+05 7.301264e+01 -1.960218e-02 1.465082e-04
2.362289e-01 1.999881e+01 9.875060e-01 6.631271e+05 4.946281e+01 -1.726347e-02 1.353025e-04
