#./overdamped_3d --dev=0 --amp=10.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=400 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:200:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0 --zeta=0 --comp=0 --mean=1.0 --second=3.14 --skew=-0.99 --distribution=s>> 1d_s_var_3.14_skew_-0.99_l:-2:3:200:1_0.01_10.0_1.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 9.973354e-01 9.998734e-01 6.192668e+05 4.923967e+01 -3.077805e-03 1.866663e-02
1.059254e-02 9.942361e-01 9.975095e-01 5.814022e+05 4.632841e+01 -1.047575e-02 1.759183e-02
1.122018e-02 9.926395e-01 9.937616e-01 5.496991e+05 4.376697e+01 -9.233952e-03 1.669264e-02
1.188502e-02 1.003322e+00 1.000401e+00 5.291060e+05 4.209425e+01 5.132675e-03 1.588309e-02
1.258925e-02 1.006318e+00 9.939616e-01 5.025196e+05 3.999086e+01 2.896786e-04 1.503086e-02
1.333521e-02 9.980304e-01 9.950923e-01 4.626544e+05 3.683323e+01 -1.188397e-02 1.414037e-02
1.412537e-02 9.968426e-01 9.975902e-01 4.451450e+05 3.546290e+01 8.037567e-03 1.369762e-02
1.496235e-02 1.008421e+00 1.003778e+00 4.329606e+05 3.449683e+01 -7.822990e-03 1.314592e-02
1.584893e-02 9.914694e-01 1.000451e+00 3.866232e+05 3.075160e+01 -1.028115e-02 1.214230e-02
1.678803e-02 1.007435e+00 1.001411e+00 3.792760e+05 3.018055e+01 -1.095045e-02 1.161110e-02
1.778278e-02 9.975371e-01 1.005928e+00 3.506474e+05 2.792723e+01 -2.442831e-02 1.100421e-02
1.883648e-02 1.006401e+00 1.004606e+00 3.378628e+05 2.686631e+01 -2.209884e-02 1.043391e-02
1.995261e-02 9.932861e-01 1.002927e+00 3.089579e+05 2.457766e+01 -1.526266e-02 9.856820e-03
2.113488e-02 1.010239e+00 1.001701e+00 3.014620e+05 2.394932e+01 -6.390333e-03 9.390354e-03
2.238719e-02 9.795464e-01 1.002281e+00 2.712471e+05 2.161865e+01 5.027056e-03 9.029746e-03
2.371372e-02 1.012171e+00 1.002903e+00 2.717766e+05 2.167754e+01 -2.993143e-02 8.532882e-03
2.511884e-02 9.997312e-01 1.003882e+00 2.510128e+05 1.999941e+01 -2.528805e-02 8.211613e-03
2.660723e-02 9.914315e-01 1.009279e+00 2.334514e+05 1.860107e+01 -1.454002e-02 7.752895e-03
2.818380e-02 1.014726e+00 9.994742e-01 2.302304e+05 1.832605e+01 4.719615e-03 7.321715e-03
2.985379e-02 9.987929e-01 9.995043e-01 2.092050e+05 1.661068e+01 -1.200855e-03 7.024527e-03
3.162274e-02 9.828281e-01 1.006671e+00 1.938024e+05 1.546190e+01 9.288788e-04 6.743431e-03
3.349651e-02 1.012920e+00 9.999122e-01 1.914500e+05 1.520757e+01 2.892733e-03 6.297112e-03
3.548130e-02 1.013751e+00 1.004880e+00 1.832433e+05 1.455918e+01 1.300490e-02 6.175995e-03
3.758369e-02 9.828279e-01 9.982679e-01 1.626327e+05 1.295362e+01 2.064717e-02 5.913258e-03
3.981066e-02 9.840804e-01 1.012403e+00 1.568977e+05 1.247552e+01 -4.941344e-03 5.593538e-03
4.216959e-02 1.014852e+00 1.015317e+00 1.590714e+05 1.259393e+01 1.727450e-02 5.484581e-03
4.466829e-02 1.023284e+00 1.017833e+00 1.544956e+05 1.223551e+01 1.395321e-02 5.358934e-03
4.731506e-02 1.003873e+00 1.009923e+00 1.379560e+05 1.092662e+01 2.195776e-02 5.091429e-03
5.011865e-02 9.635553e-01 1.011626e+00 1.203448e+05 9.624736e+00 1.003766e-02 4.816175e-03
5.308836e-02 9.795739e-01 1.014086e+00 1.180867e+05 9.414969e+00 1.598227e-02 4.495621e-03
5.623404e-02 1.012635e+00 1.006588e+00 1.182585e+05 9.339849e+00 2.165508e-02 4.307985e-03
5.956611e-02 1.030672e+00 1.005204e+00 1.162435e+05 9.190243e+00 1.150191e-02 4.166484e-03
6.309562e-02 1.029445e+00 1.000885e+00 1.100932e+05 8.748110e+00 2.104151e-02 4.068375e-03
6.683427e-02 1.009968e+00 9.994415e-01 1.009806e+05 8.001355e+00 3.361559e-02 4.031181e-03
7.079445e-02 9.736769e-01 9.970596e-01 8.731995e+04 6.958572e+00 2.075672e-03 3.828883e-03
7.498927e-02 9.318547e-01 9.885744e-01 7.367864e+04 5.931705e+00 2.760172e-03 3.507972e-03
7.943267e-02 9.671450e-01 9.979922e-01 7.476557e+04 5.991547e+00 -8.638024e-03 3.280878e-03
8.413934e-02 1.002862e+00 9.887193e-01 7.631905e+04 6.056482e+00 -7.536113e-03 3.170013e-03
8.912491e-02 1.029884e+00 9.862965e-01 7.654836e+04 5.984862e+00 -1.911706e-02 3.068566e-03
9.440588e-02 1.046595e+00 9.906624e-01 7.591305e+04 5.912288e+00 -2.531064e-02 3.006577e-03
9.999978e-02 1.052198e+00 1.014596e+00 7.533268e+04 5.953350e+00 -1.909357e-02 3.007770e-03
1.059251e-01 1.045825e+00 1.008168e+00 7.149331e+04 5.678011e+00 -1.428640e-02 2.948284e-03
1.122016e-01 1.028225e+00 9.988173e-01 6.558311e+04 5.125426e+00 -7.222295e-04 2.930760e-03
1.188499e-01 1.000003e+00 1.003057e+00 6.016795e+04 4.731676e+00 -1.801348e-02 2.944827e-03
