#./overdamped_3d --dev=0 --amp=10.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=400 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:200:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=0 --zeta=0 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> 1d_s_var_3.14_skew_0.99_l:-2:3:200:1_0.01_10.0_1.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 1.006411e+00 9.970807e-01 6.319446e+05 5.030060e+01 -8.346260e-03 1.854658e-02
1.059254e-02 1.002760e+00 9.896513e-01 5.802696e+05 4.615907e+01 1.398563e-03 1.733828e-02
1.122018e-02 9.957131e-01 9.866921e-01 5.492802e+05 4.375901e+01 -1.377946e-02 1.657069e-02
1.188502e-02 9.950945e-01 9.966645e-01 5.217999e+05 4.150347e+01 6.196499e-04 1.589084e-02
1.258925e-02 9.996409e-01 9.942015e-01 4.953210e+05 3.940135e+01 5.943060e-03 1.499879e-02
1.333521e-02 1.009649e+00 9.971470e-01 4.777018e+05 3.796418e+01 1.240635e-02 1.428735e-02
1.412537e-02 9.939843e-01 1.001004e+00 4.386368e+05 3.488867e+01 -4.938066e-03 1.362705e-02
1.496235e-02 1.000033e+00 1.003884e+00 4.254621e+05 3.387899e+01 -5.134344e-04 1.314199e-02
1.584893e-02 1.003641e+00 1.005313e+00 4.002274e+05 3.184149e+01 -1.984119e-02 1.228690e-02
1.678803e-02 9.926873e-01 1.003147e+00 3.673901e+05 2.924567e+01 -2.678406e-02 1.172471e-02
1.778278e-02 1.011056e+00 1.001360e+00 3.590398e+05 2.857945e+01 -1.708239e-02 1.096547e-02
1.883648e-02 9.897160e-01 1.012969e+00 3.342914e+05 2.659957e+01 -2.247524e-02 1.066649e-02
1.995261e-02 1.009421e+00 9.968522e-01 3.169508e+05 2.524261e+01 -7.802308e-03 9.808660e-03
2.113488e-02 9.917385e-01 9.985799e-01 2.907686e+05 2.314781e+01 -1.461279e-02 9.479284e-03
2.238719e-02 9.985525e-01 1.000341e+00 2.810429e+05 2.239851e+01 2.989054e-03 9.000778e-03
2.371372e-02 1.004289e+00 9.990575e-01 2.686493e+05 2.139329e+01 -1.934338e-02 8.613229e-03
2.511884e-02 9.863983e-01 9.999406e-01 2.429810e+05 1.938221e+01 -3.923649e-02 8.217692e-03
2.660723e-02 1.012222e+00 1.001580e+00 2.418943e+05 1.926921e+01 -4.925966e-03 7.724404e-03
2.818380e-02 9.986271e-01 1.006021e+00 2.249077e+05 1.792753e+01 -2.431512e-03 7.452488e-03
2.985379e-02 9.845891e-01 1.007861e+00 2.045038e+05 1.630351e+01 1.875997e-03 7.089972e-03
3.162274e-02 1.007438e+00 1.002207e+00 2.000668e+05 1.595496e+01 -5.815923e-03 6.594658e-03
3.349651e-02 1.011177e+00 9.953650e-01 1.902888e+05 1.507006e+01 3.990412e-03 6.336093e-03
3.548130e-02 9.826974e-01 1.003429e+00 1.720118e+05 1.367427e+01 1.310647e-02 6.203413e-03
3.758369e-02 9.848037e-01 9.919538e-01 1.614888e+05 1.285144e+01 1.575208e-02 5.813956e-03
3.981066e-02 1.015353e+00 1.006082e+00 1.661375e+05 1.321686e+01 1.844990e-02 5.608797e-03
4.216959e-02 1.019753e+00 1.017973e+00 1.607238e+05 1.268815e+01 8.852363e-03 5.490780e-03
4.466829e-02 9.863135e-01 1.005953e+00 1.434681e+05 1.142000e+01 3.110528e-03 5.408168e-03
4.731506e-02 9.745649e-01 1.012481e+00 1.318478e+05 1.046858e+01 6.550789e-03 5.171061e-03
5.011865e-02 9.874697e-01 1.009937e+00 1.263219e+05 1.005032e+01 5.012631e-03 4.873157e-03
5.308836e-02 1.021052e+00 1.010546e+00 1.274775e+05 1.011716e+01 1.975846e-02 4.509687e-03
5.623404e-02 1.042214e+00 1.003222e+00 1.246557e+05 9.826226e+00 9.551644e-03 4.247427e-03
5.956611e-02 1.001841e+00 1.011710e+00 1.109282e+05 8.769437e+00 1.256371e-02 4.274487e-03
6.309562e-02 9.745137e-01 1.008897e+00 1.002028e+05 7.962203e+00 3.373480e-02 4.208684e-03
6.683427e-02 9.638064e-01 9.994557e-01 9.108714e+04 7.284522e+00 1.627266e-02 4.054308e-03
7.079445e-02 9.708676e-01 9.970414e-01 8.650401e+04 6.899048e+00 -1.239759e-02 3.844619e-03
7.498927e-02 9.933625e-01 9.922296e-01 8.374505e+04 6.667637e+00 5.668402e-04 3.540993e-03
7.943267e-02 1.029109e+00 9.920678e-01 8.457526e+04 6.665091e+00 -9.549558e-03 3.325582e-03
8.413934e-02 1.072632e+00 9.947659e-01 8.569400e+04 6.758674e+00 9.852529e-03 3.118157e-03
8.912491e-02 1.046492e+00 9.963022e-01 7.931972e+04 6.247149e+00 -5.138457e-03 3.126383e-03
9.440588e-02 1.007886e+00 9.892495e-01 7.245902e+04 5.651274e+00 -1.887679e-02 3.144026e-03
9.999978e-02 9.767227e-01 1.004771e+00 6.723959e+04 5.337420e+00 -1.621103e-02 3.233075e-03
1.059251e-01 9.541592e-01 1.002389e+00 6.122584e+04 4.892105e+00 -1.456916e-02 3.219962e-03
1.122016e-01 9.408781e-01 1.000497e+00 5.624525e+04 4.540372e+00 -7.270277e-03 3.209472e-03
1.188499e-01 9.379053e-01 9.994459e-01 5.266545e+04 4.253256e+00 -1.708764e-02 3.107071e-03
1.258922e-01 9.452112e-01 9.933816e-01 4.931366e+04 3.975054e+00 -1.195008e-02 2.954125e-03
