#./overdamped_3d --dev=1 --amp=40.0 --omega=6.28318530718 --force=0 --Dg=0.01 --block=1 --paths=1 --periods=25 --trans=0 --samples=1 --spp=400 --algorithm=euler --pav=1 --mode=trajectory --domain=1d --domainx=s:-2:2:200:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30 --zeta=0 --comp=0 --mean=0 --second=3.14 --skew=0.99 --distribution=s>> trajektoria_s_var_3.14_skew_0.99_lam_30_Dg_0.01_amp_40.0_29.dat
#t <x> <x^2> qnu(q) mu_q Dx Gx EBx
2.500000e-03 4.476366e-01 2.003785e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
5.000000e-03 5.448549e-01 2.968669e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
7.500000e-03 6.374463e-01 4.063378e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.000000e-02 7.248791e-01 5.254498e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.250000e-02 8.068082e-01 6.509394e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.500000e-02 8.830599e-01 7.797948e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.750000e-02 9.394678e-01 8.825997e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
2.000000e-02 9.914185e-01 9.829106e-01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
2.250000e-02 1.053240e+00 1.109314e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
2.500000e-02 1.095645e+00 1.200437e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
2.750000e-02 1.148463e+00 1.318967e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
3.000000e-02 1.182381e+00 1.398025e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
3.250000e-02 1.227324e+00 1.506325e+00 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
3.500000e-02 3.508031e+00 1.230628e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
3.750000e-02 4.495004e+00 2.020506e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
4.000000e-02 4.480507e+00 2.007495e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
4.250000e-02 4.450455e+00 1.980655e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
4.500000e-02 4.431632e+00 1.963936e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
4.750000e-02 4.953718e+00 2.453932e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
5.000000e-02 4.984688e+00 2.484711e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
5.250000e-02 5.018653e+00 2.518688e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
5.500000e-02 6.401113e+00 4.097424e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
5.750000e-02 6.493347e+00 4.216356e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
6.000000e-02 6.584075e+00 4.335005e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
6.250000e-02 6.672512e+00 4.452242e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
6.500000e-02 6.421287e+00 4.123293e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
6.750000e-02 6.513264e+00 4.242260e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
7.000000e-02 6.617700e+00 4.379395e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
7.250000e-02 6.705086e+00 4.495818e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
7.500000e-02 6.803388e+00 4.628609e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
7.750000e-02 6.883089e+00 4.737691e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
8.000000e-02 6.972699e+00 4.861853e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
8.250000e-02 7.042783e+00 4.960080e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
8.500000e-02 7.108223e+00 5.052684e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
8.750000e-02 7.183147e+00 5.159761e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
9.000000e-02 7.252383e+00 5.259706e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
9.250000e-02 7.301908e+00 5.331785e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
9.500000e-02 7.347282e+00 5.398255e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
9.750000e-02 7.388741e+00 5.459349e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
9.999999e-02 7.426533e+00 5.515340e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.025000e-01 7.475060e+00 5.587651e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.050000e-01 7.504980e+00 5.632473e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.075000e-01 7.532105e+00 5.673260e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.100000e-01 7.570811e+00 5.731718e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.125000e-01 7.591680e+00 5.763361e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.150000e-01 7.610539e+00 5.792031e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.175000e-01 7.627573e+00 5.817987e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.200000e-01 7.657092e+00 5.863106e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.225000e-01 7.669583e+00 5.882250e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.250000e-01 7.694989e+00 5.921286e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.275000e-01 7.717893e+00 5.956587e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.300000e-01 7.724389e+00 5.966618e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.325000e-01 7.744383e+00 5.997547e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
1.350000e-01 7.762392e+00 6.025473e+01 -nan 0.000000e+00 0.000000e+00 -nan 0.000000e+00
