#./overdamped_3d_new_pot_1 --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=4096 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-1:3:200:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=3.14 --skew=-0.99 --distribution=s>> new_pot_1_s_3.14_-0.99_l:-1:3:200:1_0.01_40.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 9.639906e-01 9.850988e-01 6.384087e+04 5.102189e+00 3.762662e-02 2.668262e-03
1.047129e-01 9.449326e-01 9.981703e-01 5.947691e+04 4.746318e+00 -7.000625e-03 2.735138e-03
1.096478e-01 9.167876e-01 1.024324e+00 5.732377e+04 4.568702e+00 -1.430809e-02 2.836227e-03
1.148153e-01 8.822220e-01 9.786659e-01 4.899296e+04 3.897704e+00 5.035341e-02 2.716660e-03
1.202264e-01 8.422059e-01 1.034761e+00 4.521524e+04 3.595469e+00 5.789781e-02 2.800107e-03
1.258925e-01 7.960400e-01 1.027231e+00 3.614725e+04 2.872428e+00 9.460270e-02 2.354741e-03
1.318256e-01 7.982696e-01 1.013218e+00 3.361202e+04 2.673485e+00 3.538597e-02 2.036810e-03
1.380384e-01 8.236221e-01 1.018240e+00 3.418474e+04 2.718685e+00 8.004069e-03 2.000213e-03
1.445439e-01 8.472589e-01 1.005725e+00 3.506510e+04 2.795557e+00 -8.400261e-03 1.826525e-03
1.513561e-01 8.701188e-01 1.021634e+00 3.570887e+04 2.843144e+00 -1.642966e-02 1.713395e-03
1.584892e-01 8.917356e-01 9.822050e-01 3.542495e+04 2.817202e+00 -8.333325e-04 1.637459e-03
1.659586e-01 9.099140e-01 1.009959e+00 3.584367e+04 2.861128e+00 -1.537949e-02 1.587152e-03
1.737800e-01 9.256839e-01 9.984650e-01 3.634497e+04 2.894710e+00 -4.150194e-02 1.556635e-03
1.819700e-01 9.375795e-01 1.021510e+00 3.806946e+04 3.040496e+00 -4.890919e-02 1.608014e-03
1.905460e-01 9.469335e-01 9.991040e-01 3.685016e+04 2.939592e+00 1.334751e-02 1.483560e-03
1.995261e-01 9.542301e-01 1.017615e+00 3.808855e+04 3.032856e+00 2.126694e-03 1.558065e-03
2.089295e-01 9.565485e-01 1.046631e+00 4.024593e+04 3.222888e+00 -4.286444e-02 1.621008e-03
2.187760e-01 9.557190e-01 1.033357e+00 3.884744e+04 3.101611e+00 -7.192129e-02 1.590014e-03
2.290866e-01 9.516696e-01 1.022243e+00 3.840514e+04 3.067871e+00 -3.610343e-02 1.560926e-03
2.398831e-01 9.432390e-01 1.020086e+00 3.879711e+04 3.100975e+00 -6.605285e-02 1.546621e-03
2.511884e-01 9.319249e-01 1.017341e+00 3.826941e+04 3.049409e+00 -7.531297e-02 1.555800e-03
2.630266e-01 9.170333e-01 1.029186e+00 3.712866e+04 2.957735e+00 -5.386907e-02 1.578808e-03
2.754226e-01 8.980916e-01 1.010032e+00 3.637996e+04 2.893278e+00 -5.301374e-02 1.564026e-03
2.884029e-01 8.762764e-01 1.029617e+00 3.681989e+04 2.928292e+00 -8.176935e-02 1.570344e-03
3.019949e-01 8.504724e-01 9.952434e-01 3.343847e+04 2.667914e+00 -3.823888e-02 1.545668e-03
3.162274e-01 8.232719e-01 9.992780e-01 3.411636e+04 2.714547e+00 -1.768303e-02 1.607418e-03
3.311308e-01 7.900882e-01 1.029686e+00 3.348529e+04 2.669665e+00 -7.776439e-03 1.645684e-03
3.467365e-01 7.533519e-01 1.042143e+00 3.269448e+04 2.600910e+00 -3.290302e-02 1.653552e-03
3.630777e-01 7.148816e-01 9.957284e-01 2.972041e+04 2.371727e+00 7.273793e-03 1.666903e-03
3.801890e-01 6.724173e-01 1.053240e+00 2.934992e+04 2.339737e+00 4.444742e-02 1.730561e-03
3.981068e-01 6.264500e-01 1.005955e+00 2.697278e+04 2.139520e+00 4.360187e-02 1.792669e-03
4.168690e-01 5.780500e-01 1.008099e+00 2.639476e+04 2.099333e+00 2.248335e-02 1.808286e-03
4.365154e-01 5.272489e-01 1.020794e+00 2.392052e+04 1.901344e+00 2.069390e-02 1.872659e-03
4.570878e-01 4.703956e-01 1.010541e+00 2.213632e+04 1.759537e+00 -5.585033e-02 1.972556e-03
4.786297e-01 4.133310e-01 1.003699e+00 2.084967e+04 1.657479e+00 5.859470e-02 1.995802e-03
5.011868e-01 3.506875e-01 9.964107e-01 1.887512e+04 1.501985e+00 -5.285382e-03 2.164006e-03
5.248070e-01 2.852207e-01 1.030333e+00 1.829981e+04 1.455353e+00 -7.487929e-02 2.264023e-03
5.495405e-01 2.169392e-01 9.864621e-01 1.496192e+04 1.189395e+00 -6.223869e-02 2.495170e-03
5.754395e-01 1.465016e-01 1.018972e+00 1.397812e+04 1.112120e+00 -6.021738e-03 2.568126e-03
6.025591e-01 7.656243e-02 1.017533e+00 1.144003e+04 9.103724e-01 1.431930e-02 2.897382e-03
6.309568e-01 1.565848e-02 1.024528e+00 1.005884e+04 8.004554e-01 -6.701171e-03 3.121853e-03
6.606929e-01 -3.153767e-02 1.033079e+00 9.556447e+03 7.604824e-01 8.796334e-03 3.365755e-03
6.918304e-01 -6.372390e-02 1.022035e+00 9.334715e+03 7.428544e-01 9.417534e-05 3.307581e-03
7.244353e-01 -8.725172e-02 9.891240e-01 8.950268e+03 7.122582e-01 1.931787e-02 3.274679e-03
7.585769e-01 -1.058736e-01 1.021649e+00 1.005449e+04 8.000619e-01 4.110968e-02 3.257394e-03
7.943276e-01 -1.236553e-01 9.958343e-01 1.009383e+04 8.031455e-01 -4.353940e-03 3.148437e-03
8.317630e-01 -1.424350e-01 1.009831e+00 1.126950e+04 8.969773e-01 -8.255899e-03 2.980828e-03
8.709628e-01 -1.624493e-01 1.038767e+00 1.217147e+04 9.685871e-01 -1.475739e-02 2.871513e-03
9.120100e-01 -1.830720e-01 9.885380e-01 1.237417e+04 9.846717e-01 1.083405e-01 2.868772e-03
9.549918e-01 -2.050299e-01 1.033529e+00 1.399535e+04 1.113358e+00 5.694735e-02 2.665639e-03
9.999991e-01 -2.286393e-01 1.011725e+00 1.483161e+04 1.179169e+00 5.447090e-02 2.599597e-03
1.047128e+00 -2.529865e-01 1.020962e+00 1.601724e+04 1.274433e+00 -2.309722e-02 2.415538e-03
1.096477e+00 -2.791101e-01 9.912022e-01 1.719570e+04 1.368991e+00 -7.873112e-02 2.338767e-03
1.148153e+00 -3.065192e-01 1.037718e+00 1.864693e+04 1.483702e+00 -1.207680e-02 2.212763e-03
1.202263e+00 -3.347943e-01 9.943558e-01 1.900563e+04 1.511574e+00 -3.069264e-02 2.016783e-03
1.258924e+00 -3.656067e-01 1.033594e+00 2.129555e+04 1.693448e+00 -7.054508e-03 2.037168e-03
1.318256e+00 -3.970902e-01 1.005309e+00 2.161075e+04 1.719908e+00 3.978503e-02 1.873851e-03
