#./overdamped_3d_new_pot_2 --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=4096 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-1:3:200:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> new_pot_2_s_3.14_0.99_l:-1:3:200:1_0.01_40.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 1.091898e+00 9.893211e-01 8.205134e+04 6.517395e+00 -2.470791e-03 2.574205e-03
1.047129e-01 1.067883e+00 1.034793e+00 7.846694e+04 6.239510e+00 -9.275973e-03 2.640724e-03
1.096478e-01 1.049135e+00 1.017125e+00 7.342746e+04 5.842896e+00 9.967685e-03 2.640367e-03
1.148153e-01 1.034810e+00 1.003791e+00 6.737738e+04 5.361611e+00 -3.102040e-02 2.613544e-03
1.202264e-01 1.027647e+00 1.001415e+00 6.416771e+04 5.115558e+00 1.764476e-02 2.612114e-03
1.258925e-01 1.025372e+00 9.985523e-01 5.968271e+04 4.757141e+00 9.140849e-02 2.568126e-03
1.318256e-01 1.029386e+00 9.898351e-01 5.757511e+04 4.588119e+00 5.251765e-02 2.460241e-03
1.380384e-01 1.040440e+00 9.921818e-01 5.674055e+04 4.522547e+00 -3.163815e-02 2.389908e-03
1.445439e-01 1.056076e+00 9.879904e-01 5.254152e+04 4.190549e+00 3.787935e-02 2.197623e-03
1.513561e-01 1.077616e+00 1.012936e+00 5.375697e+04 4.265034e+00 4.110014e-02 2.168894e-03
1.584892e-01 1.104580e+00 1.004612e+00 5.191340e+04 4.132617e+00 3.718066e-02 1.972914e-03
1.659586e-01 1.134243e+00 1.005365e+00 5.187276e+04 4.141530e+00 3.691435e-02 1.833200e-03
1.737800e-01 1.171335e+00 9.961325e-01 5.268250e+04 4.181318e+00 4.021847e-02 1.751184e-03
1.819700e-01 1.209711e+00 9.911127e-01 5.145108e+04 4.086144e+00 2.765930e-02 1.642227e-03
1.905460e-01 1.252434e+00 1.011496e+00 5.464445e+04 4.339519e+00 2.077210e-02 1.562476e-03
1.995261e-01 1.299616e+00 9.855319e-01 5.270468e+04 4.184820e+00 3.703809e-02 1.450658e-03
2.089295e-01 1.341424e+00 9.960386e-01 5.460858e+04 4.348113e+00 -2.268249e-02 1.321793e-03
2.187760e-01 1.342928e+00 1.001544e+00 5.497437e+04 4.377398e+00 -6.520683e-02 1.366019e-03
2.290866e-01 1.319475e+00 9.913376e-01 5.279304e+04 4.180682e+00 6.810904e-03 1.345992e-03
2.398831e-01 1.297542e+00 1.008911e+00 5.355103e+04 4.265671e+00 -4.367548e-02 1.356244e-03
2.511884e-01 1.275111e+00 1.031561e+00 5.225024e+04 4.164448e+00 -4.589516e-02 1.371384e-03
2.630266e-01 1.254240e+00 1.013248e+00 5.101397e+04 4.057178e+00 -5.971104e-02 1.343489e-03
2.754226e-01 1.235770e+00 1.000493e+00 4.968982e+04 3.946406e+00 -1.920795e-02 1.329064e-03
2.884029e-01 1.216322e+00 1.010919e+00 5.124529e+04 4.059406e+00 -2.592689e-02 1.398325e-03
3.019949e-01 1.201320e+00 9.969357e-01 4.901027e+04 3.909800e+00 -1.317090e-02 1.388788e-03
3.162274e-01 1.185255e+00 1.017429e+00 4.833988e+04 3.851868e+00 1.383817e-02 1.419306e-03
3.311308e-01 1.171195e+00 9.982129e-01 4.561051e+04 3.614409e+00 7.391477e-02 1.369953e-03
3.467365e-01 1.157606e+00 1.006258e+00 4.553543e+04 3.616318e+00 5.062902e-02 1.391411e-03
3.630777e-01 1.145332e+00 1.011498e+00 4.634666e+04 3.693986e+00 5.080700e-04 1.420259e-03
3.801890e-01 1.136106e+00 9.897594e-01 4.269590e+04 3.404961e+00 2.960134e-02 1.386881e-03
3.981068e-01 1.128174e+00 1.037315e+00 4.574113e+04 3.651014e+00 -5.063176e-03 1.448989e-03
4.168690e-01 1.119533e+00 1.012662e+00 4.438684e+04 3.518597e+00 2.035153e-02 1.401424e-03
4.365154e-01 1.113641e+00 1.020845e+00 4.462589e+04 3.547882e+00 4.244590e-02 1.423597e-03
4.570878e-01 1.110022e+00 1.007059e+00 4.417886e+04 3.513823e+00 -1.219577e-02 1.437068e-03
4.786297e-01 1.107541e+00 1.010887e+00 4.459032e+04 3.537696e+00 5.946803e-02 1.415849e-03
5.011868e-01 1.105768e+00 1.000974e+00 4.298597e+04 3.408780e+00 1.478314e-03 1.396418e-03
5.248070e-01 1.106585e+00 1.021218e+00 4.445302e+04 3.532921e+00 -1.762390e-02 1.436234e-03
5.495405e-01 1.107269e+00 1.019692e+00 4.422246e+04 3.519871e+00 -3.861481e-02 1.396298e-03
5.754395e-01 1.111325e+00 9.857532e-01 4.334280e+04 3.449524e+00 -4.749358e-03 1.333833e-03
6.025591e-01 1.115498e+00 1.013777e+00 4.437341e+04 3.526237e+00 -1.242614e-02 1.363039e-03
6.309568e-01 1.122985e+00 9.951763e-01 4.430788e+04 3.520189e+00 -4.535735e-03 1.360178e-03
6.606929e-01 1.130510e+00 1.027904e+00 4.535833e+04 3.609952e+00 2.428889e-02 1.379848e-03
6.918304e-01 1.140233e+00 9.753253e-01 4.222802e+04 3.362307e+00 -9.834945e-03 1.286626e-03
