#./overdamped_3d --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:300:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=3.14 --skew=0.0 --distribution=s>> supplementary_s_3.14_l:-2:3:300:1_1.0_0.0_30.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 9.996611e-01 1.007086e+00 6.283489e+05 4.995842e+01 -1.393896e-02 1.796675e-02
1.039122e-02 9.952364e-01 1.011010e+00 5.990349e+05 4.767741e+01 2.018929e-03 1.743495e-02
1.079775e-02 1.003980e+00 1.001602e+00 5.828565e+05 4.648343e+01 1.380527e-02 1.668429e-02
1.122018e-02 9.949013e-01 1.008926e+00 5.544474e+05 4.422406e+01 -1.441211e-02 1.617002e-02
1.165914e-02 1.003261e+00 1.007199e+00 5.418196e+05 4.315900e+01 -5.891800e-03 1.550305e-02
1.211527e-02 9.956475e-01 1.010426e+00 5.165064e+05 4.116447e+01 1.717472e-02 1.508653e-02
1.258925e-02 1.003706e+00 1.014624e+00 5.110562e+05 4.064339e+01 2.301097e-03 1.472569e-02
1.308177e-02 9.942039e-01 1.008846e+00 4.820689e+05 3.840599e+01 -1.609504e-03 1.416183e-02
1.359356e-02 1.003819e+00 1.014670e+00 4.769721e+05 3.801448e+01 -3.433108e-03 1.375794e-02
1.412537e-02 9.924445e-01 1.008314e+00 4.374794e+05 3.482183e+01 -2.882302e-03 1.292574e-02
1.467799e-02 1.004920e+00 1.013116e+00 4.361378e+05 3.465854e+01 -2.326500e-02 1.252282e-02
1.525222e-02 9.962431e-01 1.013467e+00 4.166285e+05 3.315643e+01 2.307773e-02 1.226592e-02
1.584893e-02 9.973875e-01 1.010835e+00 4.018336e+05 3.203057e+01 2.574897e-02 1.179123e-02
1.646897e-02 1.004683e+00 1.008269e+00 3.873091e+05 3.086301e+01 -1.195496e-02 1.130581e-02
1.711327e-02 9.925974e-01 9.986689e-01 3.670122e+05 2.922912e+01 2.044499e-02 1.086938e-02
1.778278e-02 1.002618e+00 1.007782e+00 3.596901e+05 2.864948e+01 4.668474e-03 1.048350e-02
1.847849e-02 1.004799e+00 9.989088e-01 3.433304e+05 2.734537e+01 -1.023006e-02 1.000118e-02
1.920141e-02 9.926300e-01 1.006165e+00 3.256729e+05 2.594767e+01 -2.287871e-02 9.723425e-03
1.995261e-02 1.001443e+00 1.024011e+00 3.227318e+05 2.567456e+01 -5.902946e-03 9.537697e-03
2.073320e-02 1.007245e+00 1.018080e+00 3.128252e+05 2.488483e+01 1.043320e-02 9.155631e-03
2.154433e-02 9.935853e-01 1.021361e+00 2.932081e+05 2.333275e+01 9.221196e-03 8.882165e-03
2.238719e-02 9.930530e-01 1.018585e+00 2.820226e+05 2.245740e+01 -9.384990e-03 8.447170e-03
2.326303e-02 1.006968e+00 1.013742e+00 2.772825e+05 2.205983e+01 -9.615600e-03 8.112192e-03
2.417313e-02 1.004372e+00 1.014763e+00 2.650366e+05 2.106638e+01 -3.324980e-02 7.878184e-03
2.511884e-02 9.895750e-01 1.009547e+00 2.478460e+05 1.971261e+01 1.596093e-03 7.607698e-03
2.610155e-02 9.940891e-01 1.008795e+00 2.347149e+05 1.867397e+01 -8.782148e-03 7.141352e-03
2.712270e-02 1.008678e+00 1.008547e+00 2.346841e+05 1.868256e+01 -4.529297e-03 6.913900e-03
2.818380e-02 1.009363e+00 1.017548e+00 2.280317e+05 1.819523e+01 -2.537906e-02 6.787181e-03
2.928642e-02 9.960031e-01 1.008541e+00 2.153801e+05 1.714703e+01 -1.497537e-02 6.599665e-03
3.043217e-02 9.882165e-01 1.004071e+00 2.018448e+05 1.607338e+01 -2.030247e-02 6.273150e-03
3.162274e-02 9.976064e-01 1.007177e+00 1.972519e+05 1.571655e+01 -3.952444e-02 6.041169e-03
3.285990e-02 1.010835e+00 1.004735e+00 1.958797e+05 1.556631e+01 -2.585799e-02 5.818367e-03
3.414545e-02 1.011871e+00 1.014651e+00 1.930121e+05 1.537850e+01 -1.112604e-02 5.807519e-03
3.548130e-02 9.991872e-01 1.015991e+00 1.818401e+05 1.449265e+01 -3.633881e-02 5.697131e-03
3.686940e-02 9.866850e-01 1.002755e+00 1.689973e+05 1.341644e+01 -2.301651e-02 5.485058e-03
3.831182e-02 9.882377e-01 1.013509e+00 1.637009e+05 1.302110e+01 -4.348660e-02 5.253911e-03
3.981066e-02 1.000922e+00 1.005350e+00 1.592989e+05 1.264804e+01 -4.889673e-02 4.943848e-03
4.136815e-02 1.014688e+00 1.004316e+00 1.591106e+05 1.264709e+01 -3.967625e-02 4.827619e-03
4.298656e-02 1.017840e+00 1.004258e+00 1.536094e+05 1.218586e+01 -4.891974e-02 4.662514e-03
4.466829e-02 1.007461e+00 1.011725e+00 1.464769e+05 1.165969e+01 -6.082660e-02 4.593849e-03
4.641582e-02 9.917522e-01 1.013852e+00 1.377363e+05 1.102434e+01 -5.854386e-02 4.553199e-03
4.823171e-02 9.811492e-01 1.012628e+00 1.296324e+05 1.034093e+01 -5.481946e-02 4.429460e-03
5.011865e-02 9.813877e-01 1.017952e+00 1.250607e+05 9.937953e+00 -4.801047e-02 4.216552e-03
5.207940e-02 9.928357e-01 1.024763e+00 1.232801e+05 9.798532e+00 -3.884518e-02 4.011750e-03
5.411686e-02 1.007890e+00 1.019040e+00 1.216805e+05 9.636513e+00 -4.398501e-02 3.825903e-03
5.623404e-02 1.020419e+00 1.016662e+00 1.196234e+05 9.509507e+00 -1.993889e-02 3.685713e-03
5.843404e-02 1.023702e+00 1.015758e+00 1.173710e+05 9.280006e+00 -3.218776e-02 3.658772e-03
6.072012e-02 1.017473e+00 1.014969e+00 1.115813e+05 8.848060e+00 -3.684455e-02 3.607869e-03
6.309562e-02 1.003508e+00 1.014199e+00 1.059092e+05 8.393513e+00 -3.429210e-02 3.568888e-03
6.556407e-02 9.884287e-01 1.007361e+00 9.904978e+04 7.854296e+00 -2.496165e-02 3.525972e-03
6.812909e-02 9.756771e-01 1.014464e+00 9.197905e+04 7.334496e+00 4.358053e-03 3.432035e-03
7.079445e-02 9.703654e-01 1.005163e+00 8.554869e+04 6.821699e+00 8.519530e-03 3.231406e-03
7.356408e-02 9.736390e-01 9.987090e-01 8.281698e+04 6.598564e+00 3.716338e-02 3.073812e-03
7.644208e-02 9.845834e-01 1.018408e+00 8.288067e+04 6.587741e+00 2.646804e-03 2.993345e-03
7.943267e-02 9.987931e-01 1.008080e+00 8.052934e+04 6.388479e+00 -3.609657e-04 2.813458e-03
8.254025e-02 1.013969e+00 9.942813e-01 7.890604e+04 6.182533e+00 1.379859e-02 2.662301e-03
8.576941e-02 1.026787e+00 9.989783e-01 7.836742e+04 6.151975e+00 -4.227221e-03 2.575517e-03
8.912491e-02 1.034893e+00 9.978805e-01 7.756070e+04 6.071761e+00 1.847136e-02 2.550960e-03
9.261168e-02 1.036459e+00 9.973300e-01 7.643822e+04 6.019876e+00 -3.407359e-03 2.564430e-03
9.623486e-02 1.032053e+00 1.001231e+00 7.447905e+04 5.886823e+00 -6.415904e-03 2.560258e-03
9.999978e-02 1.022314e+00 1.002744e+00 7.192716e+04 5.653502e+00 -2.274716e-02 2.616882e-03
1.039120e-01 1.007863e+00 1.017218e+00 7.050027e+04 5.539547e+00 -3.100395e-03 2.707839e-03
1.079773e-01 9.920329e-01 1.006644e+00 6.551385e+04 5.197364e+00 1.733661e-03 2.697468e-03
1.122016e-01 9.766670e-01 1.016298e+00 6.236492e+04 4.956085e+00 2.475786e-02 2.748489e-03
1.165912e-01 9.631277e-01 1.006543e+00 5.762580e+04 4.623451e+00 2.520132e-02 2.712846e-03
1.211525e-01 9.534584e-01 1.013018e+00 5.417687e+04 4.362755e+00 4.706323e-02 2.658248e-03
1.258922e-01 9.479268e-01 1.009621e+00 5.069516e+04 4.102696e+00 7.338428e-02 2.532244e-03
1.308174e-01 9.470211e-01 1.005741e+00 4.827752e+04 3.874468e+00 4.228711e-02 2.456188e-03
1.359353e-01 9.508545e-01 1.002625e+00 4.625332e+04 3.772290e+00 2.010775e-02 2.312541e-03
1.412534e-01 9.583428e-01 1.001207e+00 4.473118e+04 3.576211e+00 2.929807e-03 2.209067e-03
1.467796e-01 9.697405e-01 1.014605e+00 4.410970e+04 3.542152e+00 3.483534e-03 2.070785e-03
1.525219e-01 9.829352e-01 1.000176e+00 4.281855e+04 3.412600e+00 2.520084e-03 1.910090e-03
1.584889e-01 9.982228e-01 9.990954e-01 4.260947e+04 3.313924e+00 1.986778e-02 1.829267e-03
1.646893e-01 1.014148e+00 9.967006e-01 4.230019e+04 3.287186e+00 1.111400e-02 1.733661e-03
1.711324e-01 1.030038e+00 9.993902e-01 4.271514e+04 3.316152e+00 1.439452e-02 1.666069e-03
1.778274e-01 1.044616e+00 9.997333e-01 4.277459e+04 3.318062e+00 -1.388371e-02 1.568437e-03
1.847845e-01 1.058203e+00 9.885700e-01 4.229413e+04 3.295144e+00 -3.591597e-03 1.536250e-03
1.920137e-01 1.069134e+00 9.920809e-01 4.289836e+04 3.349257e+00 6.019950e-03 1.505017e-03
1.995257e-01 1.077948e+00 9.986197e-01 4.294043e+04 3.456527e+00 1.293099e-02 1.480103e-03
2.073316e-01 1.084056e+00 9.952555e-01 4.312963e+04 3.474989e+00 7.983923e-03 1.462460e-03
2.154428e-01 1.088038e+00 9.988346e-01 4.265365e+04 3.420558e+00 -2.533311e-02 1.445174e-03
2.238715e-01 1.088840e+00 1.008023e+00 4.275110e+04 3.408462e+00 -9.133697e-03 1.432300e-03
2.326298e-01 1.086718e+00 9.918557e-01 4.236495e+04 3.403687e+00 -3.588456e-02 1.387596e-03
2.417308e-01 1.082730e+00 1.002917e+00 4.284159e+04 3.430425e+00 -3.905189e-02 1.399636e-03
2.511879e-01 1.075979e+00 1.018862e+00 4.339843e+04 3.441566e+00 -1.479399e-02 1.443148e-03
2.610149e-01 1.067466e+00 1.015303e+00 4.266347e+04 3.380132e+00 8.347392e-03 1.417279e-03
2.712264e-01 1.057089e+00 1.014638e+00 4.246214e+04 3.311696e+00 1.207697e-02 1.446962e-03
2.818374e-01 1.045038e+00 1.008164e+00 4.110453e+04 3.158271e+00 1.214838e-02 1.433849e-03
2.928635e-01 1.031500e+00 1.005249e+00 4.042389e+04 3.084423e+00 1.376128e-02 1.435995e-03
3.043210e-01 1.017723e+00 9.949628e-01 3.913140e+04 2.996251e+00 -9.902656e-03 1.424670e-03
3.162267e-01 1.002714e+00 9.960670e-01 3.821161e+04 2.944685e+00 -1.467419e-02 1.419783e-03
3.285983e-01 9.868885e-01 9.785407e-01 3.654341e+04 2.896302e+00 -1.313084e-02 1.403213e-03
3.414538e-01 9.709455e-01 9.804468e-01 3.602777e+04 2.879750e+00 -2.023596e-02 1.456261e-03
3.548123e-01 9.545561e-01 9.879409e-01 3.610750e+04 2.938637e+00 -2.519071e-03 1.475334e-03
3.686934e-01 9.381146e-01 9.831383e-01 3.585472e+04 2.949778e+00 4.552603e-03 1.470566e-03
3.831175e-01 9.219372e-01 9.873457e-01 3.556136e+04 2.919857e+00 -2.042907e-02 1.529336e-03
3.981059e-01 9.056197e-01 9.698508e-01 3.432695e+04 2.817838e+00 -2.879858e-03 1.498103e-03
4.136808e-01 8.896475e-01 9.852171e-01 3.455380e+04 2.830093e+00 -1.450908e-02 1.544833e-03
4.298649e-01 8.738640e-01 9.941145e-01 3.449582e+04 2.823568e+00 -3.764719e-02 1.584411e-03
4.466822e-01 8.586963e-01 9.995409e-01 3.419536e+04 2.742717e+00 -7.642269e-03 1.614332e-03
4.641575e-01 8.440461e-01 1.006340e+00 3.412535e+04 2.698154e+00 -2.180833e-02 1.629591e-03
4.823164e-01 8.302443e-01 1.021017e+00 3.406335e+04 2.631945e+00 -2.622271e-02 1.664758e-03
5.011858e-01 8.167892e-01 1.022673e+00 3.383534e+04 2.608072e+00 -1.410526e-02 1.681805e-03
5.207933e-01 8.037158e-01 1.011873e+00 3.320690e+04 2.502393e+00 -2.669835e-02 1.685500e-03
5.411680e-01 7.915626e-01 1.012462e+00 3.249404e+04 2.458307e+00 -2.637541e-02 1.700044e-03
5.623397e-01 7.797310e-01 1.009574e+00 3.202487e+04 2.451941e+00 -1.788485e-02 1.682758e-03
5.843398e-01 7.684565e-01 1.009704e+00 3.151891e+04 2.444461e+00 -1.501977e-03 1.668692e-03
6.072005e-01 7.580935e-01 9.983751e-01 3.029733e+04 2.387642e+00 -3.363901e-02 1.624584e-03
