#./overdamped_3d_new_pot_2 --dev=1 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:3:200:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=3.14 --skew=0.0 --distribution=s>> new_pot_2_l:-2:3:200:1_30.0_40.0_1.0_s_3.14_0.0.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 1.004880e+00 1.004584e+00 6.294906e+05 5.017964e+01 -8.816540e-03 1.788878e-02
1.059254e-02 1.002842e+00 1.010886e+00 5.997330e+05 4.786489e+01 -1.824677e-03 1.714277e-02
1.122018e-02 1.003895e+00 1.006556e+00 5.668236e+05 4.520191e+01 -9.366453e-03 1.614940e-02
1.188502e-02 1.008913e+00 1.012800e+00 5.418459e+05 4.316059e+01 5.592942e-03 1.535463e-02
1.258925e-02 1.014259e+00 1.006142e+00 5.169286e+05 4.123354e+01 1.810908e-03 1.448560e-02
1.333521e-02 1.007709e+00 1.006470e+00 4.827186e+05 3.851804e+01 -1.857352e-02 1.382756e-02
1.412537e-02 1.004893e+00 1.009512e+00 4.545186e+05 3.621571e+01 -1.447201e-03 1.310170e-02
1.496235e-02 1.017208e+00 1.005762e+00 4.369631e+05 3.477822e+01 -1.090902e-02 1.227582e-02
1.584893e-02 1.005898e+00 1.014091e+00 4.103021e+05 3.266687e+01 -5.357027e-03 1.183093e-02
1.678803e-02 1.016934e+00 1.005876e+00 3.915264e+05 3.116286e+01 1.057506e-03 1.109231e-02
1.778278e-02 1.010489e+00 1.000212e+00 3.668506e+05 2.924440e+01 9.093642e-03 1.051450e-02
1.883648e-02 1.018124e+00 1.000437e+00 3.431723e+05 2.731640e+01 -7.070839e-03 9.772778e-03
1.995261e-02 1.010905e+00 1.014657e+00 3.260751e+05 2.598968e+01 -1.032138e-02 9.447217e-03
2.113488e-02 1.022200e+00 1.021132e+00 3.166531e+05 2.520664e+01 -7.766962e-03 9.018779e-03
2.238719e-02 1.007206e+00 1.018825e+00 2.875452e+05 2.286802e+01 2.391338e-04 8.419991e-03
2.371372e-02 1.026468e+00 1.009878e+00 2.827476e+05 2.257104e+01 -9.433210e-03 7.993340e-03
2.511884e-02 1.014894e+00 1.008755e+00 2.590973e+05 2.061057e+01 -2.305192e-02 7.552743e-03
2.660723e-02 1.013482e+00 1.007993e+00 2.391609e+05 1.908681e+01 -5.017281e-03 7.011533e-03
2.818380e-02 1.032971e+00 1.007691e+00 2.388699e+05 1.901583e+01 -1.932532e-02 6.713986e-03
2.985379e-02 1.019438e+00 1.012894e+00 2.227915e+05 1.775946e+01 -2.688885e-02 6.465793e-03
3.162274e-02 1.013578e+00 1.003351e+00 2.014152e+05 1.601258e+01 -2.632660e-02 5.977988e-03
3.349651e-02 1.034896e+00 1.007297e+00 1.992543e+05 1.588494e+01 -7.255018e-03 5.654693e-03
3.548130e-02 1.036565e+00 1.013780e+00 1.947610e+05 1.552206e+01 -3.054023e-02 5.640626e-03
3.758369e-02 1.016319e+00 1.015353e+00 1.769821e+05 1.406675e+01 -4.389757e-02 5.427122e-03
3.981066e-02 1.019478e+00 1.011099e+00 1.662457e+05 1.322768e+01 -5.178744e-02 4.989386e-03
4.216959e-02 1.042953e+00 1.001527e+00 1.626112e+05 1.297336e+01 -4.092455e-02 4.694343e-03
4.466829e-02 1.050721e+00 1.004679e+00 1.568203e+05 1.249430e+01 -5.609798e-02 4.499078e-03
4.731506e-02 1.032730e+00 1.005648e+00 1.465853e+05 1.169630e+01 -5.761993e-02 4.420161e-03
5.011865e-02 1.016553e+00 1.017158e+00 1.346087e+05 1.066625e+01 -5.486608e-02 4.260182e-03
5.308836e-02 1.024662e+00 1.018512e+00 1.281117e+05 1.017637e+01 -2.958411e-02 3.966212e-03
5.623404e-02 1.049318e+00 1.023142e+00 1.278176e+05 1.014231e+01 -1.602548e-02 3.725290e-03
5.956611e-02 1.068776e+00 1.016960e+00 1.244952e+05 9.942091e+00 -1.827067e-02 3.539562e-03
6.309562e-02 1.067059e+00 1.018464e+00 1.190190e+05 9.521604e+00 -2.180040e-02 3.507495e-03
6.683427e-02 1.049834e+00 1.016415e+00 1.095198e+05 8.709276e+00 -1.052022e-04 3.422499e-03
7.079445e-02 1.030776e+00 1.001856e+00 9.757482e+04 7.767716e+00 5.656719e-03 3.265381e-03
7.498927e-02 1.024871e+00 1.001402e+00 9.066298e+04 7.129823e+00 3.319824e-02 3.044486e-03
7.943267e-02 1.035539e+00 1.000727e+00 8.688947e+04 6.924195e+00 6.011724e-04 2.851129e-03
8.413934e-02 1.059591e+00 9.957897e-01 8.428643e+04 6.727798e+00 1.289845e-04 2.611756e-03
8.912491e-02 1.086030e+00 9.988045e-01 8.443724e+04 6.861169e+00 4.478931e-03 2.507329e-03
9.440588e-02 1.105951e+00 1.002480e+00 8.433255e+04 6.960164e+00 2.286685e-02 2.448082e-03
9.999978e-02 1.113804e+00 1.004571e+00 8.319598e+04 6.707426e+00 -1.480073e-02 2.456784e-03
1.059251e-01 1.108203e+00 1.010068e+00 8.105689e+04 6.677823e+00 2.707934e-02 2.492785e-03
1.122016e-01 1.093246e+00 9.985142e-01 7.475805e+04 6.140834e+00 1.398373e-02 2.467155e-03
1.188499e-01 1.074665e+00 1.001921e+00 6.875427e+04 5.587930e+00 2.310491e-02 2.429962e-03
1.258922e-01 1.057996e+00 1.011584e+00 6.492547e+04 5.239062e+00 2.562869e-02 2.509117e-03
1.333518e-01 1.047736e+00 1.001367e+00 5.847097e+04 4.659101e+00 3.311110e-02 2.416492e-03
1.412534e-01 1.046439e+00 1.001738e+00 5.397912e+04 4.237978e+00 2.103257e-02 2.231956e-03
1.496232e-01 1.054756e+00 1.005784e+00 5.180714e+04 4.159355e+00 3.717422e-03 2.108455e-03
1.584889e-01 1.072159e+00 1.016235e+00 5.012307e+04 4.104606e+00 6.937027e-03 1.966357e-03
1.678800e-01 1.096830e+00 1.000258e+00 4.832164e+04 4.123068e+00 2.272725e-03 1.797915e-03
1.778274e-01 1.125725e+00 9.927729e-01 4.688807e+04 3.924443e+00 -1.968813e-02 1.630187e-03
1.883644e-01 1.156518e+00 9.793942e-01 4.625240e+04 3.677116e+00 1.657879e-02 1.469016e-03
1.995257e-01 1.188358e+00 9.945121e-01 4.835687e+04 3.766561e+00 3.621459e-03 1.457691e-03
2.113483e-01 1.218019e+00 1.003483e+00 4.948955e+04 3.647195e+00 1.261079e-02 1.412988e-03
2.238715e-01 1.244475e+00 1.005090e+00 5.020982e+04 3.718496e+00 1.296592e-02 1.344442e-03
2.371367e-01 1.267000e+00 1.001809e+00 5.087268e+04 3.799983e+00 -1.940382e-02 1.304746e-03
2.511879e-01 1.285724e+00 1.015830e+00 5.201484e+04 3.950862e+00 -2.667123e-02 1.280189e-03
2.660717e-01 1.299720e+00 1.018315e+00 5.248305e+04 4.091555e+00 -9.715199e-03 1.265407e-03
2.818374e-01 1.309173e+00 1.000771e+00 5.128516e+04 3.961685e+00 -7.147789e-03 1.219273e-03
2.985373e-01 1.314940e+00 1.007317e+00 5.065841e+04 3.938766e+00 -2.192879e-02 1.183629e-03
3.162267e-01 1.318186e+00 1.002170e+00 5.089460e+04 3.967414e+00 -1.305240e-02 1.173735e-03
3.349643e-01 1.318000e+00 9.817361e-01 4.934828e+04 3.800620e+00 -4.267359e-02 1.168132e-03
3.548122e-01 1.315490e+00 9.894089e-01 5.028957e+04 3.913938e+00 -1.807946e-02 1.174808e-03
3.758362e-01 1.310494e+00 9.868974e-01 4.983137e+04 3.863645e+00 -3.481722e-02 1.165390e-03
3.981059e-01 1.305145e+00 9.914160e-01 5.009601e+04 3.830541e+00 -8.499503e-03 1.175761e-03
4.216951e-01 1.298649e+00 1.001997e+00 5.032922e+04 3.891657e+00 -1.989245e-03 1.171827e-03
4.466822e-01 1.291605e+00 9.909905e-01 4.900000e+04 3.779611e+00 -1.454365e-02 1.171112e-03
4.731497e-01 1.284732e+00 9.912197e-01 4.909357e+04 3.702262e+00 1.569152e-03 1.171470e-03
5.011857e-01 1.279469e+00 9.773481e-01 4.677313e+04 3.501727e+00 -4.643977e-03 1.109004e-03
5.308828e-01 1.273723e+00 9.794294e-01 4.729464e+04 3.581623e+00 -1.317728e-02 1.129031e-03
5.623395e-01 1.269468e+00 9.879114e-01 4.669545e+04 3.516369e+00 -1.003510e-02 1.112103e-03
5.956603e-01 1.266276e+00 9.712686e-01 4.608515e+04 3.471806e+00 -2.991050e-02 1.084328e-03
6.309554e-01 1.264284e+00 9.812275e-01 4.632577e+04 3.459710e+00 -5.379999e-02 1.096010e-03
6.683418e-01 1.263864e+00 9.860075e-01 4.697592e+04 3.576848e+00 -5.343223e-02 1.132965e-03
7.079436e-01 1.265534e+00 9.859903e-01 4.703871e+04 3.436473e+00 -2.718568e-02 1.112342e-03
7.498919e-01 1.268392e+00 9.750159e-01 4.682593e+04 3.488676e+00 -3.743881e-02 1.084328e-03
7.943258e-01 1.273002e+00 9.916896e-01 4.777436e+04 3.620138e+00 -1.922125e-02 1.108527e-03
8.413925e-01 1.279143e+00 9.975188e-01 4.824817e+04 3.659927e+00 -6.281257e-03 1.093507e-03
8.912482e-01 1.288022e+00 9.849767e-01 4.819612e+04 3.691440e+00 -1.201904e-02 1.051545e-03
9.440579e-01 1.298058e+00 9.856269e-01 4.908430e+04 3.773245e+00 -1.500827e-02 1.054287e-03
9.999969e-01 1.311006e+00 9.969864e-01 5.088033e+04 3.966141e+00 -1.312804e-02 1.063108e-03
1.059250e+00 1.325220e+00 9.957716e-01 5.190900e+04 3.990333e+00 1.057649e-02 1.045227e-03
