#./overdamped_3d_new_pot_2 --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:4:200:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=e>> new_pot_2_l:-2:4:200:1_40.0_1.0_e.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 1.007460e+00 1.007694e+00 1.287456e+06 1.025142e+02 4.393101e-02 1.071955e-01
1.071519e-02 1.006377e+00 1.004891e+00 1.188103e+06 9.460042e+01 7.177472e-03 9.914744e-02
1.148153e-02 1.010695e+00 1.018697e+00 1.140596e+06 9.083832e+01 2.160192e-02 9.301817e-02
1.230269e-02 1.010058e+00 1.012934e+00 1.063624e+06 8.469557e+01 3.115952e-02 8.633626e-02
1.318256e-02 1.010008e+00 1.017467e+00 9.865207e+05 7.857957e+01 6.078601e-03 8.071244e-02
1.412537e-02 1.010657e+00 1.015350e+00 9.155176e+05 7.292193e+01 5.744338e-03 7.446504e-02
1.513561e-02 1.010864e+00 1.006219e+00 8.384688e+05 6.682884e+01 3.272176e-03 6.846225e-02
1.621809e-02 1.012439e+00 1.008592e+00 7.900458e+05 6.285347e+01 -1.046628e-02 6.546497e-02
1.737800e-02 1.012378e+00 1.021816e+00 7.539356e+05 6.003547e+01 4.858494e-03 6.144822e-02
1.862086e-02 1.012759e+00 1.006376e+00 6.928549e+05 5.521658e+01 -5.261362e-03 5.643797e-02
1.995261e-02 1.014562e+00 1.017962e+00 6.548977e+05 5.216048e+01 5.059481e-03 5.312693e-02
2.137960e-02 1.014885e+00 1.007605e+00 6.018508e+05 4.790595e+01 -2.334160e-02 4.893422e-02
2.290866e-02 1.016646e+00 1.004287e+00 5.554028e+05 4.428836e+01 2.951980e-03 4.545593e-02
2.454707e-02 1.016906e+00 1.007430e+00 5.146432e+05 4.094229e+01 2.767432e-02 4.208171e-02
2.630266e-02 1.018348e+00 1.011781e+00 4.822594e+05 3.838148e+01 2.776456e-02 3.942311e-02
2.818380e-02 1.019261e+00 1.008210e+00 4.528193e+05 3.610907e+01 2.162445e-02 3.660643e-02
3.019948e-02 1.020803e+00 1.009277e+00 4.213776e+05 3.356482e+01 4.027998e-02 3.395307e-02
3.235933e-02 1.023210e+00 1.007713e+00 4.001035e+05 3.189019e+01 4.579186e-02 3.190577e-02
3.467364e-02 1.024305e+00 1.007018e+00 3.765955e+05 3.002076e+01 8.611083e-03 2.977145e-02
3.715347e-02 1.026392e+00 1.008926e+00 3.496930e+05 2.787885e+01 2.310789e-02 2.743125e-02
3.981066e-02 1.026940e+00 1.004003e+00 3.245799e+05 2.586395e+01 2.056766e-02 2.567792e-02
4.265789e-02 1.029410e+00 1.008609e+00 3.050038e+05 2.430582e+01 4.278779e-03 2.373385e-02
4.570875e-02 1.030963e+00 1.011389e+00 2.837282e+05 2.259395e+01 -5.132139e-03 2.198017e-02
4.897781e-02 1.033771e+00 1.008303e+00 2.653998e+05 2.115169e+01 -9.247601e-03 2.024758e-02
5.248066e-02 1.034870e+00 1.007993e+00 2.463295e+05 1.959675e+01 -4.814446e-03 1.900291e-02
5.623404e-02 1.038178e+00 1.000686e+00 2.294537e+05 1.828945e+01 1.157403e-03 1.753521e-02
6.025586e-02 1.039596e+00 1.001262e+00 2.144667e+05 1.712571e+01 2.461588e-02 1.635873e-02
6.456531e-02 1.041397e+00 9.969550e-01 2.012999e+05 1.601481e+01 2.174020e-03 1.528692e-02
6.918297e-02 1.044421e+00 9.930388e-01 1.885748e+05 1.502295e+01 -1.109493e-02 1.407444e-02
7.413089e-02 1.047082e+00 1.003855e+00 1.786190e+05 1.427397e+01 -8.016467e-03 1.341605e-02
7.943267e-02 1.050310e+00 9.981249e-01 1.678687e+05 1.341262e+01 5.473852e-03 1.266801e-02
8.511363e-02 1.053243e+00 1.002446e+00 1.582873e+05 1.262099e+01 1.540864e-02 1.180470e-02
9.120089e-02 1.055612e+00 9.920287e-01 1.470599e+05 1.176951e+01 -1.105344e-02 1.087964e-02
9.772351e-02 1.058675e+00 9.961466e-01 1.383242e+05 1.102243e+01 3.778815e-03 1.011956e-02
1.047126e-01 1.061808e+00 9.900893e-01 1.298019e+05 1.042751e+01 1.133752e-02 9.522915e-03
1.122016e-01 1.064825e+00 1.000157e+00 1.229449e+05 9.813494e+00 4.528761e-03 8.848548e-03
1.202262e-01 1.068132e+00 9.977574e-01 1.153001e+05 9.260907e+00 -1.409268e-02 8.175731e-03
1.288246e-01 1.071046e+00 9.913929e-01 1.080990e+05 8.650071e+00 -1.824379e-02 7.525682e-03
1.380381e-01 1.073976e+00 9.895506e-01 1.008612e+05 8.089209e+00 -1.850080e-02 6.893158e-03
1.479105e-01 1.076765e+00 9.964767e-01 9.563330e+04 7.708510e+00 -1.029563e-02 6.415725e-03
1.584889e-01 1.080164e+00 9.992518e-01 9.171692e+04 7.360916e+00 -1.036644e-02 5.962133e-03
1.698239e-01 1.082311e+00 9.982427e-01 8.648577e+04 7.030828e+00 -2.030730e-03 5.511880e-03
1.819696e-01 1.084578e+00 1.003023e+00 8.221195e+04 6.611614e+00 -9.510517e-03 5.130291e-03
1.949839e-01 1.086297e+00 9.994154e-01 7.747077e+04 6.347417e+00 -1.519316e-02 4.684329e-03
2.089290e-01 1.087553e+00 9.974041e-01 7.278755e+04 5.889369e+00 -2.827716e-02 4.400611e-03
2.238715e-01 1.088591e+00 9.988785e-01 6.972710e+04 5.697110e+00 -3.002894e-02 4.046917e-03
2.398826e-01 1.088316e+00 9.966367e-01 6.554845e+04 5.364476e+00 -1.933342e-02 3.736019e-03
2.570388e-01 1.087844e+00 9.938449e-01 6.234341e+04 5.151209e+00 -1.461345e-02 3.463387e-03
2.754220e-01 1.085848e+00 9.932387e-01 5.943278e+04 4.891468e+00 -8.034110e-04 3.199339e-03
2.951200e-01 1.082541e+00 9.906721e-01 5.695473e+04 4.667059e+00 -1.632524e-02 2.947450e-03
3.162267e-01 1.077913e+00 9.928479e-01 5.469713e+04 4.555014e+00 -1.850241e-02 2.739072e-03
3.388430e-01 1.071579e+00 9.953328e-01 5.206418e+04 4.360527e+00 -1.204985e-02 2.600908e-03
3.630769e-01 1.063208e+00 9.819357e-01 4.913477e+04 3.974735e+00 -1.735795e-02 2.339840e-03
3.890439e-01 1.052456e+00 9.865202e-01 4.755784e+04 3.771335e+00 -2.656615e-02 2.241254e-03
4.168680e-01 1.039392e+00 9.908689e-01 4.599661e+04 3.615682e+00 -8.437574e-03 2.135992e-03
4.466821e-01 1.023363e+00 9.973701e-01 4.503226e+04 3.478809e+00 6.913304e-03 2.073407e-03
4.786285e-01 1.004491e+00 9.935843e-01 4.318287e+04 3.281775e+00 9.768367e-03 1.982689e-03
5.128597e-01 9.821861e-01 9.952307e-01 4.113511e+04 3.187555e+00 7.430077e-03 1.871228e-03
5.495391e-01 9.563520e-01 9.908860e-01 3.930560e+04 3.067871e+00 -2.444923e-03 1.827359e-03
5.888417e-01 9.268636e-01 9.926776e-01 3.727191e+04 3.022989e+00 2.815843e-03 1.769423e-03
6.309553e-01 8.937504e-01 9.936942e-01 3.578211e+04 2.961396e+00 -7.429123e-03 1.752019e-03
6.760808e-01 8.565289e-01 1.014690e+00 3.427601e+04 2.990044e+00 4.901886e-03 1.755238e-03
7.244336e-01 8.160899e-01 9.952701e-01 3.187073e+04 2.643245e+00 1.416218e-02 1.777172e-03
7.762446e-01 7.716931e-01 9.946919e-01 2.974612e+04 2.310930e+00 4.306674e-03 1.803994e-03
8.317611e-01 7.242064e-01 9.960576e-01 2.817436e+04 2.218938e+00 5.921006e-03 1.893997e-03
8.912480e-01 6.742605e-01 1.005907e+00 2.645682e+04 2.113896e+00 3.107178e-02 1.997828e-03
9.549895e-01 6.215096e-01 9.951556e-01 2.409697e+04 1.908109e+00 2.340245e-02 2.080679e-03
1.023290e+00 5.673772e-01 9.934241e-01 2.192189e+04 1.717123e+00 6.370544e-03 2.257109e-03
1.096475e+00 5.123982e-01 1.002862e+00 2.025794e+04 1.588048e+00 -3.117025e-03 2.483368e-03
1.174894e+00 4.573760e-01 1.009863e+00 1.819801e+04 1.467568e+00 1.550615e-02 2.751350e-03
1.258921e+00 4.028721e-01 9.997011e-01 1.601932e+04 1.416360e+00 9.525776e-03 3.036022e-03
1.348958e+00 3.504181e-01 1.000165e+00 1.387653e+04 1.078394e+00 -1.458287e-03 3.390789e-03
1.445435e+00 3.004227e-01 9.999381e-01 1.208312e+04 9.645784e-01 3.701448e-04 3.963113e-03
1.548812e+00 2.535219e-01 1.002511e+00 1.010917e+04 7.995347e-01 -1.656520e-02 4.541755e-03
1.659582e+00 2.104239e-01 9.945927e-01 8.309605e+03 6.810041e-01 -2.324581e-06 5.340815e-03
1.778274e+00 1.713534e-01 9.892169e-01 6.571979e+03 5.171739e-01 -3.183722e-03 6.278634e-03
1.905454e+00 1.369488e-01 9.848440e-01 5.269353e+03 4.254311e-01 -1.226324e-02 7.651329e-03
2.041731e+00 1.071745e-01 9.887602e-01 4.175058e+03 3.401763e-01 1.368845e-02 9.650111e-03
2.187754e+00 8.214905e-02 9.828793e-01 3.160041e+03 2.497787e-01 4.078746e-03 1.200545e-02
2.344221e+00 6.134611e-02 9.795378e-01 2.363932e+03 1.854540e-01 1.486874e-02 1.556993e-02
2.511878e+00 4.476764e-02 9.730979e-01 1.739926e+03 1.383361e-01 -5.397141e-03 2.036405e-02
2.691526e+00 3.171966e-02 9.909377e-01 1.281596e+03 1.025014e-01 1.445889e-02 2.761292e-02
2.884022e+00 2.186997e-02 9.671183e-01 8.545693e+02 6.820162e-02 1.362383e-02 3.538716e-02
3.090285e+00 1.460596e-02 9.605274e-01 5.877192e+02 4.666721e-02 1.765203e-02 4.764938e-02
3.311300e+00 9.438626e-03 9.447188e-01 3.794986e+02 3.021949e-02 1.329339e-02 6.122053e-02
3.548122e+00 5.923864e-03 9.017463e-01 2.398470e+02 1.907577e-02 9.128284e-02 7.516229e-02
3.801881e+00 3.534506e-03 8.567336e-01 1.471521e+02 1.171304e-02 8.323622e-02 8.655500e-02
4.073788e+00 2.037319e-03 7.709824e-01 8.864967e+01 7.053901e-03 1.291856e-01 9.043682e-02
4.365143e+00 1.149064e-03 6.897917e-01 5.626580e+01 4.476109e-03 2.393017e-01 8.811975e-02
4.677334e+00 6.046601e-04 5.360230e-01 3.333434e+01 2.652183e-03 1.801275e-01 7.071698e-02
5.011854e+00 3.092861e-04 3.748385e-01 2.160581e+01 1.720127e-03 1.449605e-01 5.216491e-02
5.370297e+00 1.345460e-04 2.235097e-01 1.508215e+01 1.200289e-03 2.112508e-02 3.387487e-02
5.754377e+00 6.022439e-05 1.178353e-01 1.212509e+01 9.645740e-04 -1.884810e-01 2.243102e-02
6.165926e+00 2.397738e-05 5.249571e-02 1.069295e+01 8.506153e-04 -4.155844e-01 1.429510e-02
6.606908e+00 9.592579e-06 2.143905e-02 1.008704e+01 8.023957e-04 -5.498887e-01 1.000464e-02
7.079429e+00 3.899152e-06 1.198890e-02 9.900583e+00 7.875682e-04 -5.836817e-01 7.863998e-03
7.585744e+00 1.061631e-06 2.552980e-03 9.763970e+00 7.766995e-04 -6.339937e-01 6.424785e-03
8.128271e+00 7.705465e-07 1.591285e-03 9.744792e+00 7.751983e-04 -6.371069e-01 5.865216e-03
8.709599e+00 3.090871e-07 1.072228e-03 9.732735e+00 7.742394e-04 -6.404840e-01 5.225182e-03
9.332502e+00 1.619429e-07 4.272591e-04 9.720262e+00 7.732189e-04 -6.433873e-01 4.795671e-03
9.999956e+00 3.609038e-08 -1.458424e-04 9.714466e+00 7.727619e-04 -6.449213e-01 4.320383e-03
1.071515e+01 4.646215e-08 4.925992e-05 9.722928e+00 7.734418e-04 -6.459044e-01 4.004121e-03
1.148148e+01 -3.638552e-08 1.070963e-04 9.701480e+00 7.717331e-04 -6.428861e-01 3.672481e-03
1.230263e+01 2.280946e-08 -1.383431e-04 9.722382e+00 7.733993e-04 -6.461262e-01 3.389478e-03
1.318251e+01 1.821384e-08 -1.618291e-04 9.744244e+00 7.751387e-04 -6.492512e-01 3.160119e-03
1.412531e+01 -3.482553e-08 7.887856e-05 9.695558e+00 7.712731e-04 -6.421933e-01 2.917528e-03
1.513554e+01 -2.576077e-08 3.292608e-05 9.722619e+00 7.734313e-04 -6.460795e-01 2.671719e-03
1.621802e+01 -1.564198e-08 -1.570007e-04 9.729179e+00 7.739256e-04 -6.472059e-01 2.468586e-03
1.737792e+01 -1.066690e-08 -6.658698e-05 9.721052e+00 7.732849e-04 -6.459757e-01 2.262354e-03
1.862078e+01 3.119963e-09 -1.931424e-04 9.720990e+00 7.732849e-04 -6.461493e-01 2.148986e-03
1.995252e+01 -6.872351e-09 -1.180129e-04 9.696515e+00 7.713245e-04 -6.426752e-01 1.951456e-03
2.137951e+01 -4.486001e-08 1.086580e-04 9.716529e+00 7.729363e-04 -6.452354e-01 1.803875e-03
2.290856e+01 -1.277498e-08 2.142366e-04 9.712466e+00 7.725895e-04 -6.445361e-01 1.691222e-03
2.454696e+01 4.199302e-08 2.114319e-05 9.731054e+00 7.740893e-04 -6.473804e-01 1.564860e-03
2.630254e+01 -2.259865e-08 8.870114e-05 9.713214e+00 7.726482e-04 -6.448161e-01 1.433253e-03
2.818368e+01 1.138365e-08 -1.643089e-05 9.711448e+00 7.725173e-04 -6.447186e-01 1.322865e-03
