#./overdamped_3d_new_pot_2 --dev=0 --amp=40.0 --omega=1.0 --force=0 --Dg=0.01 --block=256 --paths=65536 --periods=1000 --trans=100 --samples=100 --spp=1000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=l:-2:4:200:1 --domainy=a:0:10:100:0 --domainz=D:-6:-1:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=30.0 --zeta=0 --comp=0 --mean=1.0 --second=3.14 --skew=0.99 --distribution=s>> new_pot_2_l:-2:4:200:1_40.0_1.0_s.dat
#l <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-02 1.007618e+00 1.015168e+00 6.422656e+05 5.121320e+01 -1.679236e-02 1.818109e-02
1.071519e-02 1.011755e+00 1.010848e+00 6.022449e+05 4.808771e+01 1.343679e-02 1.694119e-02
1.148153e-02 1.013920e+00 1.003042e+00 5.589991e+05 4.458471e+01 -3.822207e-03 1.560724e-02
1.230269e-02 1.011846e+00 1.011495e+00 5.305859e+05 4.230338e+01 1.827502e-02 1.486719e-02
1.318256e-02 1.004659e+00 1.010209e+00 4.906090e+05 3.911042e+01 -1.653075e-03 1.412928e-02
1.412537e-02 1.002383e+00 1.005581e+00 4.494113e+05 3.579395e+01 7.873297e-03 1.298201e-02
1.513561e-02 1.009199e+00 1.004422e+00 4.271853e+05 3.407253e+01 7.592916e-03 1.228857e-02
1.621809e-02 1.023620e+00 1.013959e+00 4.118561e+05 3.284480e+01 8.958101e-03 1.152086e-02
1.737800e-02 1.004571e+00 1.013685e+00 3.736595e+05 2.978553e+01 1.654553e-02 1.088631e-02
1.862086e-02 1.013937e+00 1.001192e+00 3.497852e+05 2.784670e+01 -1.270574e-02 1.009083e-02
1.995261e-02 1.015702e+00 1.013439e+00 3.260062e+05 2.599319e+01 -7.183492e-03 9.368658e-03
2.137960e-02 1.008616e+00 1.021307e+00 3.054810e+05 2.435707e+01 1.162565e-02 8.987665e-03
2.290866e-02 1.018866e+00 1.018773e+00 2.899860e+05 2.309975e+01 -2.857417e-02 8.258581e-03
2.454707e-02 1.012279e+00 1.016015e+00 2.648898e+05 2.106447e+01 -2.086955e-02 7.792473e-03
2.630266e-02 1.013510e+00 1.003849e+00 2.430353e+05 1.934560e+01 -1.517475e-03 7.125974e-03
2.818380e-02 1.034046e+00 1.016943e+00 2.415690e+05 1.920873e+01 -1.552254e-02 6.800532e-03
3.019948e-02 1.006468e+00 1.017188e+00 2.162915e+05 1.726003e+01 9.961724e-03 6.520629e-03
3.235933e-02 1.031515e+00 9.974322e-01 2.037491e+05 1.621470e+01 -3.727674e-04 5.779743e-03
3.467364e-02 1.032348e+00 1.020438e+00 2.003976e+05 1.596038e+01 -1.470053e-02 5.803943e-03
3.715347e-02 1.009023e+00 1.008066e+00 1.748041e+05 1.393179e+01 -3.760266e-02 5.426645e-03
3.981066e-02 1.027765e+00 1.008558e+00 1.684838e+05 1.345178e+01 -4.747683e-02 4.947782e-03
4.265789e-02 1.069532e+00 1.001100e+00 1.690303e+05 1.346419e+01 -3.975922e-02 4.590034e-03
4.570875e-02 1.024534e+00 1.019551e+00 1.510500e+05 1.200092e+01 -7.068592e-02 4.656672e-03
4.897781e-02 1.009395e+00 1.007893e+00 1.334496e+05 1.058380e+01 -3.688228e-02 4.278541e-03
5.248066e-02 1.029838e+00 1.014821e+00 1.298146e+05 1.032343e+01 -3.215206e-02 3.949761e-03
5.623404e-02 1.076960e+00 1.018944e+00 1.341616e+05 1.078911e+01 -3.137821e-02 3.681183e-03
6.025586e-02 1.070376e+00 1.022156e+00 1.242697e+05 9.952276e+00 -3.812605e-02 3.593087e-03
6.456531e-02 1.031523e+00 1.019081e+00 1.110700e+05 8.799677e+00 -4.672217e-02 3.599524e-03
6.918297e-02 1.014650e+00 9.947441e-01 9.710217e+04 7.680499e+00 1.421249e-02 3.326297e-03
7.413089e-02 1.022508e+00 1.000136e+00 9.033495e+04 7.115817e+00 1.676881e-02 3.048420e-03
7.943267e-02 1.051766e+00 9.936466e-01 8.872676e+04 7.055338e+00 -1.002640e-02 2.833128e-03
8.511363e-02 1.099746e+00 1.002634e+00 8.913156e+04 7.242186e+00 7.840276e-03 2.578974e-03
9.120089e-02 1.149593e+00 1.000039e+00 9.134383e+04 7.276564e+00 1.835823e-05 2.414703e-03
9.772351e-02 1.106842e+00 9.934399e-01 8.376908e+04 6.856395e+00 -7.390559e-03 2.499580e-03
1.047126e-01 1.068301e+00 1.015569e+00 7.779691e+04 6.257972e+00 1.091588e-02 2.638459e-03
1.122016e-01 1.041004e+00 9.995586e-01 6.875323e+04 5.455513e+00 6.656408e-03 2.620935e-03
1.202262e-01 1.027625e+00 9.941294e-01 6.252400e+04 4.881600e+00 2.735996e-02 2.547503e-03
1.288246e-01 1.026557e+00 9.971783e-01 5.857653e+04 4.567110e+00 3.192735e-02 2.520561e-03
