#./underdamped_3d_var --dev=3 --amp=0 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.1 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=a:0:35:100:0 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_Dg0.1.dat
#a <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
0.000000e+00 8.944931e-09 7.548781e-02 2.096432e-12 -1.981312e-04 1.351404e+02 1.709887e-05 1.763195e+00 1.838470e-02 2.944469e-05 2.620054e+04
3.500000e-01 9.623211e-08 1.182364e-01 3.968338e-12 2.806536e-02 4.319944e+02 5.465835e-05 5.222384e+00 -8.830249e-02 7.152557e-06 4.275176e+02
7.000000e-01 1.931770e-07 2.364632e-01 1.260211e-10 3.290625e-01 3.650306e+03 4.618619e-04 3.037129e+00 -2.780712e-01 -4.947186e-06 3.376010e+03
1.050000e+00 1.036780e-06 4.101877e-01 3.065027e-09 8.863717e-01 4.496196e+04 5.688980e-03 2.365887e-01 -3.726304e-01 1.192093e-06 2.850420e+03
1.400000e+00 -5.354066e-07 7.208861e-01 3.639362e-08 9.872537e-01 5.134325e+05 6.496400e-02 3.031373e-03 -4.135643e-01 5.960464e-06 1.269563e+05
1.750000e+00 5.936125e-06 8.688377e-01 2.114134e-07 9.833755e-01 2.992764e+06 3.786672e-01 -7.618666e-03 -4.217603e-01 -4.172325e-07 5.998658e+03
2.100000e+00 1.093488e-05 1.317945e+00 3.431268e-07 9.933461e-01 4.846848e+06 6.132593e-01 -2.796710e-03 -4.238229e-01 5.722046e-06 2.868634e+03
2.450000e+00 -1.312605e-05 1.592321e+00 9.379210e-07 9.992233e-01 1.329930e+07 1.682727e+00 -7.206023e-03 -3.999060e-01 1.025200e-05 5.442750e+03
2.800000e+00 -1.194128e-05 2.211926e+00 3.401978e-06 9.962167e-01 4.775687e+07 6.042593e+00 -1.437920e-02 -3.146436e-01 5.364418e-06 2.385676e+04
3.150000e+00 6.401809e-05 3.069095e+00 7.569031e-06 9.930140e-01 1.052453e+08 1.331647e+01 1.361299e-02 -2.412643e-01 4.053116e-06 1.845864e+03
3.500000e+00 8.641011e-05 3.634341e+00 1.804845e-05 9.967240e-01 2.540663e+08 3.214663e+01 -6.454051e-03 -2.095159e-01 -1.311302e-06 2.416191e+03
3.849999e+00 2.695869e-05 4.516715e+00 3.533683e-05 9.996681e-01 4.972890e+08 6.292104e+01 7.612944e-03 -2.141845e-01 1.549721e-06 4.862069e+04
4.199999e+00 -8.141687e-05 5.565631e+00 4.768680e-05 1.003148e+00 6.670588e+08 8.440211e+01 -1.100624e-02 -2.145571e-01 0.000000e+00 7.192983e+03
4.549999e+00 1.112617e-05 6.159268e+00 6.142415e-05 1.009723e+00 8.662161e+08 1.096000e+02 4.009509e-02 -2.254025e-01 4.291534e-06 4.961888e+05
4.899999e+00 1.539371e-04 6.492950e+00 7.543801e-05 9.876772e-01 1.063921e+09 1.346160e+02 3.181100e-03 -2.370040e-01 3.457069e-06 3.182489e+03
5.249999e+00 1.196885e-04 6.708614e+00 1.025633e-04 1.001295e+00 1.444171e+09 1.827278e+02 8.287907e-03 -2.539625e-01 1.120567e-05 7.158577e+03
5.599999e+00 7.815888e-05 6.895090e+00 1.809783e-04 1.004249e+00 2.565657e+09 3.246282e+02 1.426804e-02 -2.656620e-01 8.702278e-06 2.962478e+04
5.949999e+00 -3.782822e-05 7.091103e+00 2.943780e-04 9.979122e-01 4.102204e+09 5.190430e+02 1.913929e-02 -2.862191e-01 8.344650e-07 2.057176e+05
6.299999e+00 6.330295e-05 7.744538e+00 3.135587e-04 9.930101e-01 4.431530e+09 5.607139e+02 3.195715e-02 -2.788720e-01 3.337860e-06 7.824659e+04
6.649999e+00 3.478776e-04 8.795326e+00 1.960482e-04 9.872767e-01 2.741372e+09 3.468610e+02 3.753424e-03 -2.686268e-01 2.145767e-06 1.618981e+03
6.999999e+00 1.165058e-04 9.877090e+00 1.273627e-04 1.005778e+00 1.793740e+09 2.269579e+02 1.930714e-02 -2.517281e-01 3.695488e-06 9.382107e+03
7.349998e+00 3.398483e-04 1.078184e+01 1.004622e-04 1.002128e+00 1.411753e+09 1.786259e+02 -1.242375e-02 -2.620604e-01 1.168251e-05 8.688257e+02
7.699998e+00 1.008840e-04 1.177297e+01 1.071717e-04 1.005685e+00 1.515133e+09 1.917070e+02 9.478807e-03 -2.826715e-01 1.227856e-05 1.052917e+04
8.049998e+00 1.001141e-04 1.209084e+01 1.333836e-04 9.887826e-01 1.875809e+09 2.373429e+02 -6.157160e-04 -3.126203e-01 2.264977e-06 1.330696e+04
8.399999e+00 2.743446e-04 1.202413e+01 1.425203e-04 9.906223e-01 2.006735e+09 2.539080e+02 -1.110464e-02 -3.653754e-01 3.218651e-06 1.892581e+03
8.749999e+00 8.059176e-05 1.049348e+01 4.569142e-05 1.003795e+00 6.393812e+08 8.089983e+01 -4.055500e-04 -4.369958e-01 1.192093e-05 7.033827e+03
9.099999e+00 6.702002e-05 8.970232e+00 1.687098e-06 9.906411e-01 2.370875e+07 2.999827e+00 -1.120579e-02 -5.029848e-01 -4.291534e-06 3.746049e+02
9.450000e+00 6.507555e-06 1.121293e+01 1.524544e-08 5.420644e-01 3.026985e+05 3.830004e-02 2.623446e-01 -5.131683e-01 6.079674e-06 3.590013e+02
9.800000e+00 -1.906258e-06 1.193234e+01 7.329775e-09 4.516409e-01 1.671754e+05 2.115242e-02 1.908765e-01 -5.103613e-01 -1.668930e-06 2.016099e+03
1.015000e+01 1.741463e-05 1.193501e+01 2.057334e-07 9.480338e-01 2.942456e+06 3.723039e-01 1.585901e-02 -5.095564e-01 6.914139e-06 6.773851e+02
1.050000e+01 1.005865e-04 1.214735e+01 6.139322e-06 1.012121e+00 8.644661e+07 1.093788e+01 2.012324e-02 -4.968808e-01 -2.140999e-04 6.057935e+02
1.085000e+01 1.666315e-04 1.352242e+01 3.911564e-05 1.018011e+00 5.488728e+08 6.944798e+01 -4.800200e-03 -4.766515e-01 -7.104874e-05 1.407758e+03
1.120000e+01 1.463611e-04 1.532717e+01 5.517382e-05 1.004587e+00 7.769048e+08 9.830052e+01 7.225275e-03 -4.644279e-01 8.463860e-06 2.574620e+03
1.155000e+01 -4.405144e-05 1.664781e+01 4.717467e-05 9.991641e-01 6.591414e+08 8.339960e+01 -1.782596e-03 -4.658670e-01 -2.801418e-06 2.430921e+04
1.190000e+01 1.376742e-04 1.783373e+01 4.296075e-05 9.923909e-01 6.055511e+08 7.661934e+01 5.398750e-03 -4.738581e-01 -4.947186e-06 2.265559e+03
