#./underdamped_3d_var --dev=3 --amp=0 --omega=1.59 --force=0 --gam=0.03183 --Dg=1 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=a:0:35:100:0 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_Dg1.dat
#a <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
0.000000e+00 5.825424e-04 7.678381e-01 3.707048e-06 9.902025e-01 4.689538e+07 5.933598e+00 1.442158e-02 4.506588e-03 2.348423e-05 9.923786e+00
3.500000e-01 4.645326e-04 8.287786e-01 4.106554e-06 9.962533e-01 5.454682e+07 6.901727e+00 1.385868e-02 -2.688152e-02 2.717972e-05 1.803027e+01
7.000000e-01 3.985258e-04 1.019938e+00 5.262396e-06 1.006868e+00 7.233749e+07 9.152746e+00 5.759478e-03 -6.861383e-02 9.655952e-06 3.213375e+01
1.050000e+00 3.872764e-04 1.315369e+00 6.155220e-06 1.003002e+00 8.447278e+07 1.068816e+01 -5.549848e-03 -1.347586e-01 1.692772e-05 4.003944e+01
1.400000e+00 3.791503e-04 1.580177e+00 6.746183e-06 1.009391e+00 9.251863e+07 1.170623e+01 2.151024e-02 -1.748613e-01 6.437302e-06 4.592836e+01
1.750000e+00 3.597707e-04 1.852806e+00 7.150612e-06 1.006681e+00 9.899942e+07 1.252621e+01 -6.446004e-03 -2.004737e-01 -1.013279e-06 5.424483e+01
2.100000e+00 3.431201e-04 2.255032e+00 7.940986e-06 9.841339e-01 1.099868e+08 1.391637e+01 8.276820e-03 -1.966943e-01 7.152557e-06 6.645002e+01
2.450000e+00 3.383072e-04 2.776045e+00 9.807782e-06 1.008509e+00 1.348515e+08 1.706257e+01 -7.264137e-03 -1.923778e-01 1.060963e-05 8.469358e+01
2.800000e+00 3.163007e-04 3.158172e+00 1.209941e-05 9.981034e-01 1.683681e+08 2.130333e+01 3.635287e-03 -1.966519e-01 1.049042e-05 1.199383e+02
3.150000e+00 2.768459e-04 3.610403e+00 1.595023e-05 9.999815e-01 2.204430e+08 2.789222e+01 3.234148e-03 -1.942485e-01 5.125999e-06 2.071090e+02
3.500000e+00 1.580254e-04 4.253290e+00 2.054083e-05 9.970574e-01 2.888705e+08 3.655025e+01 1.103258e-02 -1.963247e-01 -1.966953e-06 8.215540e+02
3.849999e+00 1.017108e-04 5.020721e+00 2.625572e-05 9.944354e-01 3.690403e+08 4.669398e+01 3.343832e-02 -1.942943e-01 2.980232e-06 2.536989e+03
4.199999e+00 1.043214e-04 5.849755e+00 3.400999e-05 9.974782e-01 4.764397e+08 6.028271e+01 7.581353e-03 -2.111878e-01 -2.324581e-06 3.124070e+03
4.549999e+00 1.185579e-04 6.231672e+00 4.503427e-05 1.005557e+00 6.302390e+08 7.974306e+01 -1.524121e-02 -2.080702e-01 5.960464e-06 3.202925e+03
4.899999e+00 6.423048e-05 6.694874e+00 6.077154e-05 9.935923e-01 8.488879e+08 1.074082e+02 -6.194115e-04 -2.161420e-01 1.549721e-06 1.472951e+04
