#./underdamped_3d_var --dev=3 --amp=14 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.5 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=D:-1:1:100:1 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_amp14.dat
#D <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 1.804706e-03 2.389776e+01 2.567494e-04 1.010992e+00 3.573681e+09 4.521713e+02 -2.947688e-02 -4.847460e-01 2.360344e-05 7.783089e+01
1.047129e-01 1.897015e-03 2.390196e+01 2.524498e-04 1.007380e+00 3.508123e+09 4.438748e+02 -4.891872e-03 -4.868040e-01 2.241135e-05 6.915098e+01
1.096478e-01 1.841606e-03 2.390502e+01 2.472677e-04 1.004093e+00 3.448365e+09 4.363147e+02 -1.773518e-02 -4.822705e-01 1.919270e-05 7.190776e+01
1.148153e-01 1.742060e-03 2.390623e+01 2.420752e-04 1.000469e+00 3.380978e+09 4.277881e+02 -2.443612e-03 -4.823510e-01 2.443790e-05 7.876717e+01
1.202264e-01 1.532249e-03 2.390744e+01 2.332806e-04 9.939598e-01 3.245743e+09 4.106793e+02 -3.017557e-02 -4.869683e-01 8.940697e-06 9.836197e+01
1.258925e-01 1.469821e-03 2.391122e+01 2.347434e-04 1.017775e+00 3.278499e+09 4.148236e+02 -2.592570e-02 -4.809178e-01 1.275539e-05 1.076587e+02
1.318256e-01 1.253044e-03 2.391550e+01 2.290779e-04 1.023817e+00 3.210441e+09 4.062102e+02 -1.471764e-02 -4.829566e-01 4.887581e-06 1.448985e+02
1.380384e-01 1.081269e-03 2.392349e+01 2.160210e-04 1.001770e+00 3.033308e+09 3.837976e+02 -7.397771e-03 -4.827965e-01 9.655952e-06 1.837686e+02
1.445439e-01 1.330896e-03 2.392915e+01 2.130404e-04 1.006477e+00 2.970567e+09 3.758604e+02 8.761764e-03 -4.845777e-01 8.583069e-06 1.192746e+02
1.513561e-01 9.630946e-04 2.393477e+01 2.087363e-04 1.014139e+00 2.930189e+09 3.707528e+02 -2.341115e-02 -4.778985e-01 6.318092e-06 2.240402e+02
1.584892e-01 9.604866e-04 2.393730e+01 2.002519e-04 1.016850e+00 2.798003e+09 3.540264e+02 -2.570987e-03 -4.765705e-01 3.933907e-06 2.160672e+02
1.659586e-01 8.216916e-04 2.393909e+01 1.956314e-04 1.007624e+00 2.736629e+09 3.462603e+02 -3.489196e-03 -4.780456e-01 8.225441e-06 2.887483e+02
1.737800e-01 5.702908e-04 2.394495e+01 1.875912e-04 1.009626e+00 2.643496e+09 3.344774e+02 -2.606440e-02 -4.755998e-01 1.025200e-05 5.757927e+02
1.819700e-01 4.059138e-04 2.395204e+01 1.835819e-04 1.016916e+00 2.589859e+09 3.276896e+02 -8.092940e-03 -4.795145e-01 4.649162e-06 1.113198e+03
