#./underdamped_3d_var --dev=0 --amp=8.91 --omega=1.59 --force=0 --gam=0.03183 --Dg=0.5 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --icav=1 --pav=1 --mode=moments --domain=1d --domainx=D:-2:1:100:1 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> fig1_omega1.59_amp8.91.dat
#D <<v>> <<v^2>> atav2 qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-02 8.546458e-06 5.967127e+00 1.463205e-06 5.890701e-03 1.875637e+09 2.373268e+02 3.846459e+00 -5.220438e-01 -2.773404e-04 2.003139e+04
1.071519e-02 4.156772e-06 5.968497e+00 3.903502e-06 3.424585e-02 9.733882e+08 1.231636e+02 3.952111e+00 -5.245726e-01 -2.727509e-04 2.259124e+05
1.148153e-02 -1.636429e-05 5.970649e+00 5.231667e-06 6.783921e-02 5.463153e+08 6.912486e+01 3.397932e+00 -5.251292e-01 -2.679229e-04 1.953547e+04
1.230269e-02 -6.523661e-06 5.972927e+00 6.079769e-06 1.518801e-01 3.297470e+08 4.172329e+01 3.172101e+00 -5.215145e-01 -2.566576e-04 1.428569e+05
1.318256e-02 3.046556e-05 5.976701e+00 5.929956e-06 2.414082e-01 2.191362e+08 2.772699e+01 2.159393e+00 -5.261979e-01 -2.388954e-04 6.388004e+03
1.412537e-02 -9.004899e-06 5.983777e+00 7.088202e-06 3.886249e-01 1.774396e+08 2.245107e+01 1.695260e+00 -5.249836e-01 -2.016425e-04 8.741248e+04
1.513561e-02 -4.666710e-06 5.992976e+00 8.151809e-06 5.350617e-01 1.623657e+08 2.054393e+01 1.131162e+00 -5.244536e-01 -1.434088e-04 3.743099e+05
1.621809e-02 3.974631e-05 6.006779e+00 9.484940e-06 6.771773e-01 1.627524e+08 2.059285e+01 7.397642e-01 -5.242491e-01 -9.113550e-05 6.003003e+03
1.737800e-02 1.519499e-05 6.025599e+00 1.012067e-05 7.549511e-01 1.640858e+08 2.076144e+01 4.536165e-01 -5.216796e-01 -2.247095e-05 4.383274e+04
1.862086e-02 7.480784e-05 6.052007e+00 1.134831e-05 8.389391e-01 1.704812e+08 2.157066e+01 2.753931e-01 -5.212169e-01 1.311302e-06 2.026856e+03
1.995261e-02 1.003147e-04 6.087146e+00 1.222559e-05 9.024331e-01 1.819791e+08 2.302553e+01 1.684213e-01 -5.200100e-01 1.323223e-05 1.213902e+03
2.137960e-02 6.021668e-05 6.132343e+00 1.316446e-05 9.314353e-01 1.923949e+08 2.434324e+01 9.507072e-02 -5.168656e-01 1.263618e-05 3.629526e+03
2.290866e-02 1.652200e-05 6.189871e+00 1.441210e-05 9.576898e-01 2.061757e+08 2.608702e+01 4.958439e-02 -5.198578e-01 1.537800e-05 5.279512e+04
2.454707e-02 -1.417552e-05 6.262137e+00 1.499325e-05 9.505971e-01 2.134484e+08 2.700730e+01 5.395520e-02 -5.156389e-01 8.940697e-06 7.461252e+04
2.630266e-02 -6.642352e-05 6.349883e+00 1.565345e-05 9.597645e-01 2.231870e+08 2.823951e+01 4.571223e-02 -5.135554e-01 8.344650e-06 3.546859e+03
2.818380e-02 -1.029036e-04 6.454558e+00 1.629980e-05 9.780670e-01 2.294003e+08 2.902554e+01 1.898098e-02 -5.143707e-01 1.907349e-05 1.538294e+03
3.019948e-02 -9.209845e-05 6.576344e+00 1.673135e-05 9.859444e-01 2.370780e+08 2.999697e+01 -4.463553e-03 -5.105824e-01 1.037121e-05 1.971542e+03
3.235933e-02 -1.089321e-04 6.713320e+00 1.731766e-05 9.961721e-01 2.449320e+08 3.099074e+01 -1.945740e-02 -5.112900e-01 1.502037e-05 1.458412e+03
