#./underdamped_3d_twostate --dev=0 --amp=14 --omega=1.59 --force=0 --gam=0.03183 --Dg=0 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --pav=1 --mode=moments --domain=1d --domainx=D:-1:1:100:1 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 --th=0.015 >> twostate_omega1.59_amp14_th0.015.dat
#D p0
1.000000e-01 6.500244e-01
1.047129e-01 6.453247e-01
1.096478e-01 6.574707e-01
1.148153e-01 6.605225e-01
1.202264e-01 6.706543e-01
1.258925e-01 6.769409e-01
1.318256e-01 6.785278e-01
1.380384e-01 6.821289e-01
1.445439e-01 6.912842e-01
1.513561e-01 7.050781e-01
1.584892e-01 7.061768e-01
1.659586e-01 7.108154e-01
1.737800e-01 7.197266e-01
1.819700e-01 7.304688e-01
1.905460e-01 7.337646e-01
1.995261e-01 7.439575e-01
2.089295e-01 7.573242e-01
2.187760e-01 7.595825e-01
2.290866e-01 7.564697e-01
2.398831e-01 7.686768e-01
2.511884e-01 7.805786e-01
2.630266e-01 7.863770e-01
2.754226e-01 7.938843e-01
2.884029e-01 7.953491e-01
3.019949e-01 8.063354e-01
3.162274e-01 8.121338e-01
3.311308e-01 8.210449e-01
3.467365e-01 8.176270e-01
3.630777e-01 8.296509e-01
3.801890e-01 8.373413e-01
3.981068e-01 8.375244e-01
4.168690e-01 8.436890e-01
4.365154e-01 8.477783e-01
4.570878e-01 8.533936e-01
4.786297e-01 8.575439e-01
5.011868e-01 8.670044e-01
5.248070e-01 8.671875e-01
5.495405e-01 8.708496e-01
5.754395e-01 8.709717e-01
6.025591e-01 8.796997e-01
6.309568e-01 8.803101e-01
6.606929e-01 8.858643e-01
6.918304e-01 8.869629e-01
7.244353e-01 8.940430e-01
7.585769e-01 8.960571e-01
7.943276e-01 9.038086e-01
8.317630e-01 9.011230e-01
8.709628e-01 9.036865e-01
9.120100e-01 9.023438e-01
9.549918e-01 9.058228e-01
9.999991e-01 9.083862e-01
1.047128e+00 9.094238e-01
1.096477e+00 9.097290e-01
1.148153e+00 9.135132e-01
1.202263e+00 9.096069e-01
1.258924e+00 9.165649e-01
1.318256e+00 9.098511e-01
1.380383e+00 9.099731e-01
1.445438e+00 9.102173e-01
1.513560e+00 9.065552e-01
1.584892e+00 9.052734e-01
1.659585e+00 9.044189e-01
1.737799e+00 9.025879e-01
1.819699e+00 8.987427e-01
1.905459e+00 8.932495e-01
1.995260e+00 8.908081e-01
2.089294e+00 8.820801e-01
2.187760e+00 8.820801e-01
2.290866e+00 8.760986e-01
2.398831e+00 8.699951e-01
2.511884e+00 8.683472e-01
2.630266e+00 8.626709e-01
2.754227e+00 8.488770e-01
2.884029e+00 8.436890e-01
3.019950e+00 8.417969e-01
3.162276e+00 8.369141e-01
3.311309e+00 8.212891e-01
3.467366e+00 8.203125e-01
3.630778e+00 8.093262e-01
3.801891e+00 8.024292e-01
3.981068e+00 7.943726e-01
4.168690e+00 7.810059e-01
4.365154e+00 7.802124e-01
4.570877e+00 7.703247e-01
4.786296e+00 7.597656e-01
5.011867e+00 7.537231e-01
5.248068e+00 7.402954e-01
5.495402e+00 7.269287e-01
5.754392e+00 7.326660e-01
6.025588e+00 7.146606e-01
6.309565e+00 7.017212e-01
6.606925e+00 7.015991e-01
6.918300e+00 6.869507e-01
7.244349e+00 6.779175e-01
7.585764e+00 6.691895e-01
7.943270e+00 6.570435e-01
8.317624e+00 6.560059e-01
8.709621e+00 6.408691e-01
9.120093e+00 6.339722e-01
9.549910e+00 6.276855e-01
