#./underdamped_3d_twostate --dev=0 --amp=6.3 --omega=1.59 --force=0 --gam=0.03183 --Dg=0 --block=256 --paths=16384 --periods=1000000 --trans=100000 --samples=100 --spp=100 --algorithm=predcorr --pav=1 --mode=moments --domain=1d --domainx=D:-1:1:100:1 --domainy= --domainz= --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 --th=0.015 >> twostate_omega1.59_amp6.3_th0.015.dat
#D p0
1.000000e-01 5.986328e-01
1.047129e-01 6.098022e-01
1.096478e-01 6.098633e-01
1.148153e-01 6.187744e-01
1.202264e-01 6.195679e-01
1.258925e-01 6.315308e-01
1.318256e-01 6.279297e-01
1.380384e-01 6.369629e-01
1.445439e-01 6.349487e-01
1.513561e-01 6.395874e-01
1.584892e-01 6.386719e-01
1.659586e-01 6.434326e-01
1.737800e-01 6.497192e-01
1.819700e-01 6.510010e-01
1.905460e-01 6.514893e-01
1.995261e-01 6.582642e-01
2.089295e-01 6.577148e-01
2.187760e-01 6.614380e-01
2.290866e-01 6.670532e-01
2.398831e-01 6.661987e-01
2.511884e-01 6.630859e-01
2.630266e-01 6.618652e-01
2.754226e-01 6.626587e-01
2.884029e-01 6.731567e-01
3.019949e-01 6.702271e-01
3.162274e-01 6.734619e-01
3.311308e-01 6.749268e-01
3.467365e-01 6.763916e-01
3.630777e-01 6.798096e-01
3.801890e-01 6.814575e-01
3.981068e-01 6.824951e-01
4.168690e-01 6.831665e-01
4.365154e-01 6.875000e-01
4.570878e-01 6.903687e-01
4.786297e-01 6.894531e-01
5.011868e-01 6.965332e-01
5.248070e-01 7.018433e-01
5.495405e-01 6.970825e-01
5.754395e-01 7.014771e-01
6.025591e-01 6.984253e-01
6.309568e-01 7.070312e-01
6.606929e-01 7.130127e-01
6.918304e-01 7.152100e-01
7.244353e-01 7.194214e-01
7.585769e-01 7.272949e-01
7.943276e-01 7.239380e-01
8.317630e-01 7.296143e-01
8.709628e-01 7.246704e-01
9.120100e-01 7.387695e-01
9.549918e-01 7.307739e-01
9.999991e-01 7.372437e-01
1.047128e+00 7.443848e-01
1.096477e+00 7.484741e-01
1.148153e+00 7.482300e-01
1.202263e+00 7.498779e-01
1.258924e+00 7.572021e-01
1.318256e+00 7.626343e-01
1.380383e+00 7.627563e-01
1.445438e+00 7.662354e-01
1.513560e+00 7.658081e-01
1.584892e+00 7.664795e-01
1.659585e+00 7.723999e-01
1.737799e+00 7.745972e-01
1.819699e+00 7.772827e-01
1.905459e+00 7.861938e-01
1.995260e+00 7.891846e-01
2.089294e+00 7.871704e-01
2.187760e+00 7.881470e-01
2.290866e+00 7.945557e-01
2.398831e+00 7.949829e-01
2.511884e+00 7.899780e-01
2.630266e+00 7.929077e-01
2.754227e+00 7.940063e-01
2.884029e+00 7.947388e-01
3.019950e+00 7.955933e-01
3.162276e+00 7.974243e-01
3.311309e+00 7.963867e-01
3.467366e+00 7.992554e-01
3.630778e+00 7.947388e-01
3.801891e+00 7.944336e-01
3.981068e+00 7.916260e-01
4.168690e+00 7.954102e-01
4.365154e+00 7.867432e-01
4.570877e+00 7.918091e-01
4.786296e+00 7.840576e-01
5.011867e+00 7.802734e-01
5.248068e+00 7.813110e-01
5.495402e+00 7.800293e-01
5.754392e+00 7.711182e-01
6.025588e+00 7.622070e-01
6.309565e+00 7.603760e-01
6.606925e+00 7.467651e-01
6.918300e+00 7.505493e-01
7.244349e+00 7.453003e-01
7.585764e+00 7.354126e-01
7.943270e+00 7.285767e-01
8.317624e+00 7.246094e-01
8.709621e+00 7.133179e-01
9.120093e+00 7.108154e-01
9.549910e+00 6.929932e-01
