#./munderdamped_3d_gle --dev=0 --amp=12.2 --omega=5.775 --force=0.1 --mass=0.907 --Dg=0.0001 --tau=0.02 --block=1024 --paths=65536 --periods=20000 --trans=18000 --samples=1000 --spp=1000 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0:0.1:100:0 --domainy=a:12.2:12.2:1:0 --domainz=w:5.775:5.775:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> data/faw-D0.0001-m0.907-a12.2-w5.775-t0.02-f_0.0_0.1-spp1000.dat
#f a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
0.000000e+00 1.220000e+01 5.775000e+00 4.210996e-03 5.079313e+00 1.999738e+00 3.985746e+08 9.161138e+03 -6.661608e-01 4.628658e-03
1.000000e-03 1.220000e+01 5.775000e+00 -6.779786e-03 5.079460e+00 2.001563e+00 3.986272e+08 9.159330e+03 -6.662813e-01 4.568458e-03
2.000000e-03 1.220000e+01 5.775000e+00 -4.049980e-03 5.079825e+00 2.001476e+00 3.987010e+08 9.161200e+03 -6.664112e-01 4.557967e-03
3.000000e-03 1.220000e+01 5.775000e+00 -1.031638e-02 5.080304e+00 1.998407e+00 3.984667e+08 9.158486e+03 -6.660007e-01 4.488468e-03
4.000000e-03 1.220000e+01 5.775000e+00 -3.976705e-03 5.081194e+00 2.001296e+00 3.986348e+08 9.159665e+03 -6.663024e-01 4.467130e-03
5.000000e-03 1.220000e+01 5.775000e+00 -5.449573e-03 5.080028e+00 1.999056e+00 3.984299e+08 9.157406e+03 -6.660473e-01 4.466176e-03
6.000001e-03 1.220000e+01 5.775000e+00 -1.149524e-02 5.079627e+00 2.001086e+00 3.984437e+08 9.155689e+03 -6.659978e-01 4.355669e-03
7.000001e-03 1.220000e+01 5.775000e+00 -1.014515e-02 5.079988e+00 1.998482e+00 3.983312e+08 9.155328e+03 -6.658726e-01 4.325390e-03
8.000000e-03 1.220000e+01 5.775000e+00 -1.050294e-02 5.080152e+00 2.001676e+00 3.984851e+08 9.156146e+03 -6.660627e-01 4.329562e-03
9.000001e-03 1.220000e+01 5.775000e+00 -8.684964e-03 5.079393e+00 2.001379e+00 3.983328e+08 9.152656e+03 -6.659989e-01 4.260898e-03
1.000000e-02 1.220000e+01 5.775000e+00 -1.337613e-02 5.079112e+00 2.000932e+00 3.981779e+08 9.150056e+03 -6.657025e-01 4.259467e-03
1.100000e-02 1.220000e+01 5.775000e+00 -1.838167e-02 5.079306e+00 2.001498e+00 3.982420e+08 9.150819e+03 -6.655787e-01 4.213095e-03
1.200000e-02 1.220000e+01 5.775000e+00 -1.064849e-02 5.079349e+00 2.001664e+00 3.982241e+08 9.150299e+03 -6.658621e-01 4.145384e-03
1.300000e-02 1.220000e+01 5.775000e+00 -1.030562e-02 5.078817e+00 2.001616e+00 3.981212e+08 9.147886e+03 -6.657753e-01 4.125476e-03
1.400000e-02 1.220000e+01 5.775000e+00 -1.356100e-02 5.078612e+00 1.996918e+00 3.977986e+08 9.143540e+03 -6.652787e-01 4.092336e-03
1.500000e-02 1.220000e+01 5.775000e+00 -1.734586e-02 5.078384e+00 1.998448e+00 3.977566e+08 9.140460e+03 -6.651870e-01 4.053354e-03
1.600000e-02 1.220000e+01 5.775000e+00 -1.626626e-02 5.078249e+00 1.999594e+00 3.976067e+08 9.136191e+03 -6.651474e-01 4.065394e-03
1.700000e-02 1.220000e+01 5.775000e+00 -1.203381e-02 5.078142e+00 1.999808e+00 3.977286e+08 9.138835e+03 -6.654314e-01 3.992796e-03
1.800000e-02 1.220000e+01 5.775000e+00 -1.683798e-02 5.077255e+00 1.997124e+00 3.973802e+08 9.132867e+03 -6.648491e-01 3.897071e-03
1.900000e-02 1.220000e+01 5.775000e+00 -9.330551e-03 5.076670e+00 1.995754e+00 3.973696e+08 9.133474e+03 -6.651133e-01 3.919363e-03
2.000000e-02 1.220000e+01 5.775000e+00 -1.647873e-02 5.077181e+00 1.997876e+00 3.972009e+08 9.127417e+03 -6.647997e-01 3.906012e-03
2.100000e-02 1.220000e+01 5.775000e+00 -3.341222e-03 5.077592e+00 1.996655e+00 3.972104e+08 9.127421e+03 -6.652805e-01 3.887057e-03
2.200000e-02 1.220000e+01 5.775000e+00 -1.054108e-02 5.076069e+00 1.997577e+00 3.968923e+08 9.120361e+03 -6.648117e-01 3.837943e-03
2.300000e-02 1.220000e+01 5.775000e+00 -1.116437e-02 5.075572e+00 1.993627e+00 3.966013e+08 9.115790e+03 -6.644583e-01 3.779173e-03
2.400000e-02 1.220000e+01 5.775000e+00 2.834999e-04 5.077002e+00 1.997119e+00 3.967006e+08 9.115228e+03 -6.649673e-01 3.736615e-03
2.500000e-02 1.220000e+01 5.775000e+00 1.594911e-03 5.076026e+00 1.992794e+00 3.962893e+08 9.108501e+03 -6.645323e-01 3.735185e-03
2.600000e-02 1.220000e+01 5.775000e+00 -2.378522e-03 5.074608e+00 1.992334e+00 3.959468e+08 9.100475e+03 -6.642743e-01 3.687024e-03
2.700000e-02 1.220000e+01 5.775000e+00 2.805268e-03 5.074916e+00 1.992735e+00 3.958624e+08 9.098292e+03 -6.642993e-01 3.687978e-03
2.800000e-02 1.220000e+01 5.775000e+00 -1.390291e-03 5.076149e+00 1.995470e+00 3.960091e+08 9.099382e+03 -6.644782e-01 3.658056e-03
2.900000e-02 1.220000e+01 5.775000e+00 2.508799e-03 5.077352e+00 1.992674e+00 3.951591e+08 9.079968e+03 -6.638902e-01 3.586769e-03
3.000000e-02 1.220000e+01 5.775000e+00 7.637094e-03 5.077490e+00 1.991522e+00 3.949516e+08 9.075253e+03 -6.638020e-01 3.552675e-03
3.100000e-02 1.220000e+01 5.775000e+00 7.630315e-03 5.076253e+00 1.991016e+00 3.947855e+08 9.071296e+03 -6.636581e-01 3.528953e-03
3.200000e-02 1.220000e+01 5.775000e+00 1.408773e-02 5.074940e+00 1.987353e+00 3.939768e+08 9.054772e+03 -6.630052e-01 3.480673e-03
3.300000e-02 1.220000e+01 5.775000e+00 1.216317e-02 5.073833e+00 1.987498e+00 3.935962e+08 9.044200e+03 -6.628087e-01 3.483176e-03
3.400000e-02 1.220000e+01 5.775000e+00 1.485881e-02 5.072971e+00 1.985912e+00 3.929746e+08 9.031447e+03 -6.622776e-01 3.445864e-03
3.500000e-02 1.220000e+01 5.775000e+00 1.817581e-02 5.072120e+00 1.983683e+00 3.922769e+08 9.015826e+03 -6.618270e-01 3.412366e-03
3.599999e-02 1.220000e+01 5.775000e+00 2.045915e-02 5.072318e+00 1.984243e+00 3.916311e+08 8.998884e+03 -6.614590e-01 3.398061e-03
3.699999e-02 1.220000e+01 5.775000e+00 2.625058e-02 5.072996e+00 1.982099e+00 3.907443e+08 8.978700e+03 -6.606548e-01 3.356814e-03
3.799999e-02 1.220000e+01 5.775000e+00 2.721711e-02 5.072106e+00 1.978167e+00 3.895268e+08 8.952837e+03 -6.597235e-01 3.321648e-03
3.899999e-02 1.220000e+01 5.775000e+00 3.813364e-02 5.072898e+00 1.977831e+00 3.891163e+08 8.940812e+03 -6.591904e-01 3.267765e-03
3.999999e-02 1.220000e+01 5.775000e+00 4.188010e-02 5.073526e+00 1.971635e+00 3.874158e+08 8.904430e+03 -6.577670e-01 3.257871e-03
4.099999e-02 1.220000e+01 5.775000e+00 3.915947e-02 5.074306e+00 1.970964e+00 3.860655e+08 8.871225e+03 -6.571923e-01 3.223896e-03
4.199998e-02 1.220000e+01 5.775000e+00 5.562077e-02 5.076032e+00 1.966555e+00 3.849475e+08 8.845184e+03 -6.556269e-01 3.163576e-03
4.299998e-02 1.220000e+01 5.775000e+00 6.461489e-02 5.075523e+00 1.961565e+00 3.829643e+08 8.801009e+03 -6.535549e-01 3.121972e-03
4.399998e-02 1.220000e+01 5.775000e+00 6.075011e-02 5.074272e+00 1.956989e+00 3.811417e+08 8.759016e+03 -6.528111e-01 3.129601e-03
4.499998e-02 1.220000e+01 5.775000e+00 6.885014e-02 5.075073e+00 1.950900e+00 3.790912e+08 8.711050e+03 -6.509640e-01 3.081560e-03
4.599998e-02 1.220000e+01 5.775000e+00 8.336571e-02 5.076912e+00 1.942451e+00 3.767701e+08 8.658038e+03 -6.485306e-01 3.014326e-03
4.699998e-02 1.220000e+01 5.775000e+00 9.474953e-02 5.077899e+00 1.935960e+00 3.738697e+08 8.591774e+03 -6.451813e-01 2.987623e-03
4.799997e-02 1.220000e+01 5.775000e+00 1.056738e-01 5.078082e+00 1.926821e+00 3.707979e+08 8.522800e+03 -6.421343e-01 2.953649e-03
4.899997e-02 1.220000e+01 5.775000e+00 1.275056e-01 5.079431e+00 1.917317e+00 3.666740e+08 8.426561e+03 -6.368271e-01 2.923250e-03
4.999997e-02 1.220000e+01 5.775000e+00 1.407251e-01 5.080441e+00 1.912436e+00 3.628323e+08 8.338251e+03 -6.323193e-01 2.885938e-03
5.099997e-02 1.220000e+01 5.775000e+00 1.575721e-01 5.082355e+00 1.895896e+00 3.584304e+08 8.236031e+03 -6.268650e-01 2.788186e-03
5.199997e-02 1.220000e+01 5.775000e+00 1.760608e-01 5.084529e+00 1.875539e+00 3.529947e+08 8.112160e+03 -6.203919e-01 2.711535e-03
5.299997e-02 1.220000e+01 5.775000e+00 1.932554e-01 5.086016e+00 1.864129e+00 3.477429e+08 7.992208e+03 -6.128399e-01 2.699256e-03
5.399996e-02 1.220000e+01 5.775000e+00 2.206978e-01 5.089261e+00 1.847719e+00 3.410396e+08 7.836682e+03 -6.021286e-01 2.622485e-03
5.499996e-02 1.220000e+01 5.775000e+00 2.516846e-01 5.094637e+00 1.819014e+00 3.320471e+08 7.631168e+03 -5.865380e-01 2.555728e-03
5.599996e-02 1.220000e+01 5.775000e+00 2.757552e-01 5.097783e+00 1.803878e+00 3.251692e+08 7.472443e+03 -5.729466e-01 2.456546e-03
5.699996e-02 1.220000e+01 5.775000e+00 3.096366e-01 5.102181e+00 1.770277e+00 3.144283e+08 7.225406e+03 -5.530157e-01 2.358675e-03
5.799996e-02 1.220000e+01 5.775000e+00 3.467415e-01 5.107245e+00 1.736345e+00 3.048219e+08 7.003972e+03 -5.284188e-01 2.278805e-03
5.899996e-02 1.220000e+01 5.775000e+00 3.734360e-01 5.111764e+00 1.699011e+00 2.946228e+08 6.770473e+03 -5.104516e-01 2.157927e-03
5.999995e-02 1.220000e+01 5.775000e+00 4.107428e-01 5.118648e+00 1.652532e+00 2.811262e+08 6.459845e+03 -4.768810e-01 2.049088e-03
6.099995e-02 1.220000e+01 5.775000e+00 4.485937e-01 5.125151e+00 1.596950e+00 2.665507e+08 6.124909e+03 -4.342013e-01 2.010465e-03
6.199995e-02 1.220000e+01 5.775000e+00 4.844684e-01 5.131202e+00 1.556780e+00 2.535324e+08 5.825559e+03 -3.956863e-01 1.860023e-03
6.299995e-02 1.220000e+01 5.775000e+00 5.210145e-01 5.137474e+00 1.507290e+00 2.383414e+08 5.476207e+03 -3.387201e-01 1.738787e-03
6.399995e-02 1.220000e+01 5.775000e+00 5.557982e-01 5.144795e+00 1.427737e+00 2.227954e+08 5.119891e+03 -2.858908e-01 1.669049e-03
6.499995e-02 1.220000e+01 5.775000e+00 5.857387e-01 5.151144e+00 1.374779e+00 2.060486e+08 4.734359e+03 -2.102682e-01 1.596570e-03
6.599995e-02 1.220000e+01 5.775000e+00 6.194996e-01 5.157200e+00 1.298530e+00 1.886080e+08 4.333397e+03 -1.246755e-01 1.479506e-03
6.699996e-02 1.220000e+01 5.775000e+00 6.485247e-01 5.162507e+00 1.220446e+00 1.729462e+08 3.974238e+03 -4.867816e-02 1.403451e-03
6.799996e-02 1.220000e+01 5.775000e+00 6.804234e-01 5.168005e+00 1.146984e+00 1.538124e+08 3.534340e+03 7.716644e-02 1.302004e-03
6.899996e-02 1.220000e+01 5.775000e+00 6.960685e-01 5.170620e+00 1.075777e+00 1.396636e+08 3.209308e+03 1.580426e-01 1.275897e-03
6.999996e-02 1.220000e+01 5.775000e+00 7.174626e-01 5.174695e+00 1.010309e+00 1.248537e+08 2.869079e+03 2.829052e-01 1.203418e-03
7.099997e-02 1.220000e+01 5.775000e+00 7.288180e-01 5.177456e+00 9.655682e-01 1.101622e+08 2.531478e+03 4.131060e-01 1.169562e-03
7.199997e-02 1.220000e+01 5.775000e+00 7.437008e-01 5.181088e+00 8.961728e-01 9.693352e+07 2.227440e+03 5.189677e-01 1.120687e-03
