#./munderdamped_3d --dev=0 --amp=12.2 --omega=5.775 --force=0.1 --mass=0.907 --Dg=0.0001 --block=1024 --paths=65536 --periods=20000 --trans=18000 --samples=1000 --spp=1000 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0.0:0.1:100:0 --domainy=a:12.2:12.2:1:0 --domainz=w:5.775:5.775:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> data/faw-D0.0001-m0.907-a12.2-w5.775-f_0.0_0.1-spp1000.dat
#f a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
0.000000e+00 1.220000e+01 5.775000e+00 -1.085427e-03 4.605233e+00 9.849552e-01 3.414385e+05 7.845632e+00 -9.019971e-04 2.144098e-03
1.000000e-03 1.220000e+01 5.775000e+00 8.403861e-03 4.605184e+00 9.766436e-01 3.408462e+05 7.832052e+00 4.657030e-03 2.129078e-03
2.000000e-03 1.220000e+01 5.775000e+00 1.810271e-02 4.604984e+00 9.811520e-01 3.423855e+05 7.867166e+00 -3.237545e-03 2.114177e-03
3.000000e-03 1.220000e+01 5.775000e+00 2.769928e-02 4.604600e+00 1.021917e+00 3.505044e+05 8.053632e+00 -5.898237e-03 2.072096e-03
4.000000e-03 1.220000e+01 5.775000e+00 3.749338e-02 4.604364e+00 9.969309e-01 3.479835e+05 7.995545e+00 1.392365e-04 2.079010e-03
5.000000e-03 1.220000e+01 5.775000e+00 4.720192e-02 4.603728e+00 9.997909e-01 3.535045e+05 8.122207e+00 -4.250646e-03 2.085567e-03
6.000001e-03 1.220000e+01 5.775000e+00 5.759268e-02 4.603154e+00 1.020447e+00 3.585811e+05 8.238884e+00 -6.816149e-03 2.066731e-03
7.000001e-03 1.220000e+01 5.775000e+00 6.904081e-02 4.602458e+00 1.025301e+00 3.635303e+05 8.351513e+00 -6.965458e-03 2.092838e-03
8.000000e-03 1.220000e+01 5.775000e+00 7.994301e-02 4.601810e+00 9.913509e-01 3.695731e+05 8.491317e+00 7.306099e-03 2.090216e-03
9.000001e-03 1.220000e+01 5.775000e+00 9.083319e-02 4.601008e+00 1.017826e+00 3.731968e+05 8.574750e+00 7.885695e-04 2.074242e-03
1.000000e-02 1.220000e+01 5.775000e+00 1.031169e-01 4.600160e+00 9.578549e-01 3.774956e+05 8.671171e+00 1.053572e-03 2.073407e-03
1.100000e-02 1.220000e+01 5.775000e+00 1.150821e-01 4.599315e+00 1.041525e+00 3.914875e+05 8.992875e+00 -5.929112e-03 2.040386e-03
1.200000e-02 1.220000e+01 5.775000e+00 1.284667e-01 4.598578e+00 1.012216e+00 3.993459e+05 9.174861e+00 7.742167e-03 2.058387e-03
1.300000e-02 1.220000e+01 5.775000e+00 1.408491e-01 4.597755e+00 9.765605e-01 4.026386e+05 9.246575e+00 -4.475832e-03 2.075434e-03
1.400000e-02 1.220000e+01 5.775000e+00 1.549409e-01 4.597054e+00 9.796386e-01 4.135265e+05 9.499034e+00 -1.055002e-03 2.060890e-03
1.500000e-02 1.220000e+01 5.775000e+00 1.688274e-01 4.596425e+00 1.012361e+00 4.244431e+05 9.752849e+00 5.508065e-03 2.095699e-03
1.600000e-02 1.220000e+01 5.775000e+00 1.834641e-01 4.595612e+00 1.022697e+00 4.304246e+05 9.886489e+00 -4.383206e-03 2.097845e-03
1.700000e-02 1.220000e+01 5.775000e+00 1.985952e-01 4.595186e+00 1.011157e+00 4.423474e+05 1.016004e+01 2.837896e-03 2.095699e-03
1.800000e-02 1.220000e+01 5.775000e+00 2.128720e-01 4.594530e+00 1.019026e+00 4.500034e+05 1.032810e+01 -7.800639e-03 2.113819e-03
1.900000e-02 1.220000e+01 5.775000e+00 2.293668e-01 4.594177e+00 9.874406e-01 4.516023e+05 1.036156e+01 2.892137e-03 2.111912e-03
2.000000e-02 1.220000e+01 5.775000e+00 2.445170e-01 4.593826e+00 9.527489e-01 4.575198e+05 1.050444e+01 -4.652858e-03 2.131820e-03
2.100000e-02 1.220000e+01 5.775000e+00 2.609123e-01 4.593671e+00 9.787421e-01 4.662265e+05 1.070536e+01 -2.884328e-03 2.165079e-03
2.200000e-02 1.220000e+01 5.775000e+00 2.778196e-01 4.593590e+00 1.015678e+00 4.752662e+05 1.091611e+01 -3.517270e-04 2.195120e-03
2.300000e-02 1.220000e+01 5.775000e+00 2.940368e-01 4.593655e+00 1.025138e+00 4.799118e+05 1.101014e+01 -1.343554e-02 2.213120e-03
2.400000e-02 1.220000e+01 5.775000e+00 3.111858e-01 4.593790e+00 9.981199e-01 4.871811e+05 1.120527e+01 -9.692907e-04 2.208710e-03
2.500000e-02 1.220000e+01 5.775000e+00 3.286428e-01 4.593995e+00 1.010034e+00 4.913698e+05 1.128413e+01 1.635671e-03 2.220631e-03
2.600000e-02 1.220000e+01 5.775000e+00 3.459930e-01 4.594545e+00 1.025904e+00 4.897982e+05 1.126547e+01 3.130913e-03 2.292395e-03
2.700000e-02 1.220000e+01 5.775000e+00 3.628123e-01 4.594913e+00 9.502787e-01 4.864644e+05 1.114277e+01 -2.710521e-03 2.312899e-03
2.800000e-02 1.220000e+01 5.775000e+00 3.809524e-01 4.595675e+00 9.335694e-01 4.933379e+05 1.132797e+01 -7.599771e-03 2.311587e-03
2.900000e-02 1.220000e+01 5.775000e+00 3.994761e-01 4.596509e+00 9.459770e-01 4.963727e+05 1.137668e+01 -7.795513e-03 2.331018e-03
3.000000e-02 1.220000e+01 5.775000e+00 4.158872e-01 4.597312e+00 9.815242e-01 4.919306e+05 1.131142e+01 -7.039547e-03 2.354860e-03
3.100000e-02 1.220000e+01 5.775000e+00 4.344611e-01 4.598353e+00 9.605859e-01 4.916221e+05 1.130462e+01 -1.100242e-03 2.382874e-03
3.200000e-02 1.220000e+01 5.775000e+00 4.516533e-01 4.599402e+00 1.015278e+00 4.914298e+05 1.126933e+01 -1.157153e-02 2.431273e-03
3.300000e-02 1.220000e+01 5.775000e+00 4.707108e-01 4.600765e+00 1.024292e+00 4.886946e+05 1.121528e+01 -8.625329e-03 2.455950e-03
3.400000e-02 1.220000e+01 5.775000e+00 4.886241e-01 4.602149e+00 1.010382e+00 4.832416e+05 1.106492e+01 -6.315649e-03 2.452135e-03
3.500000e-02 1.220000e+01 5.775000e+00 5.053415e-01 4.603683e+00 9.949722e-01 4.781471e+05 1.098863e+01 -2.323151e-03 2.487302e-03
3.599999e-02 1.220000e+01 5.775000e+00 5.235439e-01 4.605319e+00 1.012283e+00 4.630528e+05 1.061951e+01 -1.651567e-02 2.524257e-03
3.699999e-02 1.220000e+01 5.775000e+00 5.405465e-01 4.607051e+00 9.828951e-01 4.625777e+05 1.057208e+01 8.065701e-04 2.533674e-03
3.799999e-02 1.220000e+01 5.775000e+00 5.582234e-01 4.608869e+00 9.960505e-01 4.480141e+05 1.024598e+01 -9.530187e-03 2.585411e-03
3.899999e-02 1.220000e+01 5.775000e+00 5.748494e-01 4.610734e+00 9.754300e-01 4.421292e+05 1.012870e+01 3.383875e-03 2.598643e-03
3.999999e-02 1.220000e+01 5.775000e+00 5.919415e-01 4.612782e+00 1.045156e+00 4.336789e+05 9.919508e+00 -3.800094e-03 2.611518e-03
4.099999e-02 1.220000e+01 5.775000e+00 6.089989e-01 4.614935e+00 9.724430e-01 4.179661e+05 9.570611e+00 2.196431e-03 2.583265e-03
4.199998e-02 1.220000e+01 5.775000e+00 6.252300e-01 4.617091e+00 1.009861e+00 4.076762e+05 9.336051e+00 7.860422e-03 2.608418e-03
4.299998e-02 1.220000e+01 5.775000e+00 6.400482e-01 4.619270e+00 1.019361e+00 3.936935e+05 8.956638e+00 -1.545846e-03 2.640486e-03
4.399998e-02 1.220000e+01 5.775000e+00 6.556108e-01 4.621622e+00 9.934462e-01 3.821260e+05 8.822447e+00 -3.024042e-03 2.676249e-03
4.499998e-02 1.220000e+01 5.775000e+00 6.713122e-01 4.624141e+00 1.017541e+00 3.643137e+05 8.346343e+00 -4.509866e-03 2.665162e-03
4.599998e-02 1.220000e+01 5.775000e+00 6.852539e-01 4.626637e+00 1.018787e+00 3.490816e+05 8.017666e+00 1.834714e-02 2.671003e-03
4.699998e-02 1.220000e+01 5.775000e+00 6.992391e-01 4.629251e+00 1.001680e+00 3.326226e+05 7.618400e+00 1.171565e-02 2.676010e-03
4.799997e-02 1.220000e+01 5.775000e+00 7.127369e-01 4.632070e+00 1.020919e+00 3.205528e+05 7.309576e+00 1.420629e-02 2.700210e-03
4.899997e-02 1.220000e+01 5.775000e+00 7.266840e-01 4.634881e+00 9.652808e-01 3.009732e+05 6.869869e+00 1.861537e-02 2.652168e-03
4.999997e-02 1.220000e+01 5.775000e+00 7.395787e-01 4.637942e+00 9.604260e-01 2.869885e+05 6.589721e+00 1.499093e-02 2.653360e-03
5.099997e-02 1.220000e+01 5.775000e+00 7.515103e-01 4.641028e+00 9.650965e-01 2.727119e+05 6.206264e+00 7.126927e-03 2.680302e-03
