#./munderdamped_3d --dev=1 --amp=12.2 --omega=5.775 --force=0.1 --mass=0.8775 --Dg=0.0001 --block=1024 --paths=1048576 --periods=20000 --trans=18000 --samples=1000 --spp=1000 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0.0:0.01:100:0 --domainy=a:12.2:12.2:1:0 --domainz=w:5.775:5.775:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/faw-D0.0001-m0.8775-a12.2-w5.775-f_0.0_0.01-spp1000.dat
#./munderdamped_3d --dev=2 --amp=12.2 --omega=5.775 --force=0.1 --mass=0.8775 --Dg=0.0001 --block=1024 --paths=1048576 --periods=20000 --trans=18000 --samples=1000 --spp=1000 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0.01:0.02:100:0 --domainy=a:12.2:12.2:1:0 --domainz=w:5.775:5.775:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/faw-D0.0001-m0.8775-a12.2-w5.775-f_0.01_0.02-spp1000.dat
#f a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
0.000000e+00 1.220000e+01 5.775000e+00 1.746599e-03 5.237327e+00 1.288359e+00 1.386366e+08 3.185638e+03 -3.448312e-01 4.634261e-03
1.000000e-04 1.220000e+01 5.775000e+00 -5.370274e-03 5.237353e+00 1.290541e+00 1.390027e+08 3.194063e+03 -3.466205e-01 4.737973e-03
2.000000e-04 1.220000e+01 5.775000e+00 -1.026413e-02 5.237346e+00 1.287046e+00 1.389028e+08 3.192394e+03 -3.455648e-01 4.655480e-03
3.000000e-04 1.220000e+01 5.775000e+00 -1.686005e-02 5.237344e+00 1.280955e+00 1.386119e+08 3.185632e+03 -3.452778e-01 4.698157e-03
4.000000e-04 1.220000e+01 5.775000e+00 -2.316704e-02 5.237328e+00 1.287413e+00 1.388462e+08 3.190424e+03 -3.455383e-01 4.683018e-03
5.000000e-04 1.220000e+01 5.775000e+00 -2.850740e-02 5.237317e+00 1.283447e+00 1.387034e+08 3.187641e+03 -3.449200e-01 4.732728e-03
6.000000e-04 1.220000e+01 5.775000e+00 -3.334115e-02 5.237303e+00 1.284204e+00 1.387192e+08 3.187907e+03 -3.452335e-01 4.817367e-03
7.000000e-04 1.220000e+01 5.775000e+00 -4.170864e-02 5.237258e+00 1.284955e+00 1.386314e+08 3.186534e+03 -3.437460e-01 4.805088e-03
8.000000e-04 1.220000e+01 5.775000e+00 -4.570739e-02 5.237245e+00 1.286785e+00 1.382800e+08 3.177662e+03 -3.427632e-01 4.727840e-03
9.000000e-04 1.220000e+01 5.775000e+00 -5.172718e-02 5.237211e+00 1.280024e+00 1.385578e+08 3.184001e+03 -3.437003e-01 4.770994e-03
9.999999e-04 1.220000e+01 5.775000e+00 -5.793266e-02 5.237155e+00 1.282524e+00 1.383634e+08 3.180137e+03 -3.420981e-01 4.807830e-03
