#./munderdamped_3d --dev=1 --amp=12.2 --omega=5.775 --force=0.1 --mass=0.8775 --Dg=0 --block=1024 --paths=4194304 --periods=20000 --trans=18000 --samples=4000 --spp=4000 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0.0:0.005:50:0 --domainy=a:12.2:12.2:1:0 --domainz=w:5.775:5.775:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/faw-D0-m0.8775-a12.2-w5.775-f_0.0_0.005-spp4000.dat
#./munderdamped_3d --dev=3 --amp=12.2 --omega=5.775 --force=0.1 --mass=0.8775 --Dg=0 --block=1024 --paths=4194304 --periods=20000 --trans=18000 --samples=4000 --spp=4000 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0.005:0.01:50:0 --domainy=a:12.2:12.2:1:0 --domainz=w:5.775:5.775:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/faw-D0-m0.8775-a12.2-w5.775-f_0.005_0.01-spp4000.dat
#./munderdamped_3d --dev=0 --amp=12.2 --omega=5.775 --force=0.1 --mass=0.8775 --Dg=0 --block=1024 --paths=4194304 --periods=20000 --trans=18000 --samples=4000 --spp=4000 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0.01:0.015:50:0 --domainy=a:12.2:12.2:1:0 --domainz=w:5.775:5.775:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/faw-D0-m0.8775-a12.2-w5.775-f_0.01_0.015-spp4000.dat
#./munderdamped_3d --dev=0 --amp=12.2 --omega=5.775 --force=0.1 --mass=0.8775 --Dg=0 --block=1024 --paths=4194304 --periods=20000 --trans=18000 --samples=4000 --spp=4000 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0.015:0.02:50:0 --domainy=a:12.2:12.2:1:0 --domainz=w:5.775:5.775:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/faw-D0-m0.8775-a12.2-w5.775-f_0.015_0.02-spp4000.dat
#f a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
0.000000e+00 1.220000e+01 5.775000e+00 1.040965e-04 5.033138e+00 2.170088e+00 4.024137e+08 9.246660e+03 -6.876119e-01 2.678013e-02
1.000000e-04 1.220000e+01 5.775000e+00 3.496872e-04 5.033139e+00 2.170052e+00 4.024113e+08 9.246669e+03 -6.876252e-01 2.673066e-02
2.000000e-04 1.220000e+01 5.775000e+00 1.898999e-03 5.033139e+00 2.170359e+00 4.023138e+08 9.246633e+03 -6.875207e-01 2.671766e-02
3.000000e-04 1.220000e+01 5.775000e+00 5.700020e-03 5.033140e+00 2.164914e+00 4.020652e+08 9.246269e+03 -6.731157e-01 2.672315e-02
4.000000e-04 1.220000e+01 5.775000e+00 6.913556e-03 5.033142e+00 2.173360e+00 4.016116e+08 9.246104e+03 -6.716961e-01 2.675545e-02
5.000000e-04 1.220000e+01 5.775000e+00 8.234291e-03 5.033143e+00 2.213711e+00 4.016612e+08 9.245883e+03 -6.717620e-01 2.663386e-02
6.000000e-04 1.220000e+01 5.775000e+00 8.414537e-03 5.033143e+00 2.213858e+00 4.016757e+08 9.245825e+03 -6.718860e-01 2.663004e-02
7.000000e-04 1.220000e+01 5.775000e+00 7.325918e-03 5.033143e+00 2.189303e+00 4.016091e+08 9.246022e+03 -6.716033e-01 2.668869e-02
8.000000e-04 1.220000e+01 5.775000e+00 7.545829e-03 5.033143e+00 2.208835e+00 4.016054e+08 9.245979e+03 -6.715968e-01 2.671707e-02
9.000000e-04 1.220000e+01 5.775000e+00 1.016816e-02 5.033143e+00 2.213883e+00 4.016646e+08 9.245449e+03 -6.742764e-01 2.667415e-02
9.999999e-04 1.220000e+01 5.775000e+00 9.610701e-03 5.033143e+00 2.213775e+00 4.016779e+08 9.245594e+03 -6.727426e-01 2.674878e-02
1.100000e-03 1.220000e+01 5.775000e+00 1.013491e-02 5.033143e+00 2.213819e+00 4.016678e+08 9.245471e+03 -6.742470e-01 2.668035e-02
1.200000e-03 1.220000e+01 5.775000e+00 1.523740e-02 5.033143e+00 2.207173e+00 4.013452e+08 9.244075e+03 -6.736750e-01 2.676010e-02
1.300000e-03 1.220000e+01 5.775000e+00 1.696888e-02 5.033143e+00 1.978243e+00 3.993010e+08 9.243471e+03 -6.682363e-01 2.661622e-02
1.400000e-03 1.220000e+01 5.775000e+00 1.790147e-02 5.033144e+00 1.909033e+00 3.993703e+08 9.243095e+03 -6.678916e-01 2.676642e-02
1.500000e-03 1.220000e+01 5.775000e+00 2.026817e-02 5.033144e+00 1.868377e+00 3.993818e+08 9.242150e+03 -6.675410e-01 2.669764e-02
1.600000e-03 1.220000e+01 5.775000e+00 1.181761e-02 5.033141e+00 2.208036e+00 4.015246e+08 9.245105e+03 -6.738334e-01 2.663279e-02
1.700000e-03 1.220000e+01 5.775000e+00 5.454895e-03 5.033132e+00 2.164518e+00 4.021075e+08 9.246339e+03 -6.735458e-01 2.676594e-02
1.800000e-03 1.220000e+01 5.775000e+00 1.743514e-03 5.033126e+00 2.171608e+00 4.023614e+08 9.246630e+03 -6.875598e-01 2.676439e-02
1.899999e-03 1.220000e+01 5.775000e+00 -6.955861e-04 5.046914e+00 2.170285e+00 4.024088e+08 9.246689e+03 -6.875954e-01 2.679074e-02
1.999999e-03 1.220000e+01 5.775000e+00 -7.607955e-03 5.053425e+00 2.212344e+00 4.016059e+08 9.246047e+03 -6.715149e-01 2.677345e-02
2.099999e-03 1.220000e+01 5.775000e+00 -1.218200e-02 5.074029e+00 2.207777e+00 4.015122e+08 9.245086e+03 -6.737859e-01 2.661967e-02
2.200000e-03 1.220000e+01 5.775000e+00 -1.548434e-02 5.116791e+00 2.202462e+00 4.011489e+08 9.244093e+03 -6.733782e-01 2.670419e-02
2.300000e-03 1.220000e+01 5.775000e+00 -1.654354e-02 5.133700e+00 2.036490e+00 3.993088e+08 9.243749e+03 -6.682270e-01 2.666104e-02
2.400000e-03 1.220000e+01 5.775000e+00 -1.901542e-02 5.159630e+00 1.872473e+00 3.993865e+08 9.242820e+03 -6.675884e-01 2.658689e-02
2.500000e-03 1.220000e+01 5.775000e+00 -2.397469e-02 5.207035e+00 1.908254e+00 4.015181e+08 9.240549e+03 -6.702673e-01 2.671218e-02
