#./munderdamped_3d --dev=1 --amp=10.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --block=1024 --paths=262144 --periods=5000 --trans=4000 --samples=400 --spp=400 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=g:1.0:1.0:1:0 --domainy=a:10.0:10.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.001-m_1.0_1.0-a10.0-w4.0.dat
#./munderdamped_3d_gle --dev=0 --amp=10.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --tau=0.01 --block=1024 --paths=262144 --periods=5000 --trans=4000 --samples=400 --spp=400 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=t:0.0:0.04:100:0 --domainy=a:10.0:10.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.001-m1.0-a10.0-w4.0-t_0.0_0.05.dat
#./munderdamped_3d_gle --dev=0 --amp=10.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --tau=0.01 --block=1024 --paths=262144 --periods=5000 --trans=4000 --samples=400 --spp=400 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=t:0.04:0.04:1:0 --domainy=a:10.0:10.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.001-m1.0-a10.0-w4.0-t_0.04_0.04.dat
#t a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
0.000000e+00 1.000000e+01 4.000000e+00 1.987297e-03 5.485617e+00 8.902451e-01 3.305516e+02 2.104227e-02 2.022392e-01 9.873066e-01
2.000000e-03 1.000000e+01 4.000000e+00 2.841477e-03 5.497138e+00 9.120136e-01 4.489046e+02 2.858214e-02 1.550149e-01 7.641912e-01
2.400000e-03 1.000000e+01 4.000000e+00 3.011520e-03 5.499540e+00 9.076208e-01 4.783661e+02 3.046069e-02 1.472960e-01 7.282209e-01
2.800000e-03 1.000000e+01 4.000000e+00 3.213077e-03 5.502172e+00 9.287358e-01 5.053676e+02 3.217898e-02 1.345119e-01 6.933484e-01
3.200000e-03 1.000000e+01 4.000000e+00 3.428730e-03 5.504723e+00 9.252481e-01 5.339125e+02 3.400161e-02 1.279693e-01 6.664307e-01
3.600000e-03 1.000000e+01 4.000000e+00 3.618817e-03 5.507462e+00 9.407626e-01 5.652944e+02 3.599943e-02 1.298654e-01 6.358062e-01
4.000000e-03 1.000000e+01 4.000000e+00 3.847159e-03 5.510128e+00 9.276323e-01 5.943747e+02 3.785254e-02 1.313843e-01 6.096686e-01
4.400000e-03 1.000000e+01 4.000000e+00 4.056377e-03 5.512847e+00 9.389520e-01 6.300687e+02 4.012194e-02 1.200210e-01 5.872574e-01
4.799999e-03 1.000000e+01 4.000000e+00 4.285282e-03 5.515425e+00 9.300413e-01 6.628536e+02 4.220901e-02 1.071322e-01 5.666282e-01
5.199999e-03 1.000000e+01 4.000000e+00 4.501372e-03 5.517889e+00 9.470760e-01 6.953546e+02 4.428272e-02 1.131227e-01 5.499535e-01
5.599999e-03 1.000000e+01 4.000000e+00 4.706611e-03 5.520373e+00 9.358459e-01 7.307258e+02 4.652927e-02 1.063126e-01 5.256937e-01
5.999999e-03 1.000000e+01 4.000000e+00 4.932246e-03 5.522935e+00 9.462842e-01 7.659968e+02 4.877314e-02 9.920382e-02 5.121204e-01
6.399998e-03 1.000000e+01 4.000000e+00 5.173576e-03 5.525338e+00 9.567650e-01 8.011184e+02 5.101355e-02 1.028563e-01 4.934266e-01
6.799998e-03 1.000000e+01 4.000000e+00 5.368019e-03 5.527857e+00 9.608423e-01 8.350107e+02 5.317123e-02 8.711326e-02 4.808505e-01
7.199998e-03 1.000000e+01 4.000000e+00 5.584775e-03 5.530322e+00 9.622511e-01 8.739808e+02 5.565149e-02 9.677231e-02 4.671179e-01
7.599998e-03 1.000000e+01 4.000000e+00 5.777501e-03 5.532726e+00 9.526547e-01 9.090826e+02 5.788625e-02 1.009328e-01 4.503258e-01
7.999998e-03 1.000000e+01 4.000000e+00 6.017076e-03 5.535334e+00 9.559698e-01 9.426784e+02 6.002102e-02 9.400415e-02 4.440269e-01
8.399998e-03 1.000000e+01 4.000000e+00 6.171752e-03 5.537864e+00 9.609736e-01 9.754211e+02 6.210070e-02 8.992946e-02 4.329188e-01
8.799998e-03 1.000000e+01 4.000000e+00 6.335075e-03 5.540549e+00 9.533322e-01 1.002881e+03 6.385612e-02 7.970333e-02 4.235159e-01
9.199998e-03 1.000000e+01 4.000000e+00 6.501961e-03 5.543164e+00 9.589243e-01 1.030953e+03 6.563850e-02 9.198689e-02 4.144349e-01
9.599999e-03 1.000000e+01 4.000000e+00 6.692061e-03 5.545932e+00 9.509057e-01 1.057353e+03 6.732310e-02 7.330537e-02 4.044176e-01
9.999999e-03 1.000000e+01 4.000000e+00 6.839892e-03 5.548827e+00 9.680272e-01 1.088759e+03 6.932477e-02 8.354783e-02 3.968786e-01
1.040000e-02 1.000000e+01 4.000000e+00 6.985524e-03 5.551748e+00 9.642476e-01 1.112130e+03 7.081725e-02 8.952284e-02 3.888218e-01
1.080000e-02 1.000000e+01 4.000000e+00 7.104831e-03 5.554853e+00 9.725311e-01 1.139153e+03 7.253084e-02 7.327890e-02 3.823991e-01
1.120000e-02 1.000000e+01 4.000000e+00 7.218454e-03 5.557970e+00 9.692475e-01 1.160523e+03 7.389999e-02 7.463825e-02 3.733222e-01
1.160000e-02 1.000000e+01 4.000000e+00 7.307577e-03 5.561246e+00 9.775639e-01 1.190308e+03 7.580014e-02 7.548690e-02 3.716902e-01
1.200000e-02 1.000000e+01 4.000000e+00 7.374896e-03 5.564769e+00 9.687394e-01 1.199273e+03 7.636428e-02 7.147872e-02 3.642039e-01
1.240000e-02 1.000000e+01 4.000000e+00 7.422756e-03 5.568227e+00 9.678498e-01 1.214034e+03 7.730325e-02 6.938791e-02 3.603985e-01
1.280000e-02 1.000000e+01 4.000000e+00 7.474972e-03 5.571568e+00 9.614394e-01 1.231796e+03 7.843841e-02 7.617748e-02 3.561376e-01
1.320000e-02 1.000000e+01 4.000000e+00 7.526972e-03 5.575498e+00 9.540166e-01 1.241397e+03 7.905377e-02 6.805491e-02 3.514655e-01
1.360000e-02 1.000000e+01 4.000000e+00 7.533490e-03 5.578988e+00 9.627388e-01 1.257000e+03 8.004639e-02 7.295501e-02 3.458722e-01
1.400000e-02 1.000000e+01 4.000000e+00 7.531032e-03 5.582910e+00 9.718435e-01 1.262697e+03 8.040962e-02 7.029760e-02 3.449606e-01
1.440000e-02 1.000000e+01 4.000000e+00 7.546642e-03 5.586674e+00 9.522098e-01 1.266293e+03 8.063117e-02 6.863046e-02 3.399148e-01
1.480000e-02 1.000000e+01 4.000000e+00 7.546262e-03 5.590410e+00 9.612882e-01 1.278303e+03 8.139957e-02 5.413473e-02 3.381366e-01
1.520000e-02 1.000000e+01 4.000000e+00 7.539340e-03 5.594323e+00 9.594041e-01 1.278598e+03 8.141989e-02 7.896078e-02 3.363291e-01
