#./munderdamped_3d --dev=1 --amp=10.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --block=1024 --paths=262144 --periods=5000 --trans=4000 --samples=400 --spp=400 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=g:0.95:0.96:25:0 --domainy=a:10.0:10.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.001-m_0.95_0.96-a10.0-w4.0.dat
#./munderdamped_3d --dev=1 --amp=10.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --block=1024 --paths=262144 --periods=5000 --trans=4000 --samples=400 --spp=400 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=g:0.96:1.0:100:0 --domainy=a:10.0:10.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.001-m_0.96_1.0-a10.0-w4.0.dat
#./munderdamped_3d --dev=1 --amp=10.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --block=1024 --paths=262144 --periods=5000 --trans=4000 --samples=400 --spp=400 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=g:1.0:1.0:1:0 --domainy=a:10.0:10.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.001-m_1.0_1.0-a10.0-w4.0.dat
#g a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
9.500000e-01 1.000000e+01 4.000000e+00 6.181119e-02 5.374517e+00 9.819776e-01 9.773424e+03 6.219447e-01 1.686811e-03 1.481426e-02
9.504000e-01 1.000000e+01 4.000000e+00 6.024995e-02 5.380238e+00 1.000159e+00 9.578729e+03 6.094251e-01 2.952576e-03 1.550090e-02
9.508000e-01 1.000000e+01 4.000000e+00 5.848683e-02 5.386397e+00 9.967602e-01 9.335698e+03 5.939354e-01 2.192974e-03 1.615584e-02
9.512000e-01 1.000000e+01 4.000000e+00 5.678039e-02 5.393054e+00 1.012413e+00 9.201231e+03 5.851152e-01 3.247976e-03 1.702058e-02
9.516000e-01 1.000000e+01 4.000000e+00 5.504587e-02 5.399795e+00 9.900477e-01 8.965437e+03 5.704371e-01 2.649903e-03 1.787508e-02
9.520000e-01 1.000000e+01 4.000000e+00 5.343188e-02 5.406682e+00 9.969860e-01 8.694142e+03 5.531271e-01 4.655242e-03 1.881433e-02
9.524000e-01 1.000000e+01 4.000000e+00 5.156144e-02 5.413632e+00 1.002150e+00 8.498455e+03 5.406314e-01 -2.970099e-03 1.971567e-02
9.528000e-01 1.000000e+01 4.000000e+00 4.964803e-02 5.421199e+00 1.002570e+00 8.300963e+03 5.281059e-01 1.700044e-03 2.080476e-02
9.532000e-01 1.000000e+01 4.000000e+00 4.781807e-02 5.428799e+00 1.000660e+00 8.038604e+03 5.112643e-01 5.397916e-03 2.197468e-02
9.536000e-01 1.000000e+01 4.000000e+00 4.595073e-02 5.436998e+00 9.751768e-01 7.834714e+03 4.981629e-01 2.065778e-03 2.317703e-02
9.540001e-01 1.000000e+01 4.000000e+00 4.408306e-02 5.445202e+00 9.939173e-01 7.637536e+03 4.860423e-01 5.791426e-03 2.430499e-02
9.544001e-01 1.000000e+01 4.000000e+00 4.224059e-02 5.453516e+00 9.991583e-01 7.439453e+03 4.732507e-01 -1.518726e-04 2.562535e-02
9.548001e-01 1.000000e+01 4.000000e+00 4.034725e-02 5.462232e+00 9.880741e-01 7.182669e+03 4.569990e-01 6.382227e-03 2.701175e-02
9.552001e-01 1.000000e+01 4.000000e+00 3.846028e-02 5.470977e+00 9.877990e-01 6.960140e+03 4.428242e-01 2.013683e-03 2.877414e-02
9.556001e-01 1.000000e+01 4.000000e+00 3.656610e-02 5.479957e+00 9.950603e-01 6.771600e+03 4.307155e-01 -4.607022e-03 3.020847e-02
9.560001e-01 1.000000e+01 4.000000e+00 3.465099e-02 5.488842e+00 9.802946e-01 6.523830e+03 4.151268e-01 3.035307e-03 3.202641e-02
9.564001e-01 1.000000e+01 4.000000e+00 3.290871e-02 5.498488e+00 9.959975e-01 6.333031e+03 4.029126e-01 1.010013e-02 3.402269e-02
9.568001e-01 1.000000e+01 4.000000e+00 3.107484e-02 5.507195e+00 1.008969e+00 6.101590e+03 3.882013e-01 -2.635717e-04 3.587401e-02
9.572001e-01 1.000000e+01 4.000000e+00 2.936988e-02 5.516370e+00 1.015679e+00 5.922482e+03 3.767220e-01 6.389737e-03 3.787518e-02
9.576001e-01 1.000000e+01 4.000000e+00 2.762468e-02 5.525745e+00 9.900611e-01 5.678970e+03 3.614331e-01 8.103132e-03 4.011512e-02
9.580001e-01 1.000000e+01 4.000000e+00 2.598954e-02 5.534948e+00 1.004660e+00 5.460983e+03 3.474606e-01 2.195597e-03 4.235554e-02
9.584001e-01 1.000000e+01 4.000000e+00 2.441445e-02 5.543830e+00 9.940562e-01 5.275797e+03 3.356528e-01 9.756804e-03 4.504216e-02
9.588001e-01 1.000000e+01 4.000000e+00 2.293305e-02 5.552666e+00 9.972570e-01 5.073130e+03 3.228075e-01 4.810691e-03 4.793584e-02
9.592001e-01 1.000000e+01 4.000000e+00 2.147261e-02 5.561961e+00 9.984028e-01 4.860644e+03 3.092249e-01 6.557107e-03 5.013609e-02
9.596002e-01 1.000000e+01 4.000000e+00 2.007013e-02 5.570216e+00 9.961743e-01 4.648791e+03 2.958098e-01 8.233666e-03 5.318379e-02
9.600000e-01 1.000000e+01 4.000000e+00 1.879949e-02 5.578630e+00 9.878927e-01 4.463454e+03 2.840070e-01 1.241386e-02 5.637681e-02
9.604000e-01 1.000000e+01 4.000000e+00 1.760910e-02 5.587064e+00 9.889876e-01 4.285921e+03 2.727150e-01 3.122807e-03 5.996931e-02
9.608000e-01 1.000000e+01 4.000000e+00 1.642975e-02 5.595146e+00 9.903392e-01 4.092016e+03 2.603762e-01 9.523153e-03 6.323695e-02
9.612000e-01 1.000000e+01 4.000000e+00 1.536199e-02 5.602791e+00 9.852291e-01 3.903790e+03 2.484489e-01 9.025097e-03 6.680608e-02
9.616000e-01 1.000000e+01 4.000000e+00 1.437640e-02 5.610328e+00 9.981341e-01 3.733214e+03 2.375652e-01 8.972168e-03 7.086527e-02
9.620000e-01 1.000000e+01 4.000000e+00 1.341713e-02 5.617853e+00 9.941515e-01 3.579241e+03 2.277758e-01 6.186724e-03 7.449234e-02
9.624000e-01 1.000000e+01 4.000000e+00 1.251506e-02 5.624754e+00 1.002501e+00 3.432865e+03 2.184911e-01 1.367199e-02 7.828152e-02
9.628000e-01 1.000000e+01 4.000000e+00 1.169813e-02 5.631646e+00 9.851632e-01 3.253949e+03 2.071098e-01 1.192451e-02 8.307123e-02
9.632000e-01 1.000000e+01 4.000000e+00 1.105388e-02 5.637904e+00 9.957567e-01 3.131614e+03 1.993416e-01 1.895785e-02 8.732009e-02
9.636000e-01 1.000000e+01 4.000000e+00 1.024910e-02 5.644057e+00 9.830763e-01 2.978677e+03 1.896092e-01 1.006031e-02 9.267855e-02
9.640000e-01 1.000000e+01 4.000000e+00 9.731874e-03 5.649791e+00 9.716735e-01 2.854848e+03 1.817483e-01 1.794660e-02 9.702885e-02
9.644001e-01 1.000000e+01 4.000000e+00 9.151417e-03 5.655196e+00 9.760697e-01 2.728891e+03 1.737239e-01 1.518297e-02 1.026047e-01
9.648001e-01 1.000000e+01 4.000000e+00 8.663886e-03 5.659948e+00 9.925555e-01 2.631932e+03 1.675696e-01 1.324105e-02 1.070005e-01
9.652001e-01 1.000000e+01 4.000000e+00 8.266973e-03 5.664362e+00 9.933988e-01 2.519046e+03 1.603868e-01 2.367687e-02 1.129797e-01
9.656001e-01 1.000000e+01 4.000000e+00 7.842813e-03 5.668630e+00 9.791449e-01 2.411274e+03 1.535396e-01 2.018452e-02 1.186125e-01
9.660001e-01 1.000000e+01 4.000000e+00 7.442058e-03 5.672328e+00 9.886562e-01 2.305410e+03 1.467912e-01 2.157521e-02 1.247139e-01
9.664001e-01 1.000000e+01 4.000000e+00 7.098761e-03 5.675962e+00 9.844094e-01 2.220851e+03 1.414090e-01 2.691329e-02 1.307875e-01
9.668001e-01 1.000000e+01 4.000000e+00 6.856671e-03 5.679029e+00 9.870322e-01 2.129113e+03 1.355715e-01 2.188921e-02 1.366258e-01
