#m=1, g=1, tau=10^linspace(-3,1,401), M=16, N=1, alpha=3, t = 10^linspace(-6, 2, 1001), b=10, t0=0.01
#tau white_noise eff_mass Markovian_emb
1.000000e-03 7.349017e-04 9.371955e-06 7.597708e-06
1.023293e-03 7.519994e-04 9.770208e-06 7.914492e-06
1.047129e-03 7.694944e-04 1.018526e-05 8.244341e-06
1.071519e-03 7.873959e-04 1.061792e-05 8.587705e-06
1.096478e-03 8.057134e-04 1.106874e-05 8.945124e-06
1.122018e-03 8.244564e-04 1.153849e-05 9.317416e-06
1.148154e-03 8.436349e-04 1.202793e-05 9.705013e-06
1.174898e-03 8.632589e-04 1.253804e-05 1.010845e-05
1.202264e-03 8.833387e-04 1.306953e-05 1.052839e-05
1.230269e-03 9.038849e-04 1.362328e-05 1.096564e-05
1.258925e-03 9.249084e-04 1.420021e-05 1.142072e-05
1.288250e-03 9.464201e-04 1.480153e-05 1.189435e-05
1.318257e-03 9.684314e-04 1.542812e-05 1.238751e-05
1.348963e-03 9.909538e-04 1.608091e-05 1.290097e-05
1.380384e-03 1.013999e-03 1.676098e-05 1.343531e-05
1.412538e-03 1.037580e-03 1.746956e-05 1.399137e-05
1.445440e-03 1.061707e-03 1.820784e-05 1.457028e-05
1.479108e-03 1.086395e-03 1.897693e-05 1.517270e-05
1.513561e-03 1.111657e-03 1.977809e-05 1.579954e-05
1.548817e-03 1.137504e-03 2.061282e-05 1.645211e-05
1.584893e-03 1.163951e-03 2.148297e-05 1.713154e-05
1.621810e-03 1.191012e-03 2.238938e-05 1.783869e-05
1.659587e-03 1.218701e-03 2.333353e-05 1.857447e-05
1.698244e-03 1.247033e-03 2.431703e-05 1.934036e-05
1.737801e-03 1.276022e-03 2.534173e-05 2.013720e-05
1.778279e-03 1.305683e-03 2.640904e-05 2.096620e-05
1.819701e-03 1.336033e-03 2.752070e-05 2.182922e-05
1.862087e-03 1.367086e-03 2.867857e-05 2.272738e-05
1.905461e-03 1.398860e-03 2.988529e-05 2.366172e-05
1.949845e-03 1.431370e-03 3.114209e-05 2.463381e-05
1.995262e-03 1.464634e-03 3.245102e-05 2.564539e-05
2.041738e-03 1.498670e-03 3.381422e-05 2.669762e-05
2.089296e-03 1.533495e-03 3.523439e-05 2.779208e-05
2.137962e-03 1.569126e-03 3.671337e-05 2.893164e-05
2.187762e-03 1.605584e-03 3.825355e-05 3.011700e-05
2.238721e-03 1.642887e-03 3.985746e-05 3.134984e-05
2.290868e-03 1.681054e-03 4.152886e-05 3.263249e-05
2.344229e-03 1.720105e-03 4.326935e-05 3.396672e-05
