#./munderdamped_3d_gle --dev=0 --amp=15.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --tau=0.1 --block=1024 --paths=65536 --periods=2000 --trans=1000 --samples=1000 --spp=1000 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=t:0.0:0.005:10:0 --domainy=a:15.0:15.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.001-m1.0-a15.0-w4.0-t_0.0_0.005.dat
#./munderdamped_3d_gle --dev=3 --amp=15.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --tau=0.1 --block=1024 --paths=65536 --periods=2000 --trans=1000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=t:0.0:0.15:300:0 --domainy=a:15.0:15.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.001-m1.0-a15.0-w4.0-t_0.0_0.15.dat
#t a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
0.000000e+00 1.500000e+01 4.000000e+00 1.105962e-01 7.102495e+00 1.001502e+00 2.138243e+03 3.403093e-01 7.779360e-03 7.501483e-03
9.999999e-04 1.500000e+01 4.000000e+00 1.118029e-01 7.114175e+00 9.819210e-01 2.143390e+03 3.409944e-01 8.683681e-03 6.753683e-03
1.500000e-03 1.500000e+01 4.000000e+00 1.125402e-01 7.119904e+00 1.003888e+00 2.154387e+03 3.427215e-01 2.177048e-02 6.798744e-03
2.000000e-03 1.500000e+01 4.000000e+00 1.129729e-01 7.125096e+00 9.838431e-01 2.159252e+03 3.435248e-01 7.518530e-03 6.804347e-03
2.500000e-03 1.500000e+01 4.000000e+00 1.137555e-01 7.131009e+00 9.913527e-01 2.175613e+03 3.464455e-01 -3.465056e-03 6.752968e-03
3.000000e-03 1.500000e+01 4.000000e+00 1.141770e-01 7.135887e+00 9.753338e-01 2.163506e+03 3.443230e-01 8.333921e-03 6.734014e-03
3.500000e-03 1.500000e+01 4.000000e+00 1.148250e-01 7.140865e+00 9.748538e-01 2.182727e+03 3.473047e-01 -7.624209e-03 6.750703e-03
4.000000e-03 1.500000e+01 4.000000e+00 1.153423e-01 7.146116e+00 9.833497e-01 2.181618e+03 3.471169e-01 -9.850264e-04 6.773829e-03
4.500000e-03 1.500000e+01 4.000000e+00 1.158673e-01 7.150922e+00 9.795994e-01 2.187531e+03 3.483926e-01 1.166558e-02 6.724238e-03
5.000000e-03 1.500000e+01 4.000000e+00 1.162162e-01 7.156525e+00 9.966840e-01 2.186733e+03 3.478082e-01 5.179048e-03 7.432222e-03
5.500000e-03 1.500000e+01 4.000000e+00 1.167217e-01 7.161198e+00 9.822208e-01 2.189200e+03 3.483752e-01 -3.805637e-03 7.324934e-03
6.000001e-03 1.500000e+01 4.000000e+00 1.171691e-01 7.165641e+00 9.958364e-01 2.168302e+03 3.452319e-01 3.640175e-03 7.359743e-03
6.500001e-03 1.500000e+01 4.000000e+00 1.177440e-01 7.169908e+00 9.810686e-01 2.175140e+03 3.460302e-01 4.220009e-05 7.368326e-03
7.000001e-03 1.500000e+01 4.000000e+00 1.181118e-01 7.174049e+00 1.002131e+00 2.182218e+03 3.476988e-01 5.525112e-03 7.233143e-03
7.500001e-03 1.500000e+01 4.000000e+00 1.186541e-01 7.177626e+00 9.940428e-01 2.169256e+03 3.450678e-01 6.951571e-03 7.207394e-03
8.000000e-03 1.500000e+01 4.000000e+00 1.189483e-01 7.181854e+00 9.912921e-01 2.180103e+03 3.471517e-01 1.546562e-02 7.082343e-03
8.500000e-03 1.500000e+01 4.000000e+00 1.191661e-01 7.185326e+00 9.920282e-01 2.149675e+03 3.419493e-01 1.988292e-03 7.064700e-03
9.000001e-03 1.500000e+01 4.000000e+00 1.193234e-01 7.188708e+00 9.881302e-01 2.135206e+03 3.400047e-01 7.457733e-03 6.962061e-03
9.500001e-03 1.500000e+01 4.000000e+00 1.194371e-01 7.193108e+00 9.817213e-01 2.132557e+03 3.393606e-01 1.674128e-02 6.945133e-03
1.000000e-02 1.500000e+01 4.000000e+00 1.192378e-01 7.196622e+00 9.757783e-01 2.104180e+03 3.349043e-01 4.860640e-03 6.841540e-03
1.050000e-02 1.500000e+01 4.000000e+00 1.188172e-01 7.199949e+00 9.991558e-01 2.115790e+03 3.370255e-01 -2.508223e-03 6.841063e-03
1.100000e-02 1.500000e+01 4.000000e+00 1.183586e-01 7.203692e+00 9.833534e-01 2.107101e+03 3.354066e-01 4.631877e-03 6.876826e-03
1.150000e-02 1.500000e+01 4.000000e+00 1.177015e-01 7.207750e+00 9.825972e-01 2.097187e+03 3.338996e-01 -3.797710e-03 6.761789e-03
1.200000e-02 1.500000e+01 4.000000e+00 1.166684e-01 7.211421e+00 9.764336e-01 2.099765e+03 3.343522e-01 3.534079e-03 6.778717e-03
1.250000e-02 1.500000e+01 4.000000e+00 1.155259e-01 7.215270e+00 9.868487e-01 2.091517e+03 3.325493e-01 4.894614e-03 6.765246e-03
1.300000e-02 1.500000e+01 4.000000e+00 1.139832e-01 7.218811e+00 9.913758e-01 2.096691e+03 3.337205e-01 -3.272653e-03 6.775498e-03
1.350000e-02 1.500000e+01 4.000000e+00 1.122137e-01 7.222538e+00 9.715186e-01 2.074891e+03 3.300339e-01 -2.366841e-03 6.774187e-03
1.400000e-02 1.500000e+01 4.000000e+00 1.102433e-01 7.226774e+00 9.871105e-01 2.079714e+03 3.306780e-01 1.440763e-03 6.827950e-03
1.450000e-02 1.500000e+01 4.000000e+00 1.078968e-01 7.231090e+00 9.939582e-01 2.103328e+03 3.348856e-01 3.753662e-03 6.829262e-03
1.500000e-02 1.500000e+01 4.000000e+00 1.054802e-01 7.235170e+00 9.831009e-01 2.050574e+03 3.263310e-01 -6.130278e-03 6.830215e-03
