#./munderdamped_3d --dev=2 --amp=15.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --block=1024 --paths=65536 --periods=2000 --trans=1000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=g:0.85:1.0:300:0 --domainy=a:15.0:15.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.001-m_0.85_1.0-a15.0-w4.0.dat
#./munderdamped_3d --dev=1 --amp=15.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --block=1024 --paths=65536 --periods=2000 --trans=1000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=g:1.0:1.0:1:0 --domainy=a:15.0:15.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.001-m1.0-a15.0-w4.0.dat
#g a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
8.500000e-01 1.500000e+01 4.000000e+00 1.209259e-01 9.573974e+00 1.000472e+00 8.831536e+03 1.405119e+00 -5.383193e-03 1.907110e-03
8.505000e-01 1.500000e+01 4.000000e+00 1.227354e-01 9.552918e+00 9.963614e-01 8.815419e+03 1.402789e+00 5.148530e-03 1.917839e-03
8.510001e-01 1.500000e+01 4.000000e+00 1.240339e-01 9.531536e+00 1.030376e+00 8.857797e+03 1.409678e+00 -1.587611e-02 1.923084e-03
8.515001e-01 1.500000e+01 4.000000e+00 1.252791e-01 9.509976e+00 9.974240e-01 8.619354e+03 1.371523e+00 -9.561181e-03 1.960754e-03
8.520001e-01 1.500000e+01 4.000000e+00 1.255432e-01 9.488034e+00 1.008685e+00 8.560748e+03 1.362386e+00 8.258104e-03 1.973987e-03
8.525001e-01 1.500000e+01 4.000000e+00 1.254780e-01 9.466013e+00 1.002064e+00 8.510066e+03 1.354510e+00 6.687403e-03 2.043605e-03
8.530002e-01 1.500000e+01 4.000000e+00 1.263944e-01 9.443123e+00 1.000494e+00 8.453742e+03 1.345715e+00 -6.336510e-03 2.065301e-03
8.535002e-01 1.500000e+01 4.000000e+00 1.270584e-01 9.419724e+00 1.020179e+00 8.646391e+03 1.375782e+00 -4.002333e-03 2.088428e-03
8.540002e-01 1.500000e+01 4.000000e+00 1.284506e-01 9.395699e+00 1.009781e+00 8.671219e+03 1.380020e+00 -5.271554e-03 2.114654e-03
8.545002e-01 1.500000e+01 4.000000e+00 1.309431e-01 9.370673e+00 9.899141e-01 8.674281e+03 1.380550e+00 2.306104e-03 2.145052e-03
8.550003e-01 1.500000e+01 4.000000e+00 1.340754e-01 9.345238e+00 9.816568e-01 8.854999e+03 1.409628e+00 7.423997e-03 2.210021e-03
8.555003e-01 1.500000e+01 4.000000e+00 1.377699e-01 9.318759e+00 1.009106e+00 9.258296e+03 1.473623e+00 2.529621e-04 2.230167e-03
8.560003e-01 1.500000e+01 4.000000e+00 1.418143e-01 9.292067e+00 1.011276e+00 9.523486e+03 1.516050e+00 4.394650e-03 2.271056e-03
8.565003e-01 1.500000e+01 4.000000e+00 1.463548e-01 9.266143e+00 1.009841e+00 9.822903e+03 1.563590e+00 4.631281e-04 2.289891e-03
8.570004e-01 1.500000e+01 4.000000e+00 1.507635e-01 9.239450e+00 1.006053e+00 1.025621e+04 1.632865e+00 9.193420e-03 2.303958e-03
8.575004e-01 1.500000e+01 4.000000e+00 1.550936e-01 9.213676e+00 9.933429e-01 1.026463e+04 1.634113e+00 -6.629825e-04 2.329588e-03
8.580004e-01 1.500000e+01 4.000000e+00 1.589171e-01 9.188501e+00 1.002142e+00 1.066785e+04 1.698104e+00 2.429605e-03 2.327681e-03
8.585004e-01 1.500000e+01 4.000000e+00 1.618757e-01 9.164325e+00 1.002602e+00 1.093817e+04 1.741976e+00 -8.524656e-04 2.315402e-03
