#./munderdamped_3d_gle --dev=2 --amp=15.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --tau=0.025 --block=1024 --paths=4096 --periods=2000 --trans=1000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0.0:1.0:100:0 --domainy=a:15.0:15.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f_0.0_1.0-D0.001-m1.0-a15.0-w4.0-t0.025.dat
#f a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
0.000000e+00 1.500000e+01 4.000000e+00 -1.481498e-04 7.341540e+00 1.004001e+00 1.802837e+03 2.869305e-01 -8.244157e-03 5.599976e-03
1.000000e-02 1.500000e+01 4.000000e+00 5.268424e-03 7.340815e+00 9.620006e-01 1.844847e+03 2.936161e-01 -1.682848e-02 5.681396e-03
2.000000e-02 1.500000e+01 4.000000e+00 9.939048e-03 7.339019e+00 9.758192e-01 1.820824e+03 2.897938e-01 -2.798766e-02 6.087065e-03
3.000000e-02 1.500000e+01 4.000000e+00 1.425213e-02 7.335590e+00 1.031172e+00 1.827958e+03 2.909293e-01 1.329339e-02 6.474853e-03
4.000000e-02 1.500000e+01 4.000000e+00 1.907979e-02 7.334780e+00 1.045313e+00 1.822078e+03 2.899918e-01 4.067743e-02 6.747723e-03
5.000000e-02 1.500000e+01 4.000000e+00 2.155739e-02 7.332902e+00 1.002455e+00 1.781048e+03 2.834633e-01 -7.348716e-03 7.055640e-03
5.999999e-02 1.500000e+01 4.000000e+00 2.548203e-02 7.329444e+00 9.835072e-01 1.746490e+03 2.779618e-01 3.528130e-02 7.235050e-03
6.999999e-02 1.500000e+01 4.000000e+00 2.961890e-02 7.330555e+00 1.013168e+00 1.875451e+03 2.984948e-01 1.662314e-02 7.452130e-03
7.999999e-02 1.500000e+01 4.000000e+00 3.400852e-02 7.330534e+00 1.003368e+00 1.879099e+03 2.990699e-01 1.434207e-03 7.181883e-03
8.999999e-02 1.500000e+01 4.000000e+00 3.915391e-02 7.332950e+00 9.799123e-01 1.995328e+03 3.175640e-01 -2.579528e-02 7.120490e-03
9.999999e-02 1.500000e+01 4.000000e+00 4.494389e-02 7.336058e+00 1.000178e+00 1.993859e+03 3.173239e-01 2.154088e-02 6.960630e-03
1.100000e-01 1.500000e+01 4.000000e+00 5.079601e-02 7.342953e+00 1.037135e+00 2.093250e+03 3.331511e-01 7.277834e-02 6.954074e-03
1.200000e-01 1.500000e+01 4.000000e+00 5.676873e-02 7.351315e+00 9.213814e-01 2.098712e+03 3.340243e-01 1.829219e-02 6.666303e-03
1.300000e-01 1.500000e+01 4.000000e+00 6.493145e-02 7.361013e+00 9.829555e-01 2.247659e+03 3.577467e-01 1.036596e-02 6.638765e-03
1.400000e-01 1.500000e+01 4.000000e+00 7.411609e-02 7.374077e+00 9.367983e-01 2.254528e+03 3.588372e-01 7.694602e-03 6.415129e-03
1.500000e-01 1.500000e+01 4.000000e+00 8.309530e-02 7.387403e+00 9.698062e-01 2.449345e+03 3.898227e-01 7.246184e-02 6.364107e-03
1.600000e-01 1.500000e+01 4.000000e+00 9.515088e-02 7.400148e+00 9.648497e-01 2.591239e+03 4.124388e-01 4.115820e-03 6.234050e-03
1.700000e-01 1.500000e+01 4.000000e+00 1.079186e-01 7.413419e+00 1.040791e+00 2.656604e+03 4.226782e-01 -1.972681e-02 6.248832e-03
1.800000e-01 1.500000e+01 4.000000e+00 1.220003e-01 7.430911e+00 9.875507e-01 2.769992e+03 4.409412e-01 5.310214e-02 5.982518e-03
1.900000e-01 1.500000e+01 4.000000e+00 1.358767e-01 7.447731e+00 1.011491e+00 2.879162e+03 4.582046e-01 3.963482e-02 6.295443e-03
2.000000e-01 1.500000e+01 4.000000e+00 1.515415e-01 7.464800e+00 1.010254e+00 3.069261e+03 4.884440e-01 -6.196082e-03 6.168008e-03
2.100000e-01 1.500000e+01 4.000000e+00 1.666903e-01 7.485357e+00 9.637782e-01 3.164193e+03 5.036508e-01 -2.805728e-02 6.647229e-03
2.200000e-01 1.500000e+01 4.000000e+00 1.836527e-01 7.507426e+00 9.623666e-01 3.323059e+03 5.288022e-01 9.776354e-04 7.179618e-03
2.300000e-01 1.500000e+01 4.000000e+00 2.005562e-01 7.530418e+00 9.435982e-01 3.647577e+03 5.806320e-01 1.411784e-02 7.863879e-03
2.400000e-01 1.500000e+01 4.000000e+00 2.176386e-01 7.559998e+00 9.485353e-01 3.855256e+03 6.132439e-01 1.935315e-02 8.656025e-03
2.500000e-01 1.500000e+01 4.000000e+00 2.367243e-01 7.590823e+00 1.070183e+00 4.476461e+03 7.124471e-01 -6.667495e-03 9.778380e-03
2.600000e-01 1.500000e+01 4.000000e+00 2.557661e-01 7.622123e+00 9.856850e-01 4.728440e+03 7.524149e-01 -2.630454e-02 1.008749e-02
2.700000e-01 1.500000e+01 4.000000e+00 2.750312e-01 7.657727e+00 1.012274e+00 5.524526e+03 8.793708e-01 -4.416347e-03 1.097178e-02
2.800000e-01 1.500000e+01 4.000000e+00 2.939980e-01 7.691933e+00 1.001362e+00 6.118730e+03 9.735308e-01 1.875639e-03 1.162267e-02
2.900000e-01 1.500000e+01 4.000000e+00 3.134814e-01 7.727464e+00 1.034183e+00 6.620926e+03 1.053626e+00 -4.607320e-02 1.195145e-02
3.000000e-01 1.500000e+01 4.000000e+00 3.331613e-01 7.763936e+00 9.983998e-01 7.297597e+03 1.161811e+00 -1.877540e-02 1.254678e-02
3.100000e-01 1.500000e+01 4.000000e+00 3.544216e-01 7.807308e+00 1.055200e+00 7.805282e+03 1.242324e+00 2.115726e-02 1.230240e-02
3.200000e-01 1.500000e+01 4.000000e+00 3.739898e-01 7.843922e+00 9.974728e-01 8.290235e+03 1.319733e+00 -1.821387e-02 1.221228e-02
3.300000e-01 1.500000e+01 4.000000e+00 3.958470e-01 7.883224e+00 9.802449e-01 8.695967e+03 1.383832e+00 2.422690e-03 1.183569e-02
3.399999e-01 1.500000e+01 4.000000e+00 4.162188e-01 7.924218e+00 1.004849e+00 9.467260e+03 1.506063e+00 -4.373080e-02 1.168025e-02
3.499999e-01 1.500000e+01 4.000000e+00 4.385656e-01 7.964324e+00 9.801716e-01 8.930285e+03 1.421134e+00 -2.148259e-02 1.130950e-02
3.599999e-01 1.500000e+01 4.000000e+00 4.578457e-01 7.998806e+00 9.921759e-01 9.198082e+03 1.464265e+00 -2.091712e-02 1.082695e-02
3.699999e-01 1.500000e+01 4.000000e+00 4.779502e-01 8.033750e+00 9.561204e-01 9.253374e+03 1.472979e+00 -2.881128e-02 1.048553e-02
3.799999e-01 1.500000e+01 4.000000e+00 4.982473e-01 8.066106e+00 9.348826e-01 9.104658e+03 1.448031e+00 -3.190655e-02 9.783745e-03
3.899999e-01 1.500000e+01 4.000000e+00 5.182593e-01 8.103937e+00 1.000902e+00 9.295834e+03 1.477594e+00 -2.007455e-02 9.877443e-03
