#./munderdamped_3d --dev=3 --amp=15.0 --omega=4.0 --force=0.1 --mass=0.975 --Dg=0.001 --block=1024 --paths=4096 --periods=2000 --trans=1000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0.0:1.0:100:0 --domainy=a:15.0:15.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f_0.0_1.0-D0.001-m0.975-a15.0-w4.0.dat
#f a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
0.000000e+00 1.500000e+01 4.000000e+00 -2.859120e-04 7.331551e+00 1.008511e+00 1.816107e+03 2.890422e-01 -6.856978e-03 5.636334e-03
1.000000e-02 1.500000e+01 4.000000e+00 6.152142e-03 7.331510e+00 9.355244e-01 1.757739e+03 2.797529e-01 3.783727e-02 5.787730e-03
2.000000e-02 1.500000e+01 4.000000e+00 1.053162e-02 7.329581e+00 9.704134e-01 1.834798e+03 2.920167e-01 -1.408601e-02 6.165504e-03
3.000000e-02 1.500000e+01 4.000000e+00 1.498054e-02 7.327725e+00 9.645662e-01 1.775816e+03 2.826293e-01 -1.881737e-02 6.435394e-03
4.000000e-02 1.500000e+01 4.000000e+00 1.883943e-02 7.324232e+00 1.008604e+00 1.809471e+03 2.879879e-01 -4.807967e-02 6.800175e-03
5.000000e-02 1.500000e+01 4.000000e+00 2.251823e-02 7.322665e+00 9.401801e-01 1.692504e+03 2.693704e-01 -6.080270e-03 7.173419e-03
5.999999e-02 1.500000e+01 4.000000e+00 2.594993e-02 7.321534e+00 9.913809e-01 1.805473e+03 2.873447e-01 -6.072164e-03 7.375360e-03
6.999999e-02 1.500000e+01 4.000000e+00 2.991663e-02 7.319865e+00 9.056196e-01 1.820362e+03 2.897241e-01 -1.547700e-02 7.513165e-03
7.999999e-02 1.500000e+01 4.000000e+00 3.417479e-02 7.322006e+00 1.024576e+00 1.886602e+03 3.002593e-01 -3.005630e-02 7.050872e-03
8.999999e-02 1.500000e+01 4.000000e+00 3.908084e-02 7.322826e+00 9.449002e-01 1.885749e+03 3.001177e-01 1.547229e-02 7.292271e-03
9.999999e-02 1.500000e+01 4.000000e+00 4.419139e-02 7.328820e+00 9.657764e-01 1.974258e+03 3.142238e-01 -1.696461e-02 7.213593e-03
1.100000e-01 1.500000e+01 4.000000e+00 5.048097e-02 7.332486e+00 9.559729e-01 2.041180e+03 3.248585e-01 -3.047943e-02 6.834269e-03
1.200000e-01 1.500000e+01 4.000000e+00 5.680111e-02 7.342489e+00 1.040403e+00 2.171836e+03 3.456683e-01 4.510713e-02 6.825328e-03
1.300000e-01 1.500000e+01 4.000000e+00 6.449672e-02 7.351950e+00 9.583943e-01 2.235734e+03 3.558170e-01 -2.406901e-02 6.813645e-03
1.400000e-01 1.500000e+01 4.000000e+00 7.327718e-02 7.364306e+00 1.019424e+00 2.366374e+03 3.766252e-01 3.486991e-03 6.458759e-03
1.500000e-01 1.500000e+01 4.000000e+00 8.363096e-02 7.375869e+00 9.117143e-01 2.330039e+03 3.708223e-01 -6.102800e-03 6.511807e-03
1.600000e-01 1.500000e+01 4.000000e+00 9.531152e-02 7.388896e+00 1.075089e+00 2.549554e+03 4.057220e-01 -1.135451e-02 6.216288e-03
1.700000e-01 1.500000e+01 4.000000e+00 1.079153e-01 7.404596e+00 1.053195e+00 2.657900e+03 4.230450e-01 7.158637e-03 6.030440e-03
1.800000e-01 1.500000e+01 4.000000e+00 1.218315e-01 7.418938e+00 9.264256e-01 2.685029e+03 4.273210e-01 -7.671833e-03 6.126046e-03
1.900000e-01 1.500000e+01 4.000000e+00 1.370042e-01 7.437520e+00 9.913143e-01 2.891802e+03 4.602462e-01 -3.315187e-02 6.296039e-03
2.000000e-01 1.500000e+01 4.000000e+00 1.531019e-01 7.456031e+00 9.900416e-01 3.098432e+03 4.930695e-01 -2.151000e-02 6.648183e-03
2.100000e-01 1.500000e+01 4.000000e+00 1.681103e-01 7.475960e+00 9.465051e-01 3.147840e+03 5.011242e-01 4.588807e-02 6.574154e-03
2.200000e-01 1.500000e+01 4.000000e+00 1.853752e-01 7.499424e+00 1.061333e+00 3.478374e+03 5.536602e-01 5.370486e-02 7.194996e-03
2.300000e-01 1.500000e+01 4.000000e+00 2.017354e-01 7.521940e+00 1.011870e+00 3.730066e+03 5.936330e-01 4.179716e-03 8.326054e-03
2.400000e-01 1.500000e+01 4.000000e+00 2.188668e-01 7.551899e+00 1.029442e+00 3.962559e+03 6.306415e-01 -1.388210e-02 8.960366e-03
2.500000e-01 1.500000e+01 4.000000e+00 2.383160e-01 7.583798e+00 1.016180e+00 4.416404e+03 7.025596e-01 -5.879641e-03 9.628892e-03
2.600000e-01 1.500000e+01 4.000000e+00 2.559562e-01 7.615534e+00 1.020584e+00 4.808251e+03 7.655850e-01 -2.194107e-02 1.074970e-02
2.700000e-01 1.500000e+01 4.000000e+00 2.760465e-01 7.651939e+00 1.017178e+00 5.551654e+03 8.839763e-01 -1.430279e-02 1.162744e-02
2.800000e-01 1.500000e+01 4.000000e+00 2.949571e-01 7.687550e+00 1.009695e+00 5.925873e+03 9.429035e-01 3.824651e-02 1.160741e-02
2.900000e-01 1.500000e+01 4.000000e+00 3.140863e-01 7.721984e+00 1.020594e+00 6.777102e+03 1.078782e+00 3.197193e-02 1.227593e-02
3.000000e-01 1.500000e+01 4.000000e+00 3.343426e-01 7.761307e+00 1.024305e+00 7.589027e+03 1.207886e+00 2.135396e-03 1.251769e-02
3.100000e-01 1.500000e+01 4.000000e+00 3.551885e-01 7.800311e+00 1.003171e+00 8.111716e+03 1.291144e+00 -4.479682e-02 1.283360e-02
3.200000e-01 1.500000e+01 4.000000e+00 3.762491e-01 7.842071e+00 9.835065e-01 8.221142e+03 1.308015e+00 3.741384e-03 1.250947e-02
3.300000e-01 1.500000e+01 4.000000e+00 3.957131e-01 7.881214e+00 9.677460e-01 8.769195e+03 1.394953e+00 -7.727921e-03 1.229215e-02
3.399999e-01 1.500000e+01 4.000000e+00 4.169386e-01 7.919299e+00 9.522946e-01 8.852604e+03 1.409337e+00 -1.623631e-03 1.212370e-02
3.499999e-01 1.500000e+01 4.000000e+00 4.379184e-01 7.958841e+00 9.703610e-01 9.056814e+03 1.441486e+00 2.812934e-02 1.149392e-02
3.599999e-01 1.500000e+01 4.000000e+00 4.571965e-01 7.990353e+00 9.992671e-01 9.359864e+03 1.490028e+00 -3.060222e-02 1.153922e-02
3.699999e-01 1.500000e+01 4.000000e+00 4.788755e-01 8.028846e+00 1.013191e+00 9.782173e+03 1.557570e+00 -9.343445e-03 1.090419e-02
3.799999e-01 1.500000e+01 4.000000e+00 4.969778e-01 8.059690e+00 9.856608e-01 9.684467e+03 1.541455e+00 1.051188e-02 1.023352e-02
3.899999e-01 1.500000e+01 4.000000e+00 5.159704e-01 8.093289e+00 1.019108e+00 9.171876e+03 1.458894e+00 2.531290e-03 9.840608e-03
3.999999e-01 1.500000e+01 4.000000e+00 5.350639e-01 8.125852e+00 1.007836e+00 9.278930e+03 1.475963e+00 -1.876616e-02 9.420514e-03
4.099999e-01 1.500000e+01 4.000000e+00 5.551708e-01 8.163699e+00 9.916079e-01 8.711907e+03 1.385762e+00 -5.204570e-02 8.929491e-03
4.199999e-01 1.500000e+01 4.000000e+00 5.731759e-01 8.196719e+00 1.004066e+00 8.606748e+03 1.368573e+00 -1.699686e-02 8.366942e-03
4.299999e-01 1.500000e+01 4.000000e+00 5.940592e-01 8.232687e+00 9.629965e-01 8.612326e+03 1.371677e+00 -2.538460e-02 7.908463e-03
4.399998e-01 1.500000e+01 4.000000e+00 6.134198e-01 8.261609e+00 9.997149e-01 8.454033e+03 1.345376e+00 4.104006e-02 7.280827e-03
4.499998e-01 1.500000e+01 4.000000e+00 6.334109e-01 8.292179e+00 1.000943e+00 8.310061e+03 1.322697e+00 3.429091e-02 7.050753e-03
4.599998e-01 1.500000e+01 4.000000e+00 6.524135e-01 8.317988e+00 9.870059e-01 8.111555e+03 1.289553e+00 -3.387439e-02 6.809115e-03
4.699998e-01 1.500000e+01 4.000000e+00 6.690077e-01 8.335674e+00 9.837778e-01 8.054850e+03 1.281993e+00 -2.374715e-02 6.631732e-03
4.799998e-01 1.500000e+01 4.000000e+00 6.840181e-01 8.348075e+00 9.772662e-01 8.001777e+03 1.273001e+00 5.301952e-03 6.191134e-03
4.899998e-01 1.500000e+01 4.000000e+00 6.976642e-01 8.360658e+00 1.043163e+00 7.989408e+03 1.268704e+00 3.569722e-03 6.139636e-03
4.999998e-01 1.500000e+01 4.000000e+00 7.100440e-01 8.365644e+00 9.903443e-01 7.836913e+03 1.246740e+00 4.340720e-02 6.009221e-03
5.099998e-01 1.500000e+01 4.000000e+00 7.202502e-01 8.367993e+00 1.007584e+00 7.571090e+03 1.203609e+00 2.317798e-02 5.727768e-03
5.199998e-01 1.500000e+01 4.000000e+00 7.317083e-01 8.371491e+00 1.020114e+00 7.253271e+03 1.155306e+00 6.197619e-02 5.614877e-03
5.299998e-01 1.500000e+01 4.000000e+00 7.422470e-01 8.379580e+00 9.421601e-01 7.284094e+03 1.158887e+00 -5.585253e-03 5.471945e-03
5.399998e-01 1.500000e+01 4.000000e+00 7.528986e-01 8.387867e+00 9.771402e-01 7.027006e+03 1.119257e+00 5.782306e-02 5.359292e-03
5.499998e-01 1.500000e+01 4.000000e+00 7.599178e-01 8.393072e+00 1.051567e+00 7.291413e+03 1.159444e+00 -4.742438e-02 5.643129e-03
5.599998e-01 1.500000e+01 4.000000e+00 7.686435e-01 8.413978e+00 1.034547e+00 6.922271e+03 1.100318e+00 1.742530e-02 5.184531e-03
5.699998e-01 1.500000e+01 4.000000e+00 7.748600e-01 8.435909e+00 9.960161e-01 6.684490e+03 1.064030e+00 -4.724288e-02 5.393863e-03
5.799997e-01 1.500000e+01 4.000000e+00 7.795593e-01 8.473959e+00 9.953718e-01 6.312038e+03 1.004665e+00 2.539229e-02 5.526423e-03
5.899997e-01 1.500000e+01 4.000000e+00 7.853041e-01 8.530986e+00 1.000914e+00 6.100229e+03 9.749036e-01 -5.789441e-02 5.496383e-03
5.999997e-01 1.500000e+01 4.000000e+00 7.868116e-01 8.597767e+00 1.028330e+00 5.841201e+03 9.283507e-01 6.588697e-03 5.580187e-03
6.099997e-01 1.500000e+01 4.000000e+00 7.881594e-01 8.685498e+00 1.002576e+00 5.566730e+03 8.868909e-01 2.436185e-02 5.910754e-03
6.199997e-01 1.500000e+01 4.000000e+00 7.881997e-01 8.758113e+00 9.611642e-01 5.390229e+03 8.621423e-01 4.866481e-03 6.044269e-03
6.299997e-01 1.500000e+01 4.000000e+00 7.908043e-01 8.815755e+00 1.007974e+00 5.375257e+03 8.572085e-01 3.151679e-02 6.527543e-03
6.399997e-01 1.500000e+01 4.000000e+00 7.962263e-01 8.832573e+00 9.527871e-01 5.278288e+03 8.385078e-01 -4.197758e-02 6.506205e-03
6.499997e-01 1.500000e+01 4.000000e+00 8.093131e-01 8.807308e+00 1.019679e+00 5.229411e+03 8.357226e-01 -2.357066e-03 5.890846e-03
6.599997e-01 1.500000e+01 4.000000e+00 8.250105e-01 8.759700e+00 1.015175e+00 5.632747e+03 8.973156e-01 4.749000e-02 5.530357e-03
6.699997e-01 1.500000e+01 4.000000e+00 8.421677e-01 8.711393e+00 1.001416e+00 5.354693e+03 8.563331e-01 2.700639e-02 4.903078e-03
6.799996e-01 1.500000e+01 4.000000e+00 8.589061e-01 8.663742e+00 9.681292e-01 5.246467e+03 8.397015e-01 -3.602558e-02 4.403710e-03
6.899996e-01 1.500000e+01 4.000000e+00 8.735152e-01 8.628973e+00 1.031012e+00 5.584337e+03 8.907106e-01 2.557647e-02 4.415870e-03
6.999996e-01 1.500000e+01 4.000000e+00 8.879092e-01 8.603654e+00 1.014434e+00 5.670069e+03 9.016923e-01 -3.317082e-02 4.060268e-03
7.099996e-01 1.500000e+01 4.000000e+00 8.987635e-01 8.578335e+00 1.022273e+00 5.584454e+03 8.913472e-01 2.018452e-03 3.915071e-03
7.199996e-01 1.500000e+01 4.000000e+00 9.096436e-01 8.562537e+00 9.906667e-01 5.933147e+03 9.437888e-01 -2.034944e-02 3.933907e-03
7.299996e-01 1.500000e+01 4.000000e+00 9.224757e-01 8.554654e+00 1.029492e+00 6.127489e+03 9.773704e-01 9.013772e-02 3.793001e-03
7.399996e-01 1.500000e+01 4.000000e+00 9.331079e-01 8.546495e+00 9.774080e-01 6.009946e+03 9.539747e-01 -2.105296e-03 3.722072e-03
7.499996e-01 1.500000e+01 4.000000e+00 9.464306e-01 8.548761e+00 1.009850e+00 6.142164e+03 9.792804e-01 -1.135588e-02 3.495216e-03
7.599996e-01 1.500000e+01 4.000000e+00 9.614390e-01 8.554200e+00 9.697748e-01 5.957788e+03 9.501550e-01 4.865408e-03 3.378510e-03
7.699996e-01 1.500000e+01 4.000000e+00 9.750833e-01 8.561522e+00 9.898180e-01 5.899784e+03 9.382184e-01 3.308654e-03 3.369212e-03
7.799996e-01 1.500000e+01 4.000000e+00 9.906292e-01 8.572711e+00 9.839988e-01 5.813629e+03 9.288282e-01 4.742754e-02 3.148794e-03
7.899995e-01 1.500000e+01 4.000000e+00 1.007926e+00 8.589900e+00 9.706066e-01 5.605192e+03 8.928592e-01 -3.766268e-02 3.134608e-03
7.999995e-01 1.500000e+01 4.000000e+00 1.024462e+00 8.613021e+00 9.895130e-01 5.628370e+03 8.931775e-01 1.177049e-02 2.852917e-03
8.099995e-01 1.500000e+01 4.000000e+00 1.041638e+00 8.634021e+00 9.952100e-01 5.375701e+03 8.562536e-01 -1.611727e-02 2.953768e-03
8.199995e-01 1.500000e+01 4.000000e+00 1.055610e+00 8.655762e+00 1.008574e+00 5.165720e+03 8.250592e-01 3.253901e-02 2.899051e-03
8.299995e-01 1.500000e+01 4.000000e+00 1.069993e+00 8.680359e+00 1.004390e+00 5.307568e+03 8.441578e-01 -1.548231e-03 2.809167e-03
8.399995e-01 1.500000e+01 4.000000e+00 1.082241e+00 8.701324e+00 9.522125e-01 4.940287e+03 7.871803e-01 2.498722e-02 2.645969e-03
8.499995e-01 1.500000e+01 4.000000e+00 1.095155e+00 8.726363e+00 1.014637e+00 4.937316e+03 7.860662e-01 1.898611e-02 2.692461e-03
8.599995e-01 1.500000e+01 4.000000e+00 1.106282e+00 8.745948e+00 9.497592e-01 4.748361e+03 7.582141e-01 -1.247090e-02 2.607346e-03
8.699995e-01 1.500000e+01 4.000000e+00 1.116375e+00 8.770443e+00 1.028686e+00 4.566588e+03 7.345001e-01 3.179622e-02 2.607465e-03
8.799995e-01 1.500000e+01 4.000000e+00 1.126375e+00 8.792140e+00 9.815623e-01 4.506079e+03 7.149240e-01 -4.938614e-02 2.549529e-03
8.899994e-01 1.500000e+01 4.000000e+00 1.136752e+00 8.821774e+00 9.909353e-01 4.480967e+03 7.195395e-01 -1.699638e-02 2.512217e-03
8.999994e-01 1.500000e+01 4.000000e+00 1.146625e+00 8.847157e+00 9.900240e-01 4.235594e+03 6.674958e-01 -2.894348e-02 2.494216e-03
