#./munderdamped_3d --dev=2 --amp=15.0 --omega=4.0 --force=0.1 --mass=1.0 --Dg=0.001 --block=1024 --paths=4096 --periods=2000 --trans=1000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=f:0.0:1.0:100:0 --domainy=a:15.0:15.0:1:0 --domainz=w:4.0:4.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f_0.0_1.0-D0.001-m1.0-a15.0-w4.0.dat
#f a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
0.000000e+00 1.500000e+01 4.000000e+00 4.555878e-05 7.183709e+00 9.259465e-01 1.557815e+03 2.479344e-01 6.615162e-03 7.098317e-03
1.000000e-02 1.500000e+01 4.000000e+00 1.229416e-02 7.182328e+00 9.736606e-01 1.706662e+03 2.716220e-01 -7.160443e-02 7.315278e-03
2.000000e-02 1.500000e+01 4.000000e+00 2.517512e-02 7.182783e+00 9.461179e-01 1.621107e+03 2.580074e-01 -1.253825e-02 7.443309e-03
3.000000e-02 1.500000e+01 4.000000e+00 3.774631e-02 7.179771e+00 9.873105e-01 1.686450e+03 2.684072e-01 3.153789e-02 7.357121e-03
4.000000e-02 1.500000e+01 4.000000e+00 4.998047e-02 7.176087e+00 9.947112e-01 1.733126e+03 2.758500e-01 -2.592039e-02 7.405043e-03
5.000000e-02 1.500000e+01 4.000000e+00 6.160211e-02 7.168148e+00 9.819609e-01 1.807964e+03 2.877416e-01 -8.895695e-03 7.566929e-03
5.999999e-02 1.500000e+01 4.000000e+00 7.254668e-02 7.158012e+00 1.014420e+00 1.894781e+03 3.015607e-01 -3.313541e-03 7.781863e-03
6.999999e-02 1.500000e+01 4.000000e+00 8.355124e-02 7.146265e+00 1.012623e+00 1.962302e+03 3.123105e-01 -4.630482e-02 7.603884e-03
7.999999e-02 1.500000e+01 4.000000e+00 9.347405e-02 7.130624e+00 9.495717e-01 2.045057e+03 3.254768e-01 1.219344e-02 7.364511e-03
8.999999e-02 1.500000e+01 4.000000e+00 1.020807e-01 7.116055e+00 9.686882e-01 2.057337e+03 3.274389e-01 2.820718e-02 7.214427e-03
9.999999e-02 1.500000e+01 4.000000e+00 1.103858e-01 7.102200e+00 1.012999e+00 2.142458e+03 3.410081e-01 6.639481e-03 7.427335e-03
1.100000e-01 1.500000e+01 4.000000e+00 1.168382e-01 7.090756e+00 9.505426e-01 2.165367e+03 3.446028e-01 -2.919352e-02 7.394075e-03
1.200000e-01 1.500000e+01 4.000000e+00 1.252487e-01 7.083276e+00 1.007908e+00 2.357055e+03 3.751680e-01 -4.571527e-02 7.415414e-03
1.300000e-01 1.500000e+01 4.000000e+00 1.322481e-01 7.078838e+00 9.821254e-01 2.412560e+03 3.839265e-01 6.656277e-02 7.383108e-03
1.400000e-01 1.500000e+01 4.000000e+00 1.391407e-01 7.076916e+00 9.437076e-01 2.466410e+03 3.925084e-01 2.256358e-02 7.454276e-03
1.500000e-01 1.500000e+01 4.000000e+00 1.472762e-01 7.082839e+00 9.765127e-01 2.592230e+03 4.126738e-01 -6.128788e-03 7.629275e-03
1.600000e-01 1.500000e+01 4.000000e+00 1.561700e-01 7.089108e+00 1.018294e+00 2.859540e+03 4.552577e-01 5.848873e-02 7.880569e-03
1.700000e-01 1.500000e+01 4.000000e+00 1.654698e-01 7.099453e+00 9.506617e-01 3.013678e+03 4.796283e-01 4.038584e-02 8.916020e-03
1.800000e-01 1.500000e+01 4.000000e+00 1.785108e-01 7.118936e+00 9.899209e-01 3.350003e+03 5.332685e-01 5.103457e-02 1.007235e-02
1.900000e-01 1.500000e+01 4.000000e+00 1.925645e-01 7.134890e+00 1.017303e+00 4.001943e+03 6.370574e-01 5.622840e-02 1.071668e-02
