#./munderdamped_3d_gle --dev=3 --amp=50.0 --omega=0.2 --force=0.1 --mass=149.0 --Dg=0.01 --tau=1.0 --block=1024 --paths=65536 --periods=2000 --trans=1000 --samples=2000 --spp=2000 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=t:0.0:2.0:100:0 --domainy=a:50.0:50.0:1:0 --domainz=w:0.2:0.2:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.01-m149.0-a50.0-w0.2-t_0.0_2.0.dat
#t a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
0.000000e+00 5.000000e+01 2.000000e-01 nan nan nan nan nan nan nan
2.000000e-02 5.000000e+01 2.000000e-01 1.011745e-01 1.426546e+00 7.253082e-01 2.730712e+05 2.172242e+00 -1.009703e-02 1.184750e-02
4.000000e-02 5.000000e+01 2.000000e-01 1.010002e-01 1.426873e+00 7.335333e-01 2.732791e+05 2.173356e+00 -1.347733e-02 1.187479e-02
6.000000e-02 5.000000e+01 2.000000e-01 1.008807e-01 1.427234e+00 7.398871e-01 2.771179e+05 2.204200e+00 -1.082367e-02 1.187682e-02
8.000000e-02 5.000000e+01 2.000000e-01 1.007601e-01 1.427564e+00 7.330537e-01 2.752516e+05 2.191595e+00 -6.034076e-03 1.202333e-02
9.999999e-02 5.000000e+01 2.000000e-01 1.005984e-01 1.427926e+00 7.276903e-01 2.749364e+05 2.190959e+00 -2.048486e-02 1.191711e-02
1.200000e-01 5.000000e+01 2.000000e-01 1.004035e-01 1.428282e+00 7.475067e-01 2.779793e+05 2.210598e+00 -1.295871e-02 1.214492e-02
1.400000e-01 5.000000e+01 2.000000e-01 1.002311e-01 1.428610e+00 7.420123e-01 2.793196e+05 2.222185e+00 -6.433725e-04 1.208854e-02
1.600000e-01 5.000000e+01 2.000000e-01 1.000760e-01 1.428946e+00 7.485951e-01 2.803022e+05 2.227978e+00 -2.531111e-03 1.215804e-02
1.800000e-01 5.000000e+01 2.000000e-01 9.971949e-02 1.429246e+00 7.368840e-01 2.822014e+05 2.249241e+00 -1.954734e-03 1.214910e-02
2.000000e-01 5.000000e+01 2.000000e-01 9.940668e-02 1.429553e+00 7.386878e-01 2.813804e+05 2.235299e+00 -9.189665e-03 1.217496e-02
2.200000e-01 5.000000e+01 2.000000e-01 9.900560e-02 1.429809e+00 7.439567e-01 2.817194e+05 2.239310e+00 -4.930377e-03 1.235926e-02
2.400000e-01 5.000000e+01 2.000000e-01 9.863472e-02 1.430095e+00 7.327674e-01 2.818486e+05 2.244276e+00 -5.265296e-03 1.225615e-02
2.600000e-01 5.000000e+01 2.000000e-01 9.822237e-02 1.430320e+00 7.362277e-01 2.832304e+05 2.250546e+00 2.427101e-03 1.238060e-02
2.800000e-01 5.000000e+01 2.000000e-01 9.767743e-02 1.430525e+00 7.485899e-01 2.872423e+05 2.284828e+00 -3.207147e-03 1.245260e-02
