#./munderdamped_3d --dev=2 --amp=50.0 --omega=0.2 --force=0.1 --mass=149.0 --Dg=0.01 --block=1024 --paths=65536 --periods=2000 --trans=1000 --samples=2000 --spp=2000 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=g:147:149:100:0 --domainy=a:50.0:50.0:1:0 --domainz=w:0.2:0.2:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.1-D0.01-m_147_149-a50.0-w0.2.dat
#g a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.470000e+02 5.000000e+01 2.000000e-01 1.006392e-01 1.466643e+00 8.115548e-01 4.278518e+05 3.403687e+00 -8.058131e-03 1.612854e-02
1.470200e+02 5.000000e+01 2.000000e-01 1.003367e-01 1.466163e+00 8.157635e-01 4.327854e+05 3.445704e+00 -9.051144e-03 1.624727e-02
1.470400e+02 5.000000e+01 2.000000e-01 9.969585e-02 1.465607e+00 8.221565e-01 4.323156e+05 3.441407e+00 -4.775286e-03 1.611757e-02
1.470600e+02 5.000000e+01 2.000000e-01 9.915667e-02 1.465076e+00 8.244559e-01 4.357520e+05 3.465090e+00 -8.566976e-03 1.626718e-02
1.470800e+02 5.000000e+01 2.000000e-01 9.884328e-02 1.464580e+00 8.241982e-01 4.363080e+05 3.469991e+00 -1.398098e-02 1.642060e-02
1.471000e+02 5.000000e+01 2.000000e-01 9.835647e-02 1.464030e+00 8.189346e-01 4.285432e+05 3.414001e+00 -2.359390e-03 1.625991e-02
1.471200e+02 5.000000e+01 2.000000e-01 9.779133e-02 1.463457e+00 8.015924e-01 4.357200e+05 3.464962e+00 -1.423883e-02 1.641715e-02
1.471400e+02 5.000000e+01 2.000000e-01 9.733239e-02 1.462918e+00 8.249463e-01 4.388081e+05 3.493260e+00 -6.466269e-03 1.656795e-02
1.471600e+02 5.000000e+01 2.000000e-01 9.681971e-02 1.462372e+00 8.343455e-01 4.394255e+05 3.495902e+00 -1.407260e-02 1.663017e-02
1.471800e+02 5.000000e+01 2.000000e-01 9.640585e-02 1.461824e+00 8.076450e-01 4.370791e+05 3.476103e+00 -2.064991e-02 1.660788e-02
1.472000e+02 5.000000e+01 2.000000e-01 9.585489e-02 1.461252e+00 8.193409e-01 4.367480e+05 3.473652e+00 2.161741e-03 1.674998e-02
1.472200e+02 5.000000e+01 2.000000e-01 9.531651e-02 1.460704e+00 8.114642e-01 4.348275e+05 3.457514e+00 -4.161239e-03 1.662004e-02
1.472401e+02 5.000000e+01 2.000000e-01 9.493950e-02 1.460176e+00 8.173949e-01 4.343837e+05 3.455381e+00 -1.170468e-02 1.664805e-02
1.472601e+02 5.000000e+01 2.000000e-01 9.439310e-02 1.459632e+00 8.204396e-01 4.325612e+05 3.442871e+00 -8.480251e-03 1.673341e-02
1.472801e+02 5.000000e+01 2.000000e-01 9.381103e-02 1.459071e+00 8.289189e-01 4.303908e+05 3.425396e+00 -2.517402e-03 1.683068e-02
1.473001e+02 5.000000e+01 2.000000e-01 9.333540e-02 1.458522e+00 8.120691e-01 4.265613e+05 3.392547e+00 -1.276553e-02 1.663983e-02
1.473201e+02 5.000000e+01 2.000000e-01 9.268223e-02 1.457926e+00 8.252643e-01 4.274190e+05 3.402828e+00 1.657128e-03 1.665556e-02
1.473401e+02 5.000000e+01 2.000000e-01 9.223261e-02 1.457376e+00 8.185060e-01 4.250943e+05 3.379814e+00 2.832532e-03 1.654446e-02
1.473601e+02 5.000000e+01 2.000000e-01 9.157735e-02 1.456776e+00 8.167397e-01 4.251968e+05 3.381454e+00 -3.603339e-03 1.653194e-02
1.473801e+02 5.000000e+01 2.000000e-01 9.096026e-02 1.456146e+00 8.036424e-01 4.147137e+05 3.298582e+00 -1.593906e-02 1.649487e-02
1.474001e+02 5.000000e+01 2.000000e-01 9.044725e-02 1.455561e+00 8.182265e-01 4.219504e+05 3.353331e+00 -1.064861e-02 1.656878e-02
1.474201e+02 5.000000e+01 2.000000e-01 8.984096e-02 1.454948e+00 7.884425e-01 4.123417e+05 3.282762e+00 -1.162916e-02 1.633322e-02
