#./munderdamped_3d --dev=2 --amp=120 --omega=1 --mass=0.017 --force=0 --Dg=0.01 --block=256 --paths=4096 --periods=1000 --trans=100 --samples=100 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=20.0 --zeta=0.05 --comp=0 --mean=1.0 --second=13.0 --skew=0.99 --distribution=s>> 1D_a:-1:3:300:1_13.0_20.0_0.99_1.0_0.017.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-01 1.017327e+00 7.715507e+03 9.878793e-01 1.769056e+06 1.407741e+02 3.165329e-02 3.929696e+00 3.874302e-05 4.703188e-02
1.031177e-01 1.014053e+00 7.714505e+03 1.015938e+00 1.819059e+06 1.447549e+02 2.122271e-02 4.879736e+00 3.933907e-05 5.001616e-02
1.063327e-01 1.012643e+00 7.714622e+03 1.006338e+00 1.776190e+06 1.413414e+02 6.300569e-03 3.656333e+00 3.814697e-05 4.875171e-02
1.096478e-01 1.007274e+00 7.713933e+03 1.016416e+00 1.728693e+06 1.375649e+02 -2.497178e-02 3.678549e+00 3.659725e-05 4.769254e-02
1.130663e-01 1.008296e+00 7.713619e+03 9.909573e-01 1.775677e+06 1.413016e+02 -3.773654e-02 3.715514e+00 3.302097e-05 4.885280e-02
1.165914e-01 1.008319e+00 7.713877e+03 1.005638e+00 1.757706e+06 1.398689e+02 4.587221e-02 3.074781e+00 3.969669e-05 4.906952e-02
1.202264e-01 1.016863e+00 7.715835e+03 1.012794e+00 1.805306e+06 1.436663e+02 5.997777e-03 2.810726e+00 3.790855e-05 4.918706e-02
1.239747e-01 1.005044e+00 7.714317e+03 9.788395e-01 1.699627e+06 1.352562e+02 -3.582263e-02 3.520766e+00 3.993511e-05 4.786646e-02
1.278399e-01 1.014663e+00 7.715220e+03 9.889551e-01 1.745024e+06 1.388643e+02 2.971816e-02 3.586512e+00 3.814697e-05 4.780936e-02
1.318256e-01 1.008759e+00 7.715195e+03 9.909170e-01 1.741326e+06 1.385689e+02 4.493666e-02 3.493711e+00 4.017353e-05 4.833591e-02
1.359356e-01 1.008640e+00 7.715052e+03 1.010466e+00 1.791589e+06 1.425825e+02 -1.452583e-02 4.258841e+00 3.814697e-05 4.944611e-02
1.401737e-01 1.010352e+00 7.714463e+03 1.003794e+00 1.786137e+06 1.421298e+02 -4.641193e-02 5.197351e+00 3.850460e-05 4.879045e-02
1.445439e-01 1.012833e+00 7.715264e+03 1.020749e+00 1.784829e+06 1.420324e+02 1.227391e-02 5.079733e+00 3.576279e-05 4.939044e-02
1.490504e-01 1.008959e+00 7.713796e+03 1.022743e+00 1.860636e+06 1.480599e+02 -5.950946e-02 4.060377e+00 3.755093e-05 5.184972e-02
1.536974e-01 1.007560e+00 7.714632e+03 1.019997e+00 1.788968e+06 1.423721e+02 -1.722157e-03 2.930670e+00 3.969669e-05 5.067039e-02
1.584892e-01 1.012630e+00 7.714417e+03 1.025970e+00 1.814836e+06 1.444331e+02 4.912949e-02 3.621755e+00 3.600121e-05 4.982042e-02
1.634305e-01 1.011181e+00 7.715260e+03 1.072548e+00 1.860852e+06 1.480790e+02 -2.573514e-02 3.757432e+00 3.945827e-05 5.187511e-02
