#./overdamped_3d --dev=2 --amp=120 --omega=1 --force=0 --Dg=0.01 --block=256 --paths=4096 --periods=1000 --trans=100 --samples=100 --spp=10000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=a:-1:3:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=20.0 --zeta=0.05 --comp=0 --mean=1.0 --second=13.0 --skew=0.99 --distribution=s>> 1D_a:-1:3:300:1_13.0_20.0_0.99_1.0_over.dat
#a <<v>> qnu(q) mu_q Dx Gx EBx
1.000000e-01 1.012365e+00 9.762774e-01 1.723556e+06 1.371521e+02 -4.330862e-02 5.316734e-05
1.031177e-01 1.008860e+00 1.032107e+00 1.845459e+06 1.468593e+02 2.631950e-02 5.316734e-05
1.063327e-01 1.001868e+00 1.017767e+00 1.801472e+06 1.433614e+02 -2.844095e-03 5.161762e-05
1.096478e-01 1.015396e+00 1.028641e+00 1.764003e+06 1.403689e+02 3.959656e-02 4.875660e-05
1.130663e-01 1.005721e+00 1.031967e+00 1.856262e+06 1.477260e+02 8.172989e-04 5.269051e-05
1.165914e-01 1.011013e+00 1.020247e+00 1.829649e+06 1.455927e+02 1.146901e-02 4.863739e-05
1.202264e-01 1.013494e+00 1.009017e+00 1.762848e+06 1.402712e+02 1.750803e-02 4.947186e-05
1.239747e-01 1.008110e+00 1.022494e+00 1.806370e+06 1.437446e+02 1.181185e-02 5.471706e-05
1.278399e-01 1.012405e+00 1.009991e+00 1.800705e+06 1.432939e+02 3.566170e-02 5.209446e-05
1.318256e-01 1.006311e+00 1.001113e+00 1.758394e+06 1.399297e+02 -2.571642e-03 5.507469e-05
1.359356e-01 1.009672e+00 1.034961e+00 1.815248e+06 1.444424e+02 2.537358e-02 5.376339e-05
1.401737e-01 1.010416e+00 1.035884e+00 1.805326e+06 1.436539e+02 -2.850133e-02 4.982948e-05
1.445439e-01 1.009878e+00 1.004232e+00 1.787750e+06 1.422533e+02 1.493728e-02 5.042553e-05
1.490504e-01 1.008045e+00 1.031469e+00 1.876599e+06 1.493309e+02 -3.266329e-02 5.292892e-05
1.536974e-01 1.010922e+00 1.025137e+00 1.817946e+06 1.446817e+02 -2.083778e-02 5.865097e-05
1.584892e-01 1.017051e+00 1.017380e+00 1.743065e+06 1.387175e+02 2.765715e-02 5.221367e-05
1.634305e-01 1.012668e+00 1.037606e+00 1.847808e+06 1.470299e+02 -3.149146e-02 5.459785e-05
1.685258e-01 1.009374e+00 1.007999e+00 1.770346e+06 1.408699e+02 -4.679716e-02 5.495548e-05
1.737800e-01 1.009148e+00 1.058658e+00 1.841192e+06 1.465270e+02 8.917809e-03 5.829334e-05
1.791980e-01 1.012075e+00 1.022439e+00 1.790840e+06 1.425207e+02 1.533043e-02 5.316734e-05
1.847849e-01 1.010037e+00 1.004773e+00 1.739282e+06 1.384072e+02 -6.779194e-03 5.435944e-05
1.905460e-01 1.011474e+00 1.013216e+00 1.773317e+06 1.411039e+02 2.487707e-02 5.388260e-05
1.964867e-01 1.008879e+00 1.024866e+00 1.820819e+06 1.449001e+02 -1.166648e-02 5.459785e-05
2.026126e-01 1.003701e+00 1.005345e+00 1.809699e+06 1.440005e+02 -5.154610e-02 5.400181e-05
2.089295e-01 1.008030e+00 1.011649e+00 1.764328e+06 1.403988e+02 -1.487207e-02 5.578995e-05
2.154433e-01 1.007133e+00 9.833468e-01 1.720122e+06 1.368844e+02 5.617738e-03 5.185604e-05
2.221602e-01 1.006032e+00 9.988439e-01 1.768051e+06 1.406942e+02 2.291679e-02 5.590916e-05
2.290866e-01 1.014009e+00 1.035961e+00 1.802679e+06 1.434543e+02 -1.072836e-02 5.578995e-05
2.362289e-01 1.011874e+00 1.045337e+00 1.816613e+06 1.445643e+02 -1.345086e-02 5.626678e-05
2.435938e-01 1.012877e+00 1.032126e+00 1.825304e+06 1.452518e+02 -1.383978e-02 5.507469e-05
