#./munderdamped_3d --dev=3 --amp=60.0 --omega=1 --mass=0.017 --force=0 --Dg=0.01 --block=256 --paths=16384 --periods=1000 --trans=100 --samples=100 --spp=5000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-3.5:0:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=20.0 --zeta=0.05 --comp=0 --mean=1.0 --second=13.0 --skew=0.99 --distribution=s>> 1D_g:-3.5:0:300:1_60.0_20.0_0.99_1.0_13.0.dat
#g <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
3.162278e-04 nan nan nan nan nan nan nan nan nan
3.248380e-04 nan nan nan nan nan nan nan nan nan
3.336826e-04 nan nan nan nan nan nan nan nan nan
3.427680e-04 nan nan nan nan nan nan nan nan nan
3.521009e-04 nan nan nan nan nan nan nan nan nan
3.616878e-04 nan nan nan nan nan nan nan nan nan
3.715358e-04 nan nan nan nan nan nan nan nan nan
3.816519e-04 nan nan nan nan nan nan nan nan nan
3.920434e-04 nan nan nan nan nan nan nan nan nan
4.027179e-04 nan nan nan nan nan nan nan nan nan
4.136831e-04 nan nan nan nan nan nan nan nan nan
4.249467e-04 nan nan nan nan nan nan nan nan nan
4.365171e-04 nan nan nan nan nan nan nan nan nan
4.484025e-04 nan nan nan nan nan nan nan nan nan
4.606116e-04 nan nan nan nan nan nan nan nan nan
4.731530e-04 nan nan nan nan nan nan nan nan nan
4.860359e-04 nan nan nan nan nan nan nan nan nan
4.992696e-04 nan nan nan nan nan nan nan nan nan
5.128637e-04 nan nan nan nan nan nan nan nan nan
5.268278e-04 nan nan nan nan nan nan nan nan nan
5.411722e-04 nan nan nan nan nan nan nan nan nan
5.559071e-04 nan nan nan nan nan nan nan nan nan
5.710433e-04 nan nan nan nan nan nan nan nan nan
5.865915e-04 nan nan nan nan nan nan nan nan nan
6.025632e-04 nan nan nan nan nan nan nan nan nan
6.189697e-04 nan nan nan nan nan nan nan nan nan
6.358229e-04 1.317409e+00 2.549754e+07 9.984590e-01 1.686175e+06 1.341670e+02 -2.040339e-02 4.567578e-01 3.302097e-05 2.758217e-02
6.531349e-04 1.309906e+00 5.787363e+06 1.002840e+00 1.762191e+06 1.402582e+02 -5.554837e-02 2.789790e+00 3.600121e-05 2.909315e-02
