#m p_+ p_- v_I v_II v_III
1.000000e-03 1.796458e-01 1.881168e-01 3.302972e+03 9.569544e+03 1.584832e+04
1.055898e-03 1.791648e-01 1.870956e-01 3.136515e+03 9.070521e+03 1.501674e+04
1.114921e-03 1.786619e-01 1.857784e-01 2.978806e+03 8.597853e+03 1.422911e+04
1.177243e-03 1.781363e-01 1.844981e-01 2.829379e+03 8.150142e+03 1.348311e+04
1.243049e-03 1.775872e-01 1.831822e-01 2.687794e+03 7.726067e+03 1.277653e+04
1.312533e-03 1.770136e-01 1.817891e-01 2.553634e+03 7.324374e+03 1.210728e+04
1.385901e-03 1.764148e-01 1.803510e-01 2.426505e+03 6.943877e+03 1.147340e+04
1.463371e-03 1.757900e-01 1.787850e-01 2.306032e+03 6.583454e+03 1.087300e+04
1.545170e-03 1.751382e-01 1.772267e-01 2.191862e+03 6.242040e+03 1.030431e+04
1.631543e-03 1.744586e-01 1.762989e-01 2.083658e+03 5.918627e+03 9.765656e+03
1.722743e-03 1.737504e-01 1.737930e-01 1.981104e+03 5.612261e+03 9.255442e+03
1.819041e-03 1.730126e-01 1.719791e-01 1.883898e+03 5.322038e+03 8.772161e+03
1.920722e-03 1.722445e-01 1.700851e-01 1.791756e+03 5.047103e+03 8.314388e+03
2.028087e-03 1.714451e-01 1.680969e-01 1.704408e+03 4.786644e+03 7.880770e+03
2.141454e-03 1.706137e-01 1.660228e-01 1.621598e+03 4.539894e+03 7.470027e+03
2.261157e-03 1.697492e-01 1.638628e-01 1.543085e+03 4.306126e+03 7.080949e+03
2.387552e-03 1.688510e-01 1.616075e-01 1.468640e+03 4.084651e+03 6.712385e+03
2.521011e-03 1.679182e-01 1.592291e-01 1.398047e+03 3.874817e+03 6.363250e+03
2.661931e-03 1.669499e-01 1.567694e-01 1.331099e+03 3.676008e+03 6.032514e+03
2.810729e-03 1.659454e-01 1.542045e-01 1.267602e+03 3.487638e+03 5.719202e+03
2.967843e-03 1.649038e-01 1.515192e-01 1.207373e+03 3.309154e+03 5.422390e+03
