#m p_L p_-L p_2L
1.000000e-03 1.628310e-01 1.881077e-01 1.623666e-02
1.027459e-03 1.626243e-01 1.876368e-01 1.620786e-02
1.055673e-03 1.624129e-01 1.869799e-01 1.617844e-02
1.084661e-03 1.621968e-01 1.863766e-01 1.614838e-02
1.114445e-03 1.619758e-01 1.857505e-01 1.611768e-02
1.145048e-03 1.617499e-01 1.851472e-01 1.608633e-02
1.176490e-03 1.615189e-01 1.845378e-01 1.605431e-02
1.208796e-03 1.612827e-01 1.838671e-01 1.602161e-02
1.241989e-03 1.610414e-01 1.836123e-01 1.598823e-02
1.276093e-03 1.607947e-01 1.825426e-01 1.595414e-02
1.311134e-03 1.605427e-01 1.817926e-01 1.591935e-02
1.347137e-03 1.602851e-01 1.810943e-01 1.588384e-02
1.384129e-03 1.600219e-01 1.803548e-01 1.584760e-02
1.422136e-03 1.597531e-01 1.796290e-01 1.581061e-02
1.461187e-03 1.594784e-01 1.788487e-01 1.577288e-02
1.501311e-03 1.591979e-01 1.780631e-01 1.573438e-02
1.542536e-03 1.589114e-01 1.772584e-01 1.569511e-02
1.584893e-03 1.586189e-01 1.764337e-01 1.565505e-02
1.628414e-03 1.583202e-01 1.756097e-01 1.561420e-02
1.673129e-03 1.580152e-01 1.747442e-01 1.557254e-02
1.719072e-03 1.577039e-01 1.738916e-01 1.553007e-02
1.766277e-03 1.573861e-01 1.729684e-01 1.548677e-02
1.814778e-03 1.570618e-01 1.720958e-01 1.544263e-02
1.864611e-03 1.567308e-01 1.711115e-01 1.539765e-02
1.915812e-03 1.563931e-01 1.701764e-01 1.535181e-02
1.968419e-03 1.560485e-01 1.691993e-01 1.530511e-02
2.022471e-03 1.556970e-01 1.681920e-01 1.525753e-02
2.078007e-03 1.553385e-01 1.671852e-01 1.520906e-02
2.135068e-03 1.549729e-01 1.661468e-01 1.515970e-02
2.193696e-03 1.546001e-01 1.651000e-01 1.510944e-02
2.253934e-03 1.542199e-01 1.640033e-01 1.505826e-02
2.315826e-03 1.538323e-01 1.629082e-01 1.500616e-02
2.379417e-03 1.534372e-01 1.617433e-01 1.495314e-02
2.444755e-03 1.530346e-01 1.605800e-01 1.489917e-02
2.511886e-03 1.526242e-01 1.593962e-01 1.484425e-02
2.580862e-03 1.522061e-01 1.581963e-01 1.478838e-02
2.651731e-03 1.517800e-01 1.569242e-01 1.473155e-02
2.724546e-03 1.513461e-01 1.556662e-01 1.467375e-02
2.799360e-03 1.509040e-01 1.544127e-01 1.461497e-02
2.876229e-03 1.504538e-01 1.530800e-01 1.455520e-02
2.955209e-03 1.499954e-01 1.517692e-01 1.449444e-02
3.036358e-03 1.495286e-01 1.503839e-01 1.443269e-02
3.119735e-03 1.490535e-01 1.489487e-01 1.436993e-02
3.205401e-03 1.485698e-01 1.476517e-01 1.430616e-02
3.293420e-03 1.480776e-01 1.460809e-01 1.424138e-02
