#./munderdamped_3d --dev=0 --amp=100.0 --omega=1 --mass=0.1 --force=0 --Dg=0.01 --block=256 --paths=1024 --periods=1000 --trans=100 --samples=100 --spp=5000 --algorithm=euler --pav=1 --mode=moments --domain=1d --domainx=g:-3:0:300:1 --domainy=s:-1:2:100:1 --domainz=a:-1:2.5:100:1 --q=2 --eps=0 --phi=1.57079632679 --lambda=20.0 --zeta=0.05 --comp=0 --mean=1.0 --second=13.0 --skew=0.99 --distribution=s>> 1D_g:-3:0:300:1_20.0_100.0_0.99_1.0_13.0.dat
#g <<v>> <<v^2>> qnu(q) mu_q Dx Gx Gv EBx EBv
1.000000e-03 2.073323e-01 3.503503e+05 9.770584e-01 2.023554e+06 1.610291e+02 -4.892719e-02 5.420580e+01 3.206730e-05 1.297341e+00
1.023293e-03 2.353628e-01 3.297500e+05 1.005437e+00 1.991379e+06 1.584690e+02 -6.458223e-02 2.051884e+01 3.111362e-05 1.015999e+00
1.047128e-03 2.853279e-01 3.109648e+05 1.019544e+00 2.027602e+06 1.613521e+02 -4.009366e-03 2.792990e+01 3.302097e-05 6.970166e-01
1.071519e-03 3.211605e-01 2.938331e+05 9.834380e-01 2.132650e+06 1.697106e+02 6.934893e-02 1.651656e+01 3.087521e-05 5.750452e-01
1.096478e-03 3.666287e-01 2.782615e+05 1.031411e+00 2.174848e+06 1.730695e+02 -3.231406e-02 3.167503e+01 3.182888e-05 4.556808e-01
1.122018e-03 3.993338e-01 2.638555e+05 1.026869e+00 2.091093e+06 1.664041e+02 -8.891797e-02 4.297874e+01 3.254414e-05 3.567548e-01
1.148153e-03 4.220057e-01 2.505965e+05 9.810950e-01 1.949607e+06 1.551454e+02 -7.705045e-02 3.989231e+01 3.373623e-05 3.245846e-01
1.174897e-03 4.510844e-01 2.383073e+05 9.742146e-01 1.903208e+06 1.514524e+02 -3.163958e-02 3.584355e+01 2.956390e-05 2.645371e-01
1.202264e-03 4.820020e-01 2.269635e+05 9.663251e-01 1.948752e+06 1.550770e+02 -8.142781e-02 6.571223e+01 3.266335e-05 2.330117e-01
1.230269e-03 4.990671e-01 2.164060e+05 9.521289e-01 1.890403e+06 1.504337e+02 -5.716956e-02 4.056150e+01 3.015995e-05 2.095951e-01
1.258925e-03 5.289651e-01 2.067412e+05 9.638059e-01 1.855033e+06 1.476178e+02 -7.746130e-02 2.737400e+01 3.147125e-05 1.892859e-01
1.288249e-03 5.606266e-01 1.974804e+05 1.003200e+00 2.049815e+06 1.631192e+02 6.457567e-04 4.358749e+01 3.147125e-05 1.864996e-01
1.318256e-03 5.990283e-01 1.889365e+05 9.991534e-01 2.044691e+06 1.627112e+02 -2.087158e-02 2.424307e+01 3.278255e-05 1.618230e-01
1.348963e-03 6.362087e-01 1.809710e+05 1.001631e+00 1.922214e+06 1.529660e+02 -1.117307e-02 6.359759e+01 3.015995e-05 1.308004e-01
1.380384e-03 6.618039e-01 1.733843e+05 1.025300e+00 2.020175e+06 1.607634e+02 -9.662211e-02 3.743823e+01 3.087521e-05 1.284539e-01
1.412537e-03 7.079666e-01 1.663801e+05 1.040936e+00 1.944024e+06 1.546986e+02 -1.811266e-03 6.871587e+01 3.445148e-05 1.107364e-01
1.445439e-03 7.568114e-01 1.597538e+05 9.732780e-01 1.906078e+06 1.516788e+02 -4.400516e-02 3.400987e+01 3.170967e-05 8.976293e-02
1.479108e-03 7.872452e-01 1.534387e+05 9.947330e-01 1.966094e+06 1.564600e+02 -1.215154e-02 2.575984e+01 3.194809e-05 8.988869e-02
1.513561e-03 8.286976e-01 1.475416e+05 9.552070e-01 1.882912e+06 1.498393e+02 2.127647e-02 2.979183e+01 3.314018e-05 7.646167e-02
1.548816e-03 8.745291e-01 1.419132e+05 1.030097e+00 1.988941e+06 1.582769e+02 -1.441739e-01 7.078165e+01 3.159046e-05 7.398760e-02
1.584893e-03 9.281448e-01 1.366018e+05 1.012241e+00 1.975818e+06 1.572301e+02 -4.126102e-02 2.395111e+01 3.015995e-05 6.364965e-02
1.621809e-03 9.886065e-01 1.316012e+05 9.543568e-01 1.860697e+06 1.480717e+02 -8.226502e-02 5.348195e+01 2.741814e-05 5.361402e-02
1.659586e-03 1.038970e+00 1.267866e+05 1.018535e+00 2.042696e+06 1.625507e+02 -1.289390e-01 4.342318e+01 3.421307e-05 5.165875e-02
1.698243e-03 1.090871e+00 1.222463e+05 9.482053e-01 1.746252e+06 1.389598e+02 -1.192620e-01 2.445289e+01 3.242493e-05 4.218733e-02
1.737800e-03 1.154076e+00 1.179395e+05 9.847604e-01 1.885333e+06 1.500331e+02 -6.184882e-02 8.189398e+01 3.135204e-05 3.914392e-02
1.778278e-03 1.196093e+00 1.138160e+05 1.010585e+00 1.837487e+06 1.462252e+02 -3.554362e-02 2.478459e+01 3.194809e-05 3.668571e-02
1.819700e-03 1.250517e+00 1.098935e+05 9.156563e-01 1.704595e+06 1.356468e+02 -5.955279e-03 4.739105e+01 2.908707e-05 3.037262e-02
1.862086e-03 1.305637e+00 1.061329e+05 9.443434e-01 1.755185e+06 1.396763e+02 -5.813968e-02 3.548701e+01 3.015995e-05 2.804589e-02
1.905460e-03 1.350539e+00 1.025644e+05 9.377825e-01 1.837853e+06 1.462545e+02 -9.090638e-02 1.700376e+01 2.992153e-05 2.845979e-02
1.949843e-03 1.429225e+00 9.915610e+04 9.081908e-01 1.679730e+06 1.336698e+02 -4.690635e-02 1.677702e+01 3.063679e-05 2.335966e-02
1.995261e-03 1.483773e+00 9.591648e+04 9.534594e-01 1.848243e+06 1.470872e+02 -1.791263e-02 2.338659e+01 3.397465e-05 2.378678e-02
2.041737e-03 1.534655e+00 9.279381e+04 9.493336e-01 1.816322e+06 1.445356e+02 -7.970726e-02 2.505858e+01 2.741814e-05 2.183402e-02
2.089295e-03 1.581502e+00 8.979152e+04 9.697090e-01 1.844912e+06 1.468217e+02 -9.375674e-02 2.646331e+01 3.087521e-05 2.086163e-02
2.137961e-03 1.625312e+00 8.691315e+04 9.932137e-01 1.852626e+06 1.474329e+02 -2.754867e-02 2.144279e+01 2.682209e-05 1.964808e-02
2.187760e-03 1.679216e+00 8.416005e+04 9.950736e-01 1.830240e+06 1.456503e+02 -5.401564e-02 1.994945e+01 3.051758e-05 1.854515e-02
2.238719e-03 1.730552e+00 8.153727e+04 9.916939e-01 1.822042e+06 1.449800e+02 -3.211617e-02 1.877911e+01 3.063679e-05 1.704097e-02
2.290866e-03 1.790792e+00 7.901523e+04 9.618211e-01 1.788241e+06 1.422922e+02 -8.299500e-02 2.861938e+01 3.230572e-05 1.581323e-02
2.344227e-03 1.843027e+00 7.659075e+04 9.982109e-01 1.822189e+06 1.449991e+02 -4.251707e-02 9.792698e+00 2.813339e-05 1.545358e-02
2.398831e-03 1.902244e+00 7.427212e+04 1.064924e+00 1.961767e+06 1.561119e+02 -9.440660e-02 2.153552e+01 3.111362e-05 1.531541e-02
2.454707e-03 1.942298e+00 7.200510e+04 1.051489e+00 1.893198e+06 1.506561e+02 -8.650696e-02 1.985193e+01 3.099442e-05 1.456678e-02
2.511884e-03 1.987636e+00 6.986962e+04 9.420564e-01 1.675760e+06 1.333349e+02 -1.076775e-01 6.637824e+01 3.325939e-05 1.170754e-02
2.570393e-03 2.040109e+00 6.780577e+04 9.677349e-01 1.717910e+06 1.367103e+02 3.897429e-03 3.945828e+01 3.075600e-05 1.171029e-02
