#m eps p_+ p_-
0.3162278 1.0 0.1784606 0.1470575
0.3162278 1.029349 0.1777949 0.1455976
0.3162278 1.05956 0.177117 0.1440042
0.3162278 1.090658 0.1764267 0.1423757
0.3162278 1.122668 0.1757239 0.1407385
0.3162278 1.155617 0.1750086 0.1390716
0.3162278 1.189534 0.1742805 0.1373784
0.3162278 1.224446 0.1735396 0.135605
0.3162278 1.260383 0.1727859 0.1337963
0.3162278 1.297374 0.1720191 0.1320203
0.3162278 1.335452 0.1712393 0.1301164
0.3162278 1.374646 0.1704464 0.1282249
0.3162278 1.414991 0.1696402 0.1262743
0.3162278 1.45652 0.1688207 0.1242844
0.3162278 1.499268 0.1679878 0.122293
0.3162278 1.543271 0.1671415 0.1202294
0.3162278 1.588565 0.1662816 0.1180964
0.3162278 1.635189 0.1654082 0.1159844
0.3162278 1.68318 0.1645211 0.1135867
0.3162278 1.732581 0.1636204 0.1115361
0.3162278 1.783431 0.1627059 0.1092255
0.3162278 1.835773 0.1617777 0.1069556
0.3162278 1.889652 0.1608357 0.1045791
0.3162278 1.945112 0.1598799 0.1021596
0.3162278 2.0022 0.1589102 0.09967713
0.3162278 2.060964 0.1579267 0.0971615
0.3162278 2.121452 0.1569293 0.09459762
0.3162278 2.183715 0.155918 0.09195258
0.3162278 2.247806 0.1548929 0.08943441
0.3162278 2.313778 0.1538539 0.08659151
0.3162278 2.381686 0.152801 0.08386186
0.3162278 2.451587 0.1517343 0.08100516
0.3162278 2.523539 0.1506538 0.07814513
0.3162278 2.597604 0.1495595 0.07522034
0.3162278 2.673842 0.1484515 0.07224721
0.3162278 2.752317 0.1473298 0.06922993
0.3162278 2.833096 0.1461945 0.0661394
0.3162278 2.916246 0.1450456 0.063023
0.3162278 3.001836 0.1438833 0.05987534
0.3162278 3.089938 0.1427075 0.05664297
0.3162278 3.180626 0.1415184 0.05341213
0.3162278 3.273975 0.1403161 0.04996067
0.3162278 3.370064 0.1391007 0.04685895
0.3162278 3.468974 0.1378722 0.04354416
0.3162278 3.570786 0.1366309 0.04027671
0.3162278 3.675586 0.1353768 0.03693354
0.3162278 3.783463 0.1341101 0.03368227
0.3162278 3.894505 0.132831 0.03044658
0.3162278 4.008806 0.1315395 0.02738208
0.3162278 4.126462 0.1302359 0.02426043
