#z rho(z)
-9.950000e+00 5.103682e-133 
-9.850000e+00 2.576278e-127 
-9.750000e+00 2.734984e-123 
-9.650000e+00 8.510164e-118 
-9.550000e+00 3.528764e-113 
-9.450000e+00 2.103852e-109 
-9.350000e+00 3.158256e-104 
-9.250000e+00 1.284586e-100 
-9.150000e+00 1.183749e-95 
-9.050000e+00 1.653601e-91 
-8.950000e+00 3.802719e-88 
-8.850000e+00 1.680149e-83 
-8.750000e+00 2.647832e-80 
-8.650000e+00 7.152075e-76 
-8.550000e+00 3.367561e-72 
-8.450000e+00 3.021068e-69 
-8.350000e+00 3.888938e-65 
-8.250000e+00 2.401832e-62 
-8.150000e+00 1.882693e-58 
-8.050000e+00 8.019842e-56 
-7.950000e+00 1.058618e-52 
-7.850000e+00 3.931717e-49 
-7.750000e+00 9.627627e-47 
-7.650000e+00 2.169194e-43 
-7.550000e+00 3.681136e-41 
-7.450000e+00 1.645012e-38 
-7.350000e+00 1.746690e-35 
-7.250000e+00 1.716467e-33 
-7.150000e+00 1.101933e-30 
-7.050000e+00 7.542508e-29 
-6.950000e+00 1.143513e-26 
-6.850000e+00 3.443822e-24 
-6.750000e+00 1.375890e-22 
-6.650000e+00 2.498774e-20 
-6.550000e+00 6.992878e-19 
-6.450000e+00 3.610691e-17 
-6.350000e+00 3.067428e-15 
-6.250000e+00 5.057111e-14 
-6.150000e+00 2.588602e-12 
-6.050000e+00 3.010353e-11 
-5.950000e+00 9.290978e-10 
-5.850000e+00 1.279448e-08 
-5.750000e+00 8.877226e-08 
-5.650000e+00 1.287817e-06 
-5.550000e+00 6.372294e-06 
-5.450000e+00 5.620958e-05 
-5.350000e+00 2.727865e-04 
-5.250000e+00 8.250335e-04 
-5.150000e+00 3.520822e-03 
-5.050000e+00 7.798416e-03 
-4.950000e+00 2.109848e-02 
-4.850000e+00 3.954513e-02 
-4.750000e+00 5.784355e-02 
-4.650000e+00 8.744457e-02 
-4.550000e+00 1.038207e-01 
-4.450000e+00 1.212223e-01 
-4.350000e+00 1.285008e-01 
-4.250000e+00 1.311166e-01 
-4.150000e+00 1.325373e-01 
-4.050000e+00 1.325963e-01 
-3.950000e+00 1.324448e-01 
-3.850000e+00 1.321557e-01 
-3.750000e+00 1.318210e-01 
-3.650000e+00 1.314475e-01 
-3.550000e+00 1.310380e-01 
-3.450000e+00 1.305931e-01 
-3.350000e+00 1.301133e-01 
-3.250000e+00 1.295989e-01 
-3.150000e+00 1.290504e-01 
-3.050000e+00 1.284683e-01 
-2.950000e+00 1.278529e-01 
-2.850000e+00 1.272048e-01 
-2.750000e+00 1.265246e-01 
-2.650000e+00 1.258128e-01 
-2.550000e+00 1.250699e-01 
-2.450000e+00 1.242966e-01 
-2.350000e+00 1.234934e-01 
-2.250000e+00 1.226611e-01 
-2.150000e+00 1.218003e-01 
-2.050000e+00 1.209116e-01 
-1.950000e+00 1.199958e-01 
-1.850000e+00 1.190535e-01 
-1.750000e+00 1.180856e-01 
-1.650000e+00 1.170927e-01 
-1.550000e+00 1.160757e-01 
-1.450000e+00 1.150353e-01 
-1.350000e+00 1.139722e-01 
-1.250000e+00 1.128874e-01 
-1.150000e+00 1.117815e-01 
-1.050000e+00 1.106555e-01 
-9.500000e-01 1.095101e-01 
-8.500000e-01 1.083463e-01 
-7.500000e-01 1.071648e-01 
-6.500000e-01 1.059664e-01 
-5.500000e-01 1.047522e-01 
-4.500000e-01 1.035228e-01 
-3.500000e-01 1.022792e-01 
-2.500000e-01 1.010222e-01 
-1.500000e-01 9.975277e-02 
-5.000000e-02 9.847166e-02 
5.000000e-02 9.717978e-02 
1.500000e-01 9.587798e-02 
2.500000e-01 9.456712e-02 
3.500000e-01 9.324806e-02 
4.500000e-01 9.192164e-02 
5.500000e-01 9.058871e-02 
6.500000e-01 8.925010e-02 
7.500000e-01 8.790664e-02 
8.500000e-01 8.655914e-02 
9.500000e-01 8.520843e-02 
1.050000e+00 8.385530e-02 
1.150000e+00 8.250054e-02 
1.250000e+00 8.114494e-02 
1.350000e+00 7.978925e-02 
1.450000e+00 7.843423e-02 
1.550000e+00 7.708063e-02 
1.650000e+00 7.572917e-02 
1.750000e+00 7.438056e-02 
1.850000e+00 7.303551e-02 
1.950000e+00 7.169469e-02 
2.050000e+00 7.035877e-02 
2.150000e+00 6.902840e-02 
2.250000e+00 6.770422e-02 
2.350000e+00 6.638684e-02 
2.450000e+00 6.507686e-02 
2.550000e+00 6.377486e-02 
2.650000e+00 6.248140e-02 
2.750000e+00 6.119702e-02 
2.850000e+00 5.992226e-02 
2.950000e+00 5.865762e-02 
3.050000e+00 5.740358e-02 
3.150000e+00 5.616062e-02 
3.250000e+00 5.492918e-02 
3.350000e+00 5.370970e-02 
3.450000e+00 5.250257e-02 
3.550000e+00 5.130820e-02 
3.650000e+00 5.012696e-02 
3.750000e+00 4.895919e-02 
3.850000e+00 4.780523e-02 
3.950000e+00 4.666540e-02 
4.050000e+00 4.553998e-02 
4.150000e+00 4.442926e-02 
4.250000e+00 4.333348e-02 
4.350000e+00 4.225290e-02 
4.450000e+00 4.118771e-02 
4.550000e+00 4.013814e-02 
4.650000e+00 3.910435e-02 
4.750000e+00 3.808652e-02 
4.850000e+00 3.708479e-02 
4.950000e+00 3.609929e-02 
5.050000e+00 3.513014e-02 
5.150000e+00 3.417742e-02 
5.250000e+00 3.324124e-02 
5.350000e+00 3.232164e-02 
5.450000e+00 3.141867e-02 
5.550000e+00 3.053238e-02 
5.650000e+00 2.966278e-02 
5.750000e+00 2.880987e-02 
5.850000e+00 2.797365e-02 
5.950000e+00 2.715410e-02 
6.050000e+00 2.635117e-02 
6.150000e+00 2.556482e-02 
6.250000e+00 2.479498e-02 
6.350000e+00 2.404160e-02 
6.450000e+00 2.330457e-02 
6.550000e+00 2.258381e-02 
6.650000e+00 2.187922e-02 
6.750000e+00 2.119066e-02 
6.850000e+00 2.051803e-02 
6.950000e+00 1.986119e-02 
7.050000e+00 1.921998e-02 
7.150000e+00 1.859427e-02 
7.250000e+00 1.798389e-02 
7.350000e+00 1.738867e-02 
7.450000e+00 1.680844e-02 
7.550000e+00 1.624303e-02 
7.650000e+00 1.569223e-02 
7.750000e+00 1.515587e-02 
7.850000e+00 1.463374e-02 
7.950000e+00 1.412564e-02 
8.050000e+00 1.363136e-02 
8.150000e+00 1.315069e-02 
8.250000e+00 1.268342e-02 
8.350000e+00 1.222932e-02 
8.450000e+00 1.178818e-02 
8.550000e+00 1.135977e-02 
8.650000e+00 1.094387e-02 
8.750000e+00 1.054023e-02 
8.850000e+00 1.014864e-02 
8.950000e+00 9.768863e-03 
9.050000e+00 9.400662e-03 
9.150000e+00 9.043805e-03 
9.250000e+00 8.698057e-03 
9.350000e+00 8.363184e-03 
9.450000e+00 8.038952e-03 
9.550000e+00 7.725124e-03 
9.650000e+00 7.421469e-03 
9.750000e+00 7.127753e-03 
9.850000e+00 6.843743e-03 
9.950000e+00 6.569209e-03 
1.005000e+01 6.303921e-03 
1.015000e+01 6.047653e-03 
1.025000e+01 5.800177e-03 
1.035000e+01 5.561270e-03 
1.045000e+01 5.330709e-03 
1.055000e+01 5.108276e-03 
1.065000e+01 4.893754e-03 
1.075000e+01 4.686926e-03 
1.085000e+01 4.487583e-03 
1.095000e+01 4.295515e-03 
1.105000e+01 4.110515e-03 
1.115000e+01 3.932381e-03 
1.125000e+01 3.760913e-03 
1.135000e+01 3.595914e-03 
1.145000e+01 3.437191e-03 
1.155000e+01 3.284554e-03 
1.165000e+01 3.137815e-03 
1.175000e+01 2.996793e-03 
1.185000e+01 2.861307e-03 
1.195000e+01 2.731181e-03 
1.205000e+01 2.606242e-03 
1.215000e+01 2.486322e-03 
1.225000e+01 2.371256e-03 
1.235000e+01 2.260881e-03 
1.245000e+01 2.155041e-03 
1.255000e+01 2.053579e-03 
1.265000e+01 1.956346e-03 
1.275000e+01 1.863195e-03 
1.285000e+01 1.773983e-03 
1.295000e+01 1.688569e-03 
1.305000e+01 1.606817e-03 
1.315000e+01 1.528595e-03 
1.325000e+01 1.453773e-03 
1.335000e+01 1.382227e-03 
1.345000e+01 1.313833e-03 
1.355000e+01 1.248474e-03 
1.365000e+01 1.186034e-03 
1.375000e+01 1.126401e-03 
1.385000e+01 1.069467e-03 
1.395000e+01 1.015126e-03 
1.405000e+01 9.632767e-04 
1.415000e+01 9.138194e-04 
1.425000e+01 8.666584e-04 
1.435000e+01 8.217012e-04 
1.445000e+01 7.788579e-04 
1.455000e+01 7.380416e-04 
1.465000e+01 6.991683e-04 
1.475000e+01 6.621571e-04 
1.485000e+01 6.269294e-04 
1.495000e+01 5.934096e-04 
1.505000e+01 5.615247e-04 
1.515000e+01 5.312041e-04 
1.525000e+01 5.023800e-04 
1.535000e+01 4.749869e-04 
1.545000e+01 4.489616e-04 
1.555000e+01 4.242434e-04 
1.565000e+01 4.007739e-04 
1.575000e+01 3.784966e-04 
1.585000e+01 3.573575e-04 
1.595000e+01 3.373045e-04 
1.605000e+01 3.182876e-04 
1.615000e+01 3.002587e-04 
1.625000e+01 2.831717e-04 
1.635000e+01 2.669823e-04 
1.645000e+01 2.516479e-04 
1.655000e+01 2.371278e-04 
1.665000e+01 2.233830e-04 
1.675000e+01 2.103759e-04 
1.685000e+01 1.980707e-04 
1.695000e+01 1.864330e-04 
1.705000e+01 1.754299e-04 
1.715000e+01 1.650300e-04 
1.725000e+01 1.552031e-04 
1.735000e+01 1.459205e-04 
1.745000e+01 1.371546e-04 
1.755000e+01 1.288793e-04 
1.765000e+01 1.210693e-04 
1.775000e+01 1.137007e-04 
1.785000e+01 1.067507e-04 
1.795000e+01 1.001974e-04 
1.805000e+01 9.402009e-05 
1.815000e+01 8.819890e-05 
1.825000e+01 8.271495e-05 
1.835000e+01 7.755025e-05 
1.845000e+01 7.268767e-05 
1.855000e+01 6.811089e-05 
1.865000e+01 6.380442e-05 
1.875000e+01 5.975349e-05 
1.885000e+01 5.594407e-05 
1.895000e+01 5.236285e-05 
1.905000e+01 4.899714e-05 
1.915000e+01 4.583493e-05 
1.925000e+01 4.286479e-05 
1.935000e+01 4.007590e-05 
1.945000e+01 3.745795e-05 
1.955000e+01 3.500122e-05 
1.965000e+01 3.269646e-05 
1.975000e+01 3.053490e-05 
1.985000e+01 2.850826e-05 
1.995000e+01 2.660867e-05 
2.005000e+01 2.482870e-05 
2.015000e+01 2.316131e-05 
2.025000e+01 2.159984e-05 
2.035000e+01 2.013800e-05 
2.045000e+01 1.876984e-05 
2.055000e+01 1.748972e-05 
2.065000e+01 1.629235e-05 
2.075000e+01 1.517270e-05 
2.085000e+01 1.412604e-05 
2.095000e+01 1.314789e-05 
2.105000e+01 1.223405e-05 
2.115000e+01 1.138053e-05 
2.125000e+01 1.058360e-05 
2.135000e+01 9.839716e-06 
2.145000e+01 9.145553e-06 
2.155000e+01 8.497981e-06 
2.165000e+01 7.894050e-06 
2.175000e+01 7.330984e-06 
2.185000e+01 6.806174e-06 
2.195000e+01 6.317164e-06 
2.205000e+01 5.861646e-06 
2.215000e+01 5.437451e-06 
2.225000e+01 5.042541e-06 
2.235000e+01 4.675002e-06 
2.245000e+01 4.333039e-06 
2.255000e+01 4.014964e-06 
2.265000e+01 3.719196e-06 
2.275000e+01 3.444251e-06 
2.285000e+01 3.188738e-06 
2.295000e+01 2.951354e-06 
2.305000e+01 2.730876e-06 
2.315000e+01 2.526161e-06 
2.325000e+01 2.336138e-06 
2.335000e+01 2.159803e-06 
2.345000e+01 1.996219e-06 
2.355000e+01 1.844508e-06 
2.365000e+01 1.703850e-06 
2.375000e+01 1.573477e-06 
2.385000e+01 1.452673e-06 
2.395000e+01 1.340767e-06 
2.405000e+01 1.237136e-06 
2.415000e+01 1.141195e-06 
2.425000e+01 1.052399e-06 
2.435000e+01 9.702410e-07 
2.445000e+01 8.942460e-07 
2.455000e+01 8.239724e-07 
2.465000e+01 7.590086e-07 
2.475000e+01 6.989708e-07 
2.485000e+01 6.435018e-07 
2.495000e+01 5.922687e-07 
2.505000e+01 5.449619e-07 
2.515000e+01 5.012932e-07 
2.525000e+01 4.609946e-07 
2.535000e+01 4.238168e-07 
2.545000e+01 3.895281e-07 
2.555000e+01 3.579133e-07 
2.565000e+01 3.287722e-07 
2.575000e+01 3.019193e-07 
2.585000e+01 2.771819e-07 
2.595000e+01 2.544000e-07 
2.605000e+01 2.334252e-07 
2.615000e+01 2.141198e-07 
2.625000e+01 1.963560e-07 
2.635000e+01 1.800154e-07 
2.645000e+01 1.649885e-07 
2.655000e+01 1.511736e-07 
2.665000e+01 1.384767e-07 
2.675000e+01 1.268106e-07 
2.685000e+01 1.160949e-07 
2.695000e+01 1.062548e-07 
2.705000e+01 9.722155e-08 
2.715000e+01 8.893134e-08 
2.725000e+01 8.132526e-08 
2.735000e+01 7.434888e-08 
2.745000e+01 6.795192e-08 
2.755000e+01 6.208795e-08 
2.765000e+01 5.671413e-08 
2.775000e+01 5.179091e-08 
2.785000e+01 4.728182e-08 
2.795000e+01 4.315321e-08 
2.805000e+01 3.937408e-08 
2.815000e+01 3.591584e-08 
2.825000e+01 3.275216e-08 
2.835000e+01 2.985879e-08 
2.845000e+01 2.721340e-08 
2.855000e+01 2.479544e-08 
2.865000e+01 2.258598e-08 
2.875000e+01 2.056765e-08 
2.885000e+01 1.872443e-08 
2.895000e+01 1.704162e-08 
2.905000e+01 1.550570e-08 
2.915000e+01 1.410426e-08 
2.925000e+01 1.282589e-08 
2.935000e+01 1.166012e-08 
2.945000e+01 1.059734e-08 
2.955000e+01 9.628734e-09 
2.965000e+01 8.746207e-09 
2.975000e+01 7.942344e-09 
2.985000e+01 7.210343e-09 
2.995000e+01 6.543972e-09 
3.005000e+01 5.937524e-09 
3.015000e+01 5.385767e-09 
3.025000e+01 4.883915e-09 
3.035000e+01 4.427586e-09 
3.045000e+01 4.012770e-09 
3.055000e+01 3.635798e-09 
3.065000e+01 3.293318e-09 
3.075000e+01 2.982262e-09 
3.085000e+01 2.699830e-09 
3.095000e+01 2.443460e-09 
3.105000e+01 2.210815e-09 
3.115000e+01 1.999760e-09 
3.125000e+01 1.808347e-09 
3.135000e+01 1.634798e-09 
3.145000e+01 1.477490e-09 
3.155000e+01 1.334945e-09 
3.165000e+01 1.205815e-09 
3.175000e+01 1.088870e-09 
3.185000e+01 9.829919e-10 
3.195000e+01 8.871603e-10 
3.205000e+01 8.004471e-10 
3.215000e+01 7.220071e-10 
3.225000e+01 6.510714e-10 
3.235000e+01 5.869406e-10 
3.245000e+01 5.289784e-10 
3.255000e+01 4.766067e-10 
3.265000e+01 4.292997e-10 
3.275000e+01 3.865800e-10 
3.285000e+01 3.480139e-10 
3.295000e+01 3.132074e-10 
3.305000e+01 2.818032e-10 
3.315000e+01 2.534767e-10 
3.325000e+01 2.279337e-10 
3.335000e+01 2.049072e-10 
3.345000e+01 1.841554e-10 
3.355000e+01 1.654588e-10 
3.365000e+01 1.486188e-10 
3.375000e+01 1.334553e-10 
3.385000e+01 1.198054e-10 
3.395000e+01 1.075214e-10 
3.405000e+01 9.646999e-11 
3.415000e+01 8.653019e-11 
3.425000e+01 7.759281e-11 
3.435000e+01 6.955904e-11 
3.445000e+01 6.233960e-11 
3.455000e+01 5.585381e-11 
3.465000e+01 5.002878e-11 
3.475000e+01 4.479869e-11 
