#./munderdamped_3d_gle_ratchet --dev=2 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --tau=0.1 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=400 --spp=400 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=t:0.0:0.1:100:0 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D0.001-m0.525-a17.0-w11.0-t_0.0_0.1-ratchet.dat
#t a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
0.000000e+00 1.700000e+01 1.100000e+01 nan nan nan nan nan nan nan
1.000000e-03 1.700000e+01 1.100000e+01 5.510969e-01 7.074919e+00 2.000887e+00 1.613217e+07 2.824762e+03 -3.907916e-01 3.403062e-01
2.000000e-03 1.700000e+01 1.100000e+01 5.413762e-01 7.096732e+00 2.000615e+00 1.632537e+07 2.858461e+03 -3.995835e-01 3.325846e-01
3.000000e-03 1.700000e+01 1.100000e+01 5.503739e-01 7.118121e+00 1.999698e+00 1.636267e+07 2.865262e+03 -3.966132e-01 3.242333e-01
4.000000e-03 1.700000e+01 1.100000e+01 5.128040e-01 7.143904e+00 2.001696e+00 1.683530e+07 2.947475e+03 -4.236167e-01 3.141392e-01
5.000000e-03 1.700000e+01 1.100000e+01 5.381824e-01 7.159963e+00 2.000786e+00 1.680358e+07 2.942421e+03 -4.126017e-01 3.010668e-01
6.000001e-03 1.700000e+01 1.100000e+01 5.267131e-01 7.185812e+00 2.001228e+00 1.696568e+07 2.970630e+03 -4.212999e-01 2.963494e-01
7.000001e-03 1.700000e+01 1.100000e+01 5.236018e-01 7.208951e+00 2.000752e+00 1.713778e+07 3.000817e+03 -4.265631e-01 2.864988e-01
8.000000e-03 1.700000e+01 1.100000e+01 5.074573e-01 7.235112e+00 2.001472e+00 1.741579e+07 3.049511e+03 -4.394873e-01 2.768261e-01
9.000001e-03 1.700000e+01 1.100000e+01 5.091085e-01 7.262265e+00 2.000639e+00 1.744183e+07 3.054784e+03 -4.394470e-01 2.728952e-01
