#./munderdamped_3d_ratchet --dev=2 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=400 --spp=400 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=g:0.425:0.525:100:0 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/maw-D0.001-m_0.425_0.525-a17.0-w11.0-ratchet.dat
#g a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
4.250000e-01 1.700000e+01 1.100000e+01 -1.750144e+00 1.223833e+01 2.350991e-03 1.640397e+03 2.189080e+00 2.083354e+00 3.099442e-06
4.260000e-01 1.700000e+01 1.100000e+01 -1.750143e+00 1.219642e+01 2.151266e-03 1.666852e+03 2.219543e+00 2.328649e+00 -2.557039e-05
4.270000e-01 1.700000e+01 1.100000e+01 -1.750142e+00 1.215225e+01 2.021401e-03 1.665293e+03 2.116601e+00 2.081848e+00 -2.372265e-05
4.280000e-01 1.700000e+01 1.100000e+01 -1.750141e+00 1.211165e+01 2.037998e-03 1.721094e+03 2.156518e+00 2.141882e+00 3.659725e-05
4.290000e-01 1.700000e+01 1.100000e+01 -1.750140e+00 1.206819e+01 1.765333e-03 1.770821e+03 2.093842e+00 2.184528e+00 5.710125e-05
4.299999e-01 1.700000e+01 1.100000e+01 -1.750139e+00 1.202809e+01 2.071641e-03 1.726448e+03 2.145313e+00 1.821268e+00 -2.384186e-06
4.309999e-01 1.700000e+01 1.100000e+01 -1.750139e+00 1.198395e+01 1.914184e-03 1.747791e+03 2.126405e+00 2.081485e+00 -9.500980e-05
4.319999e-01 1.700000e+01 1.100000e+01 -1.750138e+00 1.194361e+01 1.935688e-03 1.773578e+03 2.185229e+00 2.071045e+00 -1.038909e-04
4.329999e-01 1.700000e+01 1.100000e+01 -1.750137e+00 1.189797e+01 1.993804e-03 1.775611e+03 2.107147e+00 2.143142e+00 -2.342463e-05
4.339999e-01 1.700000e+01 1.100000e+01 -1.750136e+00 1.185683e+01 1.604200e-03 1.776304e+03 2.032218e+00 1.937822e+00 1.093149e-04
4.349999e-01 1.700000e+01 1.100000e+01 -1.750136e+00 1.180877e+01 1.655221e-03 1.753812e+03 1.984248e+00 1.996883e+00 9.012222e-05
4.359999e-01 1.700000e+01 1.100000e+01 -1.750135e+00 1.176498e+01 1.841138e-03 1.738365e+03 2.064780e+00 2.015907e+00 -5.662441e-05
4.369999e-01 1.700000e+01 1.100000e+01 -1.750135e+00 1.171658e+01 1.511889e-03 1.753055e+03 1.967091e+00 1.985992e+00 -1.506805e-04
4.379998e-01 1.700000e+01 1.100000e+01 -1.750134e+00 1.166901e+01 1.554746e-03 1.758432e+03 1.971993e+00 2.039001e+00 -2.152920e-04
4.389998e-01 1.700000e+01 1.100000e+01 -1.750133e+00 1.162253e+01 1.595692e-03 1.732769e+03 1.968842e+00 2.076438e+00 -2.478957e-04
4.399998e-01 1.700000e+01 1.100000e+01 -1.750133e+00 1.156753e+01 1.507958e-03 1.769882e+03 1.965340e+00 2.033100e+00 -2.707243e-04
4.409998e-01 1.700000e+01 1.100000e+01 -1.750133e+00 1.151772e+01 1.549548e-03 1.781544e+03 1.971643e+00 1.983774e+00 -1.719594e-04
4.419998e-01 1.700000e+01 1.100000e+01 -1.750133e+00 1.146742e+01 1.250648e-03 1.776941e+03 1.866601e+00 2.004006e+00 4.088879e-05
4.429998e-01 1.700000e+01 1.100000e+01 -1.750133e+00 1.141429e+01 1.607301e-03 1.827461e+03 1.919472e+00 2.039050e+00 1.974106e-04
4.439998e-01 1.700000e+01 1.100000e+01 -1.750133e+00 1.135935e+01 1.152996e-03 1.864173e+03 1.919472e+00 2.174511e+00 2.781153e-04
4.449998e-01 1.700000e+01 1.100000e+01 -1.750133e+00 1.130552e+01 1.314936e-03 1.882932e+03 1.909668e+00 1.909796e+00 3.134012e-04
4.459997e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.125384e+01 1.273558e-03 1.919078e+03 1.963940e+00 2.064839e+00 3.384352e-04
4.469997e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.119524e+01 1.290303e-03 1.958286e+03 1.949934e+00 2.259038e+00 3.526211e-04
4.479997e-01 1.700000e+01 1.100000e+01 -1.750133e+00 1.114130e+01 9.544824e-04 2.014873e+03 1.915971e+00 1.949299e+00 2.888441e-04
4.489997e-01 1.700000e+01 1.100000e+01 -1.750133e+00 1.108867e+01 1.114494e-03 2.098532e+03 1.890060e+00 2.118459e+00 2.142191e-04
4.499997e-01 1.700000e+01 1.100000e+01 -1.750133e+00 1.102694e+01 8.792716e-04 2.140746e+03 1.847343e+00 2.281477e+00 1.215935e-04
4.509997e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.097599e+01 1.029046e-03 2.244211e+03 1.939780e+00 1.848939e+00 4.541874e-05
4.519997e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.091780e+01 9.238887e-04 2.328619e+03 1.891811e+00 1.977850e+00 -3.528595e-05
4.529997e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.085798e+01 8.455318e-04 2.457063e+03 2.005607e+00 2.338116e+00 -1.062751e-04
4.539996e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.080842e+01 7.992956e-04 2.560302e+03 1.941531e+00 2.066311e+00 -1.837611e-04
4.549996e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.074148e+01 8.718416e-04 2.780840e+03 1.942932e+00 1.998563e+00 -2.534986e-04
4.559996e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.068985e+01 7.197636e-04 3.009802e+03 2.042372e+00 2.203149e+00 -3.321171e-04
4.569996e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.063424e+01 7.168655e-04 3.251609e+03 2.089290e+00 2.234648e+00 -3.743172e-04
4.579996e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.057008e+01 5.798601e-04 3.610976e+03 2.126405e+00 2.228430e+00 -4.169941e-04
4.589996e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.052082e+01 5.849405e-04 3.932343e+03 2.110999e+00 2.128731e+00 -4.411936e-04
4.599996e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.045294e+01 5.926883e-04 4.331578e+03 2.201686e+00 2.481198e+00 -4.615188e-04
4.609995e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.040247e+01 4.027848e-04 4.972000e+03 2.360650e+00 2.499750e+00 -4.793406e-04
4.619995e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.034090e+01 3.086062e-04 5.586771e+03 2.386210e+00 2.268510e+00 -4.966855e-04
4.629995e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.028174e+01 5.958753e-04 6.141252e+03 2.519614e+00 2.459888e+00 -5.065799e-04
4.639995e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.022949e+01 1.169349e-04 7.140021e+03 2.691533e+00 2.368612e+00 -5.181432e-04
4.649995e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.016198e+01 4.265987e-04 8.242483e+03 2.798326e+00 2.284040e+00 -5.275011e-04
4.659995e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.011225e+01 3.940106e-04 9.610739e+03 3.129559e+00 2.281656e+00 -5.308390e-04
4.669995e-01 1.700000e+01 1.100000e+01 -1.750132e+00 1.004409e+01 1.383355e-04 1.137537e+04 3.358551e+00 2.345723e+00 -5.374551e-04
4.679995e-01 1.700000e+01 1.100000e+01 -1.750132e+00 9.992714e+00 2.390975e-04 1.380195e+04 3.780471e+00 2.272883e+00 -5.352497e-04
4.689994e-01 1.700000e+01 1.100000e+01 -1.750132e+00 9.929227e+00 -1.929878e-04 1.637779e+04 4.227601e+00 2.308406e+00 -5.415678e-04
4.699994e-01 1.700000e+01 1.100000e+01 -1.750132e+00 9.871572e+00 -3.664915e-05 1.977537e+04 4.805333e+00 2.363144e+00 -5.415678e-04
