#./munderdamped_3d_gle_ratchet --dev=0 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --tau=0.04 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=1d --domainx=a:15.0:20.0:100:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D0.001-m0.525-a_15.0_20.0-w11.0-t0.04-ratchet.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.500000e+01 7.225528e-01 6.593390e+00 1.938929e+00 1.196274e+07 2.094456e+03 -2.390016e-01 5.498257e-01
1.505000e+01 6.563045e-01 6.574265e+00 1.982690e+00 1.297279e+07 2.271287e+03 -2.731040e-01 5.118378e-01
1.510000e+01 6.260788e-01 6.582211e+00 1.992149e+00 1.347350e+07 2.359248e+03 -2.942940e-01 4.932421e-01
1.515000e+01 6.028285e-01 6.589588e+00 1.995488e+00 1.394437e+07 2.442298e+03 -3.141317e-01 4.711910e-01
1.520000e+01 5.858473e-01 6.606569e+00 1.999639e+00 1.428692e+07 2.501207e+03 -3.298359e-01 4.567893e-01
1.525000e+01 5.590527e-01 6.615860e+00 2.000533e+00 1.481246e+07 2.592781e+03 -3.547502e-01 4.340326e-01
1.530000e+01 5.400378e-01 6.634285e+00 2.000101e+00 1.517895e+07 2.657662e+03 -3.713743e-01 4.178779e-01
1.535000e+01 5.219821e-01 6.642999e+00 2.001387e+00 1.566749e+07 2.742866e+03 -3.912196e-01 3.921235e-01
1.540000e+01 4.994862e-01 6.669131e+00 1.999713e+00 1.601622e+07 2.804121e+03 -4.081601e-01 3.800839e-01
1.545000e+01 4.698902e-01 6.694329e+00 1.998614e+00 1.643826e+07 2.878610e+03 -4.290935e-01 3.659477e-01
1.550000e+01 4.518529e-01 6.724882e+00 2.000414e+00 1.674230e+07 2.931692e+03 -4.423319e-01 3.536918e-01
1.555000e+01 4.344148e-01 6.751956e+00 2.001925e+00 1.710172e+07 2.994155e+03 -4.566751e-01 3.368762e-01
1.560000e+01 4.276463e-01 6.791460e+00 1.999851e+00 1.727525e+07 3.024852e+03 -4.628157e-01 3.277782e-01
1.565000e+01 4.047156e-01 6.825774e+00 2.000632e+00 1.763092e+07 3.087065e+03 -4.780816e-01 3.134871e-01
1.570000e+01 4.022486e-01 6.865143e+00 2.000400e+00 1.779346e+07 3.115949e+03 -4.825062e-01 3.027586e-01
1.575000e+01 3.892187e-01 6.913405e+00 2.001735e+00 1.796295e+07 3.145293e+03 -4.902058e-01 2.960743e-01
1.580000e+01 3.768948e-01 6.949362e+00 2.001999e+00 1.828975e+07 3.201998e+03 -5.011424e-01 2.791605e-01
1.585000e+01 3.810276e-01 6.991031e+00 2.002173e+00 1.840969e+07 3.224024e+03 -5.028183e-01 2.674544e-01
1.590000e+01 3.699403e-01 7.034929e+00 2.002145e+00 1.863782e+07 3.263940e+03 -5.108353e-01 2.550199e-01
1.595000e+01 3.837560e-01 7.064628e+00 2.005022e+00 1.882836e+07 3.296438e+03 -5.121832e-01 2.335213e-01
1.600000e+01 3.761271e-01 7.106984e+00 2.006309e+00 1.904074e+07 3.334590e+03 -5.192300e-01 2.180588e-01
1.605000e+01 3.746604e-01 7.132177e+00 2.011432e+00 1.937509e+07 3.392395e+03 -5.282404e-01 1.906344e-01
1.610000e+01 3.934340e-01 7.158400e+00 2.015335e+00 1.954444e+07 3.422568e+03 -5.279897e-01 1.637509e-01
1.615000e+01 4.008355e-01 7.176521e+00 2.020902e+00 1.983019e+07 3.472847e+03 -5.337412e-01 1.325933e-01
1.620000e+01 4.255446e-01 7.188522e+00 2.027704e+00 2.012776e+07 3.524628e+03 -5.348380e-01 9.679377e-02
1.625000e+01 4.535422e-01 7.196301e+00 2.034332e+00 2.044784e+07 3.580589e+03 -5.340769e-01 6.209195e-02
1.630000e+01 4.685805e-01 7.221185e+00 2.039780e+00 2.080315e+07 3.642330e+03 -5.366023e-01 3.600287e-02
1.635000e+01 4.894197e-01 7.251345e+00 2.041010e+00 2.107370e+07 3.690081e+03 -5.334675e-01 1.618803e-02
1.640000e+01 4.773877e-01 7.305655e+00 2.037888e+00 2.146628e+07 3.759409e+03 -5.417148e-01 6.231546e-03
1.645000e+01 4.579331e-01 7.373994e+00 2.032494e+00 2.170344e+07 3.800740e+03 -5.468390e-01 2.855420e-03
1.650000e+01 4.096843e-01 7.450529e+00 2.027467e+00 2.190202e+07 3.834778e+03 -5.583468e-01 1.704574e-03
1.655000e+01 3.401272e-01 7.539250e+00 2.015859e+00 2.187220e+07 3.830402e+03 -5.690253e-01 1.820683e-03
1.659999e+01 2.055160e-01 7.647271e+00 1.993660e+00 2.173589e+07 3.806316e+03 -5.885044e-01 2.119780e-03
1.664999e+01 1.449620e-02 7.769378e+00 1.964994e+00 2.135745e+07 3.739363e+03 -6.087754e-01 1.938581e-03
1.669999e+01 -2.616211e-01 7.918872e+00 1.902911e+00 2.038953e+07 3.569467e+03 -6.141121e-01 1.808167e-03
1.674999e+01 -6.105301e-01 8.095933e+00 1.779139e+00 1.856432e+07 3.249848e+03 -5.773564e-01 1.363754e-03
1.679999e+01 -9.798263e-01 8.285555e+00 1.578684e+00 1.562436e+07 2.734831e+03 -4.572414e-01 8.816719e-04
1.684999e+01 -1.308758e+00 8.465322e+00 1.292439e+00 1.191197e+07 2.084875e+03 -1.990912e-01 3.151894e-04
1.689999e+01 -1.557188e+00 8.623208e+00 9.077103e-01 7.879618e+06 1.379429e+03 2.930055e-01 -1.544356e-04
1.694999e+01 -1.686767e+00 8.745445e+00 5.261767e-01 4.595762e+06 8.046277e+02 1.015624e+00 -3.933907e-04
1.699999e+01 -1.736189e+00 8.843372e+00 2.132645e-01 2.509726e+06 4.396319e+02 1.744107e+00 -4.855990e-04
1.704999e+01 -1.747355e+00 8.929246e+00 7.684480e-02 1.386346e+06 2.432180e+02 2.371811e+00 -5.107522e-04
1.709999e+01 -1.749875e+00 9.012108e+00 1.297667e-02 7.471172e+05 1.314656e+02 2.611109e+00 -5.229115e-04
1.714999e+01 -1.750094e+00 9.093801e+00 3.328066e-03 4.249265e+05 7.521445e+01 2.528774e+00 -5.266666e-04
