#./munderdamped_3d_ratchet --dev=2 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.481701030928 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=1d --domainx=a:15.0:20.0:100:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D0.001-m0.481701030928-a_15.0_20.0-w11.0-ratchet.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.500000e+01 5.272735e-01 6.545329e+00 2.000480e+00 1.485425e+07 2.600793e+03 -3.676803e-01 4.550614e-01
1.505000e+01 4.987957e-01 6.567643e+00 1.998923e+00 1.520586e+07 2.662453e+03 -3.869869e-01 4.456906e-01
1.510000e+01 4.807234e-01 6.574810e+00 2.001474e+00 1.564848e+07 2.739145e+03 -4.048195e-01 4.216568e-01
1.515000e+01 4.611324e-01 6.600398e+00 1.999984e+00 1.593851e+07 2.790405e+03 -4.187362e-01 4.106359e-01
1.520000e+01 4.462151e-01 6.619304e+00 2.001093e+00 1.629489e+07 2.852198e+03 -4.327089e-01 3.917789e-01
1.525000e+01 4.301202e-01 6.650895e+00 1.999511e+00 1.653875e+07 2.895980e+03 -4.435514e-01 3.813847e-01
1.530000e+01 4.180178e-01 6.680552e+00 1.999705e+00 1.680484e+07 2.942377e+03 -4.538745e-01 3.678138e-01
1.535000e+01 4.067584e-01 6.715063e+00 2.001230e+00 1.703199e+07 2.981587e+03 -4.626352e-01 3.566054e-01
1.540000e+01 4.036252e-01 6.738452e+00 1.999738e+00 1.735060e+07 3.038271e+03 -4.711922e-01 3.348204e-01
1.545000e+01 3.839402e-01 6.787831e+00 1.999427e+00 1.751673e+07 3.067269e+03 -4.804299e-01 3.317401e-01
1.550000e+01 3.781000e-01 6.820160e+00 2.002136e+00 1.778975e+07 3.114235e+03 -4.887898e-01 3.153260e-01
