#./munderdamped_3d_ratchet --dev=1 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=1d --domainx=a:15.0:20.0:100:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D0.001-m0.525-a_15.0_20.0-w11.0-ratchet.dat
#a <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.500000e+01 1.026276e+00 6.010076e+00 1.928595e+00 5.795404e+06 1.014474e+03 -6.352630e-01 6.510214e-01
1.505000e+01 9.984944e-01 6.056009e+00 1.941248e+00 5.889380e+06 1.031063e+03 -6.434666e-01 6.976317e-01
1.510000e+01 9.736608e-01 6.100341e+00 1.955580e+00 5.965728e+06 1.044382e+03 -6.496491e-01 7.412621e-01
1.515000e+01 9.497489e-01 6.145076e+00 1.965374e+00 6.027154e+06 1.055043e+03 -6.547116e-01 7.852340e-01
1.520000e+01 9.460348e-01 6.176322e+00 1.973649e+00 6.074609e+06 1.063276e+03 -6.562929e-01 7.955419e-01
1.525000e+01 9.248051e-01 6.220366e+00 1.979030e+00 6.113074e+06 1.070087e+03 -6.596711e-01 8.376787e-01
1.530000e+01 9.258150e-01 6.248710e+00 1.983651e+00 6.137630e+06 1.074505e+03 -6.601788e-01 8.390350e-01
1.535000e+01 9.167250e-01 6.284629e+00 1.986276e+00 6.161974e+06 1.078784e+03 -6.616974e-01 8.597866e-01
1.540000e+01 9.177169e-01 6.313152e+00 1.991367e+00 6.186430e+06 1.082837e+03 -6.624209e-01 8.613579e-01
1.545000e+01 9.105690e-01 6.348377e+00 1.992876e+00 6.199396e+06 1.085185e+03 -6.634382e-01 8.778529e-01
1.550000e+01 9.159228e-01 6.374064e+00 1.994307e+00 6.204942e+06 1.086178e+03 -6.630342e-01 8.702779e-01
1.555000e+01 9.220254e-01 6.399628e+00 1.995086e+00 6.210830e+06 1.087320e+03 -6.624123e-01 8.613818e-01
1.560000e+01 9.273349e-01 6.425469e+00 1.997658e+00 6.211062e+06 1.087203e+03 -6.615629e-01 8.537556e-01
