#./munderdamped_3d_gle_ratchet --dev=3 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.01 --tau=0.04 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-4:0:100:1 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/f0.0-D_-4_0-m0.525-a17.0-w11.0-t0.04-ratchet.dat
#D a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.000000e-04 1.700000e+01 1.100000e+01 4.259768e-01 8.259781e+00 2.000458e+00 2.063099e+07 3.612899e+03 -5.347728e-01 1.286722e-01
1.096478e-04 1.700000e+01 1.100000e+01 4.208452e-01 8.261448e+00 2.000087e+00 2.068604e+07 3.622675e+03 -5.372652e-01 1.273562e-01
1.202264e-04 1.700000e+01 1.100000e+01 4.194039e-01 8.262655e+00 2.001347e+00 2.069156e+07 3.623541e+03 -5.378025e-01 1.274189e-01
1.318256e-04 1.700000e+01 1.100000e+01 4.227954e-01 8.261190e+00 2.000882e+00 2.068626e+07 3.622783e+03 -5.365083e-01 1.259856e-01
1.445439e-04 1.700000e+01 1.100000e+01 4.196760e-01 8.262785e+00 1.999689e+00 2.068422e+07 3.622304e+03 -5.372505e-01 1.256082e-01
1.584892e-04 1.700000e+01 1.100000e+01 4.134392e-01 8.265083e+00 2.000921e+00 2.069839e+07 3.624033e+03 -5.391994e-01 1.248249e-01
1.737800e-04 1.700000e+01 1.100000e+01 4.046267e-01 8.266130e+00 2.000449e+00 2.070948e+07 3.625854e+03 -5.412887e-01 1.215067e-01
1.905460e-04 1.700000e+01 1.100000e+01 3.882701e-01 8.270285e+00 2.001160e+00 2.070851e+07 3.625891e+03 -5.453597e-01 1.189659e-01
2.089295e-04 1.700000e+01 1.100000e+01 3.834196e-01 8.262247e+00 2.001079e+00 2.069015e+07 3.623520e+03 -5.444392e-01 1.061065e-01
2.290866e-04 1.700000e+01 1.100000e+01 3.617477e-01 8.259668e+00 1.997972e+00 2.068236e+07 3.621928e+03 -5.478761e-01 9.343863e-02
2.511884e-04 1.700000e+01 1.100000e+01 3.156316e-01 8.261120e+00 1.998977e+00 2.072856e+07 3.630256e+03 -5.585349e-01 7.648027e-02
2.754226e-04 1.700000e+01 1.100000e+01 2.721590e-01 8.258716e+00 2.000541e+00 2.065480e+07 3.616390e+03 -5.636713e-01 5.737066e-02
3.019948e-04 1.700000e+01 1.100000e+01 1.753475e-01 8.273949e+00 1.990842e+00 2.070608e+07 3.625646e+03 -5.809852e-01 3.903854e-02
3.311308e-04 1.700000e+01 1.100000e+01 5.518743e-02 8.301925e+00 1.977963e+00 2.048083e+07 3.586035e+03 -5.927646e-01 2.696145e-02
3.630776e-04 1.700000e+01 1.100000e+01 -1.079560e-01 8.347388e+00 1.948797e+00 2.013798e+07 3.525912e+03 -6.035700e-01 1.910150e-02
3.981066e-04 1.700000e+01 1.100000e+01 -3.057473e-01 8.405471e+00 1.896315e+00 1.951047e+07 3.416038e+03 -6.041350e-01 1.344216e-02
4.365152e-04 1.700000e+01 1.100000e+01 -5.199623e-01 8.471690e+00 1.825145e+00 1.857287e+07 3.251524e+03 -5.874089e-01 1.022398e-02
4.786294e-04 1.700000e+01 1.100000e+01 -7.680684e-01 8.547636e+00 1.712900e+00 1.702111e+07 2.980042e+03 -5.359933e-01 7.068992e-03
5.248066e-04 1.700000e+01 1.100000e+01 -9.895641e-01 8.614805e+00 1.584769e+00 1.524599e+07 2.668496e+03 -4.490104e-01 3.951311e-03
5.754390e-04 1.700000e+01 1.100000e+01 -1.197764e+00 8.679017e+00 1.399538e+00 1.317558e+07 2.306271e+03 -3.208492e-01 2.452016e-03
6.309563e-04 1.700000e+01 1.100000e+01 -1.379364e+00 8.734821e+00 1.205128e+00 1.083429e+07 1.896264e+03 -1.065909e-01 1.210690e-03
6.918297e-04 1.700000e+01 1.100000e+01 -1.518022e+00 8.777172e+00 9.860769e-01 8.569997e+06 1.500156e+03 1.714582e-01 4.429817e-04
7.585761e-04 1.700000e+01 1.100000e+01 -1.618001e+00 8.807618e+00 7.599862e-01 6.490124e+06 1.136188e+03 5.350684e-01 -1.078844e-04
