#./munderdamped_3d_ratchet --dev=0 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-6:-2:100:1 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/maw-D_-6_-2-m0.525-a17.0-w11.0-ratchet.dat
#./munderdamped_3d_ratchet --dev=0 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-2:-1:25:1 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/Daw-D_-2_-1-m0.525-a17.0-w11.0-ratchet.dat
#./munderdamped_3d_ratchet --dev=0 --amp=17.0 --omega=11.0 --force=0.0 --mass=0.525 --Dg=0.001 --block=1024 --paths=65536 --periods=5000 --trans=4000 --samples=200 --spp=200 --algorithm=predcorr --pav=1 --mode=moments --domain=3d --domainx=D:-1:-0:25:1 --domainy=a:17.0:17.0:1:0 --domainz=w:11.0:11.0:1:0 --q=2 --eps=0 --phi=0 --lambda=0 --Dp=0 --comp=0 --mean=0 >> temp/Daw-D_-1_0-m0.525-a17.0-w11.0-ratchet.dat
#D a w <<v>> <<v^2>> qnu(q) mu_q Dx Gx EBx
1.000000e-06 1.700000e+01 1.100000e+01 5.443511e-01 6.991570e+00 1.999856e+00 1.591889e+07 2.787521e+03 -3.884318e-01 3.609673e-01
1.096478e-06 1.700000e+01 1.100000e+01 5.386961e-01 6.995028e+00 2.000907e+00 1.592598e+07 2.788661e+03 -3.909050e-01 3.641889e-01
1.202264e-06 1.700000e+01 1.100000e+01 5.538495e-01 6.987342e+00 2.000190e+00 1.587924e+07 2.781031e+03 -3.833508e-01 3.574128e-01
1.318256e-06 1.700000e+01 1.100000e+01 5.497144e-01 6.989683e+00 2.002035e+00 1.589550e+07 2.782448e+03 -3.857660e-01 3.595701e-01
1.445439e-06 1.700000e+01 1.100000e+01 5.450441e-01 6.990115e+00 2.000065e+00 1.593434e+07 2.789717e+03 -3.885840e-01 3.596051e-01
1.584893e-06 1.700000e+01 1.100000e+01 5.321873e-01 6.987139e+00 2.001152e+00 1.610713e+07 2.819999e+03 -3.982269e-01 3.551996e-01
1.737800e-06 1.700000e+01 1.100000e+01 5.389084e-01 6.988566e+00 2.000683e+00 1.601620e+07 2.804560e+03 -3.930475e-01 3.573588e-01
1.905459e-06 1.700000e+01 1.100000e+01 5.415525e-01 6.993472e+00 2.001081e+00 1.591961e+07 2.787027e+03 -3.896727e-01 3.630270e-01
2.089295e-06 1.700000e+01 1.100000e+01 5.353354e-01 6.992133e+00 2.000335e+00 1.600241e+07 2.801385e+03 -3.944467e-01 3.610060e-01
2.290866e-06 1.700000e+01 1.100000e+01 5.426996e-01 6.991140e+00 2.002401e+00 1.594418e+07 2.790920e+03 -3.900838e-01 3.606282e-01
2.511884e-06 1.700000e+01 1.100000e+01 5.447545e-01 6.993930e+00 1.999881e+00 1.587773e+07 2.779936e+03 -3.872175e-01 3.639443e-01
2.754226e-06 1.700000e+01 1.100000e+01 5.449173e-01 6.988410e+00 2.000001e+00 1.595674e+07 2.793711e+03 -3.891739e-01 3.580422e-01
3.019949e-06 1.700000e+01 1.100000e+01 5.402995e-01 6.984906e+00 1.998458e+00 1.604743e+07 2.810780e+03 -3.929400e-01 3.538649e-01
3.311307e-06 1.700000e+01 1.100000e+01 5.390201e-01 6.991313e+00 2.000671e+00 1.597104e+07 2.796629e+03 -3.919656e-01 3.606431e-01
3.630776e-06 1.700000e+01 1.100000e+01 5.426493e-01 6.987566e+00 2.002352e+00 1.599428e+07 2.799702e+03 -3.913671e-01 3.569815e-01
3.981067e-06 1.700000e+01 1.100000e+01 5.567640e-01 6.992385e+00 2.000296e+00 1.577135e+07 2.761658e+03 -3.796489e-01 3.636676e-01
4.365152e-06 1.700000e+01 1.100000e+01 5.447327e-01 6.984312e+00 1.999816e+00 1.601504e+07 2.804039e+03 -3.906522e-01 3.537855e-01
4.786294e-06 1.700000e+01 1.100000e+01 5.368609e-01 6.989151e+00 1.999630e+00 1.602025e+07 2.805769e+03 -3.937221e-01 3.582020e-01
5.248066e-06 1.700000e+01 1.100000e+01 5.432386e-01 6.992266e+00 2.000403e+00 1.591165e+07 2.786224e+03 -3.886907e-01 3.622669e-01
5.754390e-06 1.700000e+01 1.100000e+01 5.283523e-01 6.996687e+00 2.001217e+00 1.599792e+07 2.800870e+03 -3.969860e-01 3.657436e-01
6.309562e-06 1.700000e+01 1.100000e+01 5.343537e-01 6.992150e+00 2.000177e+00 1.600461e+07 2.802121e+03 -3.949021e-01 3.613460e-01
6.918297e-06 1.700000e+01 1.100000e+01 5.437189e-01 6.986969e+00 2.000107e+00 1.598286e+07 2.798853e+03 -3.903118e-01 3.566662e-01
7.585761e-06 1.700000e+01 1.100000e+01 5.283252e-01 6.993833e+00 2.001235e+00 1.604025e+07 2.808325e+03 -3.980297e-01 3.625704e-01
8.317621e-06 1.700000e+01 1.100000e+01 5.374753e-01 6.988770e+00 2.000531e+00 1.602072e+07 2.805435e+03 -3.935792e-01 3.579496e-01
9.120089e-06 1.700000e+01 1.100000e+01 5.387552e-01 6.984287e+00 2.001011e+00 1.607411e+07 2.814615e+03 -3.945727e-01 3.532500e-01
9.999978e-06 1.700000e+01 1.100000e+01 5.411038e-01 6.985062e+00 2.000287e+00 1.603983e+07 2.808713e+03 -3.926002e-01 3.541902e-01
1.096476e-05 1.700000e+01 1.100000e+01 5.470002e-01 6.985576e+00 1.998208e+00 1.596823e+07 2.796841e+03 -3.882850e-01 3.553427e-01
1.202262e-05 1.700000e+01 1.100000e+01 5.411583e-01 6.985879e+00 2.000201e+00 1.603044e+07 2.807094e+03 -3.922624e-01 3.548541e-01
